Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"M.D. Johnson","MIA","AA",25,113.2,0.26213592,0.748387096,0.166153846,0.356923076,0.476923076,0.225806451,0.122580645,0.45454545,0.27272727,0.27272727,0.12125984,799,1106,1905,"sa3010364"
"Cameron Junker","PIT","AA",25,55.1,0.2625,1.19047619,0.1375,0.46875,0.39375,0.206349206,0.047619047,0.50920245,0.21472393,0.27607362,0.12325831,370,563,933,"sa3010365"
"Jacob Wallace","KCR","AA",24,49.1,0.33333333,0.942307692,0.229007633,0.374045801,0.396946564,0.173076923,0.019230769,0.44117647,0.22058824,0.33823529,0.11368421,379,571,950,"sa3010374"
"Ryan Shreve","STL","AA",25,71.1,0.2961165,1.229729729,0.228971962,0.425233644,0.345794392,0.202702702,0.162162162,0.5733945,0.22018349,0.20642202,0.13616269,404,727,1131,"sa3010555"
"Tyler Beck","WSN","AA",27,39,0.28431373,1.075,0.216981132,0.405660377,0.37735849,0.225,0.125,0.58878505,0.24299065,0.1682243,0.13343109,264,418,682,"sa3010563"
"Alec Barger","COL","AA",25,53,0.33333333,1.057692307,0.224637681,0.398550724,0.376811594,0.23076923,0.096153846,0.42553191,0.23404255,0.34042553,0.14634146,350,593,943,"sa3010566"
"Randy Labaut","CLE","AA",26,34.2,0.24705882,0.75,0.166666666,0.357142857,0.476190476,0.325,0.05,0.49425287,0.18390805,0.32183908,0.17636684,222,345,567,"sa3010615"
"Brandon Komar","STL","AA",24,122.2,0.28571429,2.144329896,0.177897574,0.5606469,0.261455525,0.144329896,0.154639175,0.51587302,0.24074074,0.24338624,0.09217302,773,1169,1942,"sa3010630"
"Dante Biasi","KCR","AA",25,69,0.26506024,0.613636363,0.183908045,0.310344827,0.505747126,0.238636363,0.136363636,0.41340782,0.2849162,0.30167598,0.11060948,548,781,1329,"sa3010647"
"Michael Bienlien","DET","AA",25,33,0.37234043,1.216216216,0.171717171,0.454545454,0.373737373,0.135135135,0.135135135,0.48484848,0.24242424,0.27272727,0.12739965,221,352,573,"sa3010649"
