Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Jonah Scolaro","CHW","AA",24,3,2,3.718562534486459,34,0,0,0,0,1,,55.2,239,38,24,23,5,32,0,6,3,0,66,"sa3019817"
"T.J. Brock","TOR","AA",23,2,1,6.680413422010508,32,0,0,0,9,3,,32.1,154,38,27,24,7,14,0,4,10,0,56,"sa3020079"
"John Michael Bertrand","SFG","AA",25,2,3,4.673076923076923,11,11,0,0,0,0,,52,225,56,30,27,1,21,0,1,3,0,39,"sa3020082"
"Isaac Coffey","BOS","AA",23,7,4,3.9244189528016338,12,11,0,0,0,0,,57.1,251,46,27,25,11,23,0,9,2,0,72,"sa3020222"
"Tyler Stuart","NYM","AA",23,3,2,3.6,7,7,0,0,0,0,,35,145,34,16,14,4,9,0,1,3,1,28,"sa3020264"
"Jared Kollar","SDP","AA",24,2,2,4.618420589003253,12,12,0,0,0,0,,50.2,230,58,29,26,5,20,0,3,1,1,34,"sa3020439"
"Chase Hampton","NYY","AA",21,2,2,4.374301303091951,11,11,0,0,0,0,,59.2,248,54,33,29,8,21,0,0,5,2,68,"sa3020682"
"Jake Pilarski","LAD","AA",25,1,2,6.230769883750023,25,0,0,0,1,2,,30.1,147,36,25,21,3,24,0,1,5,0,24,"sa3020685"
"Ben Holmes","CHW","AA",31,2,4,3.3,25,0,0,0,4,3,,30,124,24,18,11,6,9,0,2,3,0,36,"sa549147"
"Teddy Stankiewicz","CIN","AA",29,3,2,6.230769962107727,11,7,0,0,0,0,,43.1,200,54,32,30,6,16,0,3,2,0,32,"sa657954"
"Raffi Vizcaino","ARI","AA",27,1,1,4.628571428571429,27,2,0,0,4,1,,35,154,29,22,18,7,22,0,1,3,1,48,"sa736742"
"Ronald Medrano","KCR","AA",27,1,1,5.225806451612903,9,6,0,0,0,0,,31,139,34,20,18,3,11,0,5,1,0,27,"sa737377"
"A.J. Puckett","SEA","AA",28,6,3,4.35,44,3,0,0,0,3,,60,260,56,31,29,5,25,1,7,1,2,52,"sa738686"
"Jefry Yan","MIA","AA",26,3,3,3.7058823529411766,43,0,0,0,13,1,,51,233,38,26,21,3,39,0,5,9,1,91,"sa828460"
"Juan Nunez","TOR","AA",27,2,3,3.889831011475516,32,0,0,0,1,0,,39.1,183,21,21,17,2,42,2,3,15,1,59,"sa828600"
"Trey Supak","OAK","AA",27,4,0,4.889764367022701,25,0,0,0,2,3,,42.1,191,42,26,23,4,18,1,4,2,1,38,"sa828707"
"Carlos Luna","MIN","AA",26,2,9,5.873684210526315,23,16,0,0,0,0,,95,414,106,69,62,30,24,0,8,3,1,96,"sa828727"
"Jordan Brink","MIN","AA",30,1,2,6,28,0,0,0,5,2,,33,148,31,22,22,4,21,0,1,3,0,27,"sa829003"
"Logan Sawyer","STL","AA",30,5,3,5.213793652111569,38,0,0,0,7,4,,48.1,215,54,29,28,4,17,1,3,6,0,59,"sa829628"
"Brady Puckett","MIA","AA",27,2,2,3.9913048774128628,32,0,0,0,0,2,,38.1,170,37,22,17,4,23,2,5,4,0,35,"sa829632"
"Jeff Bain","ARI","AA",27,1,3,7.1566271638642425,19,7,0,0,0,0,,55.1,255,73,53,44,17,17,0,7,4,1,48,"sa829808"
"Malvin Pena","WSN","AA",26,1,0,2.5445024145234263,41,0,0,0,3,2,,63.2,257,45,21,18,5,28,0,3,2,4,55,"sa830644"
"Kyle Wilcox","ATL","AA",29,4,4,2.1259845074011743,36,0,0,0,3,1,,42.1,173,21,11,10,2,23,1,2,10,0,64,"sa857699"
"Carlos Guzman","CHC","AA",25,6,2,4.855263157894737,35,1,0,0,0,3,,76,336,74,46,41,8,43,0,6,8,3,82,"sa871477"
