"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Pollock, AJ","572041","2022","0","45.8","0","-0.9","0.2","-0.7","32.1","59","27"
"Profar, Jurickson","595777","2022","-3","34.4","-0.9","0.6","-0.4","-0.7","31.6","61","21"
"Renfroe, Hunter","592669","2022","-4","41.3","-0.9","0.2","-0.1","-0.8","32.1","46","19"
"Reyes, Victor","622682","2022","-3","42.9","-1.4","-0.5","0.2","-1.7","32.1","35","15"
"Reynolds, Bryan","668804","2022","-5","32.1","-0.1","-1.4","0.7","-0.8","33.4","53","17"
"Robert Jr., Luis","673357","2022","0","51.2","-0.8","-0.3","0.2","-0.9","33","43","22"
"Robles, Victor","645302","2022","4","58.2","0","-1.3","0.2","-1","32.7","67","39"
"Rodríguez, Julio","677594","2022","7","71.2","0.3","-0.3","0.1","0","34","52","37"
"Santander, Anthony","623993","2022","-5","33.3","-0.7","-0.8","0.7","-0.8","31.8","57","19"
"Schwarber, Kyle","656941","2022","-8","27.3","-1.7","-1.1","0.7","-2.1","30.4","55","15"
"Senzel, Nick","669222","2022","0","51.9","-0.1","0.5","0.4","0.8","34","52","27"
"Sheets, Gavin","657757","2022","-5","23.5","-1.5","0.1","-0.7","-2.1","30","34","8"
"Siri, Jose","642350","2022","12","76","2.1","1.6","-0.7","3.1","37.8","50","38"
"Slater, Austin","596103","2022","4","60.6","1.4","-0.8","0.1","0.6","35.2","33","20"
"Soto, Juan","665742","2022","-11","40.7","-1.5","0.4","-0.2","-1.3","31.5","81","33"
"Springer, George","543807","2022","2","57.6","0.6","-0.1","-0.1","0.4","34.6","33","19"
"Straw, Myles","664702","2022","9","59.3","0.2","0","-0.1","0.1","33.9","91","54"
"Suwinski, Jack","669261","2022","0","44.2","-0.3","-0.7","0.2","-0.8","32.2","43","19"
"Suzuki, Seiya","673548","2022","-2","40","-1.1","-0.1","-0.4","-1.6","30.9","35","14"
"Sánchez, Jesús","660821","2022","-3","47.5","0.5","0.2","0.3","0.9","34.7","40","19"
"Tapia, Raimel","606132","2022","-4","38.6","-0.8","-0.6","-0.3","-1.8","31.5","44","17"
"Taveras, Leody","665750","2022","2","50","0.9","-0.2","0","0.7","34.2","52","26"
"Taylor, Chris","621035","2022","0","37.2","-0.2","-1","0.4","-0.8","32.1","43","16"
"Taylor, Michael A.","572191","2022","5","56.1","1.1","-0.4","0.4","1.1","35.4","66","37"
"Taylor, Tyrone","621438","2022","4","56","0.9","0.6","-0.3","1.3","35.1","50","28"
"Thomas, Alek","677950","2022","8","66.2","0.2","0.8","-1.4","-0.4","33.2","71","47"
"Thomas, Lane","657041","2022","-5","40","-0.7","-0.8","0.1","-1.4","32.4","55","22"
"Trout, Mike","545361","2022","0","51.9","0.2","-1.2","0.4","-0.6","33.2","52","27"
"Tucker, Kyle","663656","2022","1","50.8","-0.8","0.1","0.2","-0.6","31.7","61","31"
"Varsho, Daulton","662139","2022","14","67.2","2.3","1.2","0.2","3.7","37","64","43"
"Vaughn, Andrew","683734","2022","-12","12.5","-2.9","-1.5","0.3","-4.1","28.7","40","5"
"Verdugo, Alex","657077","2022","-3","42.5","-0.6","0.3","-0.3","-0.6","31.7","80","34"
"Vierling, Matt","663837","2022","-3","41.3","-0.7","-1.9","0.5","-2","32.1","46","19"
"Ward, Taylor","621493","2022","0","41.4","0.9","0.2","0.4","1.4","34.4","58","24"
"Winker, Jesse","608385","2022","-11","18.4","-2.4","-1.9","0.9","-3.5","28.4","49","9"
"Yastrzemski, Mike","573262","2022","1","49.3","0.9","-0.1","0.2","1","34.8","71","35"
"Yelich, Christian","592885","2022","-3","41.9","-1.2","-1.5","0.2","-2.6","29.8","43","18"
