"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Marisnick, Jake","545350","2016","14","69.8","2","0.3","-0.1","2.1","35.2","63","44"
"Markakis, Nick","455976","2016","-3","45.2","-1.7","-0.6","0","-2.3","29.8","84","38"
"Marte, Starling","516782","2016","-3","49.2","0","-0.6","0.6","0","33","61","30"
"Martin, Leonys","547982","2016","10","54.9","1.3","2.4","-1.4","2.3","35.6","91","50"
"Martinez, J.D.","502110","2016","-8","25.5","-1.8","-0.4","-0.1","-2.3","29.4","51","13"
"Maybin, Cameron","457727","2016","-5","31.1","-0.6","-0.6","0.4","-0.8","32.8","45","14"
"Mazara, Nomar","608577","2016","0","48.6","0.1","0.3","0.1","0.4","33.2","70","34"
"McCutchen, Andrew","457705","2016","-13","30.3","0","-2.1","0.9","-1.3","32","89","27"
"Moss, Brandon","461235","2016","-1","33.3","-2","0","-0.4","-2.5","30.9","33","11"
"Naquin, Tyler","571980","2016","-6","35.4","-1.3","-0.7","-1.3","-3.3","30.2","48","17"
"Nieuwenhuis, Kirk","543590","2016","0","50","-0.8","-0.8","-0.1","-1.7","31.1","54","27"
"Orlando, Paulo","449181","2016","7","54.8","1.2","-0.3","0.6","1.4","33.8","62","34"
"Ozuna, Marcell","542303","2016","-3","41.5","0.2","0.3","0","0.4","33.9","65","27"
"Pagán, Ángel","434636","2016","1","39.3","0.3","-0.6","0.5","0.2","32.4","56","22"
"Parra, Gerardo","467827","2016","-1","36.4","-1","1.4","-1.5","-1","30.8","33","12"
"Pederson, Joc","592626","2016","0","52","-0.7","-0.5","-0.5","-1.8","31.6","50","26"
"Pence, Hunter","452254","2016","-3","40","-0.4","-0.3","0.2","-0.5","32.1","50","20"
"Pillar, Kevin","607680","2016","9","57.3","0.6","0.3","0.3","1.2","34.4","82","47"
"Piscotty, Stephen","572039","2016","1","53.2","0.4","-1","0.9","0.3","32.9","62","33"
"Polanco, Gregory","570256","2016","1","48.6","-0.3","-0.1","-0.1","-0.5","31.9","74","36"
"Puig, Yasiel","624577","2016","5","49.2","-2.8","-2.1","0.7","-4.2","28","59","29"
"Rasmus, Colby","458675","2016","1","52.6","-0.7","1.1","-1","-0.5","31","38","20"
"Reddick, Josh","502210","2016","5","61.9","0","0.1","0.6","0.6","32.8","42","26"
"Reimold, Nolan","460099","2016","0","55.6","-1.8","-1.3","0.8","-2.3","29.7","36","20"
"Rickard, Joey","572073","2016","4","51.1","1.1","2","-0.1","3","35.3","47","24"
"Rosario, Eddie","592696","2016","4","54.5","0.3","0.4","0","0.6","33.4","44","24"
"Santana, Danny","542454","2016","-1","51.5","0.2","1.1","-1","0.2","33.4","33","17"
"Santana, Domingo","570267","2016","-7","18.4","-0.6","-0.2","0","-0.8","31.2","38","7"
"Saunders, Michael","459431","2016","-4","42.9","-1.1","-0.8","-0.4","-2.4","30.4","49","21"
"Smith, Seth","452234","2016","-4","34.6","-0.9","-0.1","0.7","-0.3","32.7","52","18"
"Smolinski, Jake","519295","2016","-1","57.4","-0.8","-0.5","0.3","-1.1","32.2","54","31"
"Souza Jr., Steven","519306","2016","2","54.5","0.3","0.9","-0.3","0.8","33.3","55","30"
"Span, Denard","452655","2016","-5","40","-0.4","-2.2","1.1","-1.6","31.6","80","32"
"Springer, George","543807","2016","1","44.7","-0.3","0.6","-0.8","-0.6","31.7","85","38"
"Stanton, Giancarlo","519317","2016","3","52.2","0.4","-1","0.9","0.3","33","69","36"
"Suzuki, Ichiro","400085","2016","1","47.4","-0.8","0.2","0.3","0.3","33.1","38","18"
"Taylor, Michael A.","572191","2016","2","48.8","1.7","0.3","0.2","2.2","35","41","20"
"Tomás, Yasmany","630111","2016","-13","25.4","-2.7","0.4","-0.9","-3.3","29.2","59","15"
"Trout, Mike","545361","2016","-8","37","-1","-2.6","0.8","-2.8","30.2","73","27"
"Trumbo, Mark","444432","2016","-15","13.5","-3.9","-2.8","0.8","-5.9","26.2","37","5"
"Upton, B.J.","425834","2016","-2","52.4","-0.3","-0.9","0.1","-1.2","30.8","63","33"
"Upton, Justin","457708","2016","-2","41.5","-0.9","-1","0.6","-1.3","30.7","65","27"
"Werth, Jayson","150029","2016","-5","24.6","-2.3","-0.8","0.6","-2.5","30","57","14"
"Yelich, Christian","592885","2016","4","53.3","-0.3","-1.9","0.9","-0.9","31.4","90","48"
