"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Renfroe, Hunter","592669","2021","-2","36.4","0.2","0.4","-0.4","0.2","32.6","66","24"
"Reyes, Victor","622682","2021","-2","34.3","-0.2","-0.4","0.2","-0.4","32.5","35","12"
"Reynolds, Bryan","668804","2021","8","58.3","0","-0.9","0.5","-0.4","32.9","84","49"
"Robert Jr., Luis","673357","2021","4","60.5","0.9","0.2","0.5","1.6","35.3","38","23"
"Robles, Victor","645302","2021","2","51.1","1","0.2","-1.6","-0.1","33.4","47","24"
"Rosario, Eddie","592696","2021","-2","50","-0.6","0.3","-0.2","-0.6","32.3","46","23"
"Santander, Anthony","623993","2021","-3","42.9","-0.7","-0.8","0.7","-0.7","31.8","42","18"
"Slater, Austin","596103","2021","4","55.9","1.9","0","-0.3","1.6","34.8","34","19"
"Smith, Dominic","642086","2021","-6","23.5","-1.6","-0.1","0","-1.7","29.7","34","8"
"Smith, Pavin","656976","2021","-5","38.1","-1.3","-0.6","0.6","-1.3","31.3","42","16"
"Soler, Jorge","624585","2021","-7","25","-2","-0.9","0.2","-2.8","29.7","44","11"
"Soto, Juan","665742","2021","2","52.6","0","0.9","-1","-0.1","32.9","57","30"
"Straw, Myles","664702","2021","7","59.4","0.5","0.4","-0.1","0.7","33.8","96","57"
"Sánchez, Jesús","660821","2021","2","60.6","1.8","1.1","0","2.9","35.6","33","20"
"Tapia, Raimel","606132","2021","1","46.8","0.2","-0.7","0.1","-0.4","32.6","47","22"
"Taylor, Michael A.","572191","2021","10","59.8","0.9","0","0.3","1.1","34.8","92","55"
"Thomas, Lane","657041","2021","-2","34.3","0","0.1","-0.7","-0.5","32.5","35","12"
"Tucker, Kyle","663656","2021","3","53.3","0.2","0.6","-0.1","0.8","33","60","32"
"Vaughn, Andrew","683734","2021","-4","37.1","-2","-1","0.1","-3","29.9","35","13"
"Verdugo, Alex","657077","2021","-2","42.2","-0.4","0.5","-0.9","-0.7","31.5","64","27"
"White, Eli","642201","2021","4","66.7","2","-1.1","0.3","1.2","34.2","33","22"
"Winker, Jesse","608385","2021","-6","31","-1.6","-0.9","0.4","-2.2","29.9","42","13"
"Yastrzemski, Mike","573262","2021","4","59.6","1.1","0.2","0.5","1.7","34.4","57","34"
"Yelich, Christian","592885","2021","0","50","-0.3","-1.7","0.8","-1.2","32.3","34","17"
