"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
596117,"Stubbs, Garrett",2501,-5.160529990059842,0.43218623481781376,0,0.15789473684210525,-2,0.3644067796610169,0,0.1794871794871795,0,0.6142131979695431,-2,0.5220125786163522,0,0.2987012987012987,0,0.5223214285714286,0,0.20512820512820512
553882,"Narváez, Omar",6273,6.819512414104908,0.49936682144364714,0,0.17142857142857143,-1,0.46987951807228917,0,0.21428571428571427,1,0.6390243902439025,2,0.6753812636165577,2,0.37305699481865284,2,0.5516637478108581,1,0.24380165289256198
521692,"Perez, Salvador",5743,-11.62444311929631,0.4297482837528604,0,0.23776223776223776,1,0.5335570469798657,0,0.168,1,0.6418269230769231,-4,0.5757575757575758,-1,0.25268817204301075,-5,0.36855036855036855,-3,0.1542056074766355
664874,"Zavala, Seby",3963,6.837766321209065,0.5152173913043478,0,0.19,1,0.5561497326203209,0,0.30120481927710846,0,0.6729857819905213,2,0.6835443037974683,0,0.36231884057971014,2,0.5518672199170125,1,0.27167630057803466
641680,"Heim, Jonah",7759,15.610357751055654,0.5166152792052072,2,0.3118279569892473,2,0.5884353741496599,0,0.21481481481481482,5,0.6590509666080844,4,0.7086206896551724,1,0.3617886178861789,-1,0.48333333333333334,1,0.2686084142394822
663743,"Fortes, Nick",3914,1.7901456242669915,0.4868421052631579,0,0.22448979591836735,1,0.5057471264367817,0,0.3088235294117647,0,0.6196721311475409,0,0.6510638297872341,1,0.2808219178082192,1,0.5338753387533876,-1,0.232
543510,"McCann, James",3773,3.9431780002216588,0.48074179743223966,0,0.1590909090909091,1,0.5389221556886228,0,0.2087912087912088,-3,0.4852941176470588,4,0.712166172106825,0,0.2537313432835821,1,0.5478927203065134,2,0.27807486631016043
661388,"Contreras, William",4329,-5.280117137700146,0.4517516902274124,-1,0.19130434782608696,1,0.49572649572649574,0,0.23809523809523808,-1,0.5950704225352113,1,0.645367412140575,-1,0.25892857142857145,-3,0.4362017804154303,-1,0.20270270270270271
571912,"Maile, Luke",4127,-1.156111282988914,0.44104234527687297,0,0.20300751879699247,1,0.5103734439834025,0,0.2087912087912088,0,0.628158844765343,1,0.6182432432432432,-1,0.2073170731707317,-3,0.3888888888888889,0,0.2
642851,"Wynns, Austin",3460,0.17366336904632912,0.4769811320754717,0,0.14864864864864866,1,0.5454545454545454,1,0.3113207547169811,0,0.6324786324786325,0,0.6524822695035462,-1,0.17708333333333334,-1,0.4798387096774194,0,0.22018348623853212
543592,"Nola, Austin",7030,-11.712812047713657,0.464,0,0.24444444444444444,-3,0.4386503067484663,0,0.20610687022900764,-4,0.5940959409594095,1,0.6468401486988847,-1,0.28888888888888886,-3,0.5009310986964618,-1,0.22468354430379747
608348,"Kelly, Carson",6492,0.9584318579943192,0.4774566473988439,0,0.1925925925925926,0,0.5113636363636364,-1,0.19310344827586207,-1,0.6108870967741935,-2,0.583756345177665,1,0.35751295336787564,3,0.530214424951267,0,0.2364341085271318
