"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
100666,621563,"Joey Wendle",33,2023,"MIA",98,318,297,63,42,16,3,2,91,33,20,13,67,2,7,1,3,3,8,9.1
46980,462101,"Elvis Andrus",34,2023,"CWS",111,406,374,94,67,20,1,6,134,39,44,25,71,4,12,4,1,2,11,20.5
50910,501659,"Abraham Almonte",34,2023,"NYM",8,16,15,1,0,1,0,0,2,1,0,1,8,0,0,0,0,0,0,0
51611,500743,"Miguel Rojas",34,2023,"LAD",123,423,385,91,69,16,1,5,124,49,31,26,48,5,8,3,2,5,12,28.6
51653,500871,"Eduardo Escobar",34,2023,,96,310,289,65,48,6,5,6,99,32,31,18,79,0,2,1,1,2,7,40.6
55773,518586,"Charlie Culberson",34,2023,"ATL",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
55784,518595,"Travis d'Arnaud",34,2023,"ATL",72,292,267,60,36,13,0,11,106,31,39,21,67,3,0,0,0,1,7,54.8
55951,506702,"Sandy León",34,2023,"TEX",17,44,41,6,4,2,0,0,8,4,4,1,20,1,0,0,1,0,2,50
56034,516782,"Starling Marte",34,2023,"NYM",85,341,315,78,65,7,1,5,102,38,28,16,69,8,24,4,2,0,8,28.9
57478,519058,"Mike Moustakas",34,2023,,111,386,352,87,60,15,0,12,138,43,48,23,95,3,0,0,0,8,8,34.9
59339,518934,"DJ LeMahieu",34,2023,"NYY",136,562,497,121,81,22,3,15,194,55,44,60,125,3,2,2,0,2,14,49.1
59467,547379,"Roberto Pérez",34,2023,"SF",5,17,15,2,2,0,0,0,2,0,1,2,6,0,0,0,0,0,0,
65870,518735,"Yasmani Grandal",34,2023,"CWS",116,405,363,85,63,14,0,8,123,33,33,36,86,4,0,0,0,2,11,48.5
65976,543482,"Drew Maggi",34,2023,"PIT",3,6,6,2,1,1,0,0,3,1,1,0,1,0,0,0,0,0,0,100
66638,572816,"Corey Dickerson",34,2023,"WSH",50,152,144,36,26,7,1,2,51,12,17,7,28,0,0,1,0,1,3,16.7
66950,592192,"Mark Canha",34,2023,,135,507,435,114,77,25,1,11,174,51,62,49,79,17,11,1,0,6,11,33.3
67175,593160,"Whit Merrifield",34,2023,"TOR",144,592,547,149,111,27,0,11,209,66,67,36,101,3,26,10,0,6,17,27.3
67744,594807,"Adam Duvall",34,2023,"BOS",91,353,320,79,32,24,2,21,170,45,58,22,110,6,4,0,0,5,0,57.8
69305,600303,"Tommy La Stella",34,2023,"SEA",12,24,21,4,3,1,0,0,5,2,2,3,5,0,0,0,0,0,0,0
70093,607680,"Kevin Pillar",34,2023,"ATL",79,206,197,45,26,10,0,9,82,29,32,6,50,0,4,1,0,3,3,48.3
70378,592200,"Curt Casali",34,2023,"CIN",32,96,80,14,12,2,0,0,16,8,6,11,23,2,0,0,3,0,1,37.5
48772,456781,"Donovan Solano",35,2023,"MIN",133,450,394,111,79,26,1,5,154,43,38,40,100,15,0,0,0,1,8,48.8
50106,502054,"Tommy Pham",35,2023,,127,481,426,109,63,27,3,16,190,55,68,47,106,2,22,3,0,6,13,43.6
52260,444482,"David Peralta",35,2023,"LAD",132,422,394,102,69,25,1,7,150,47,55,20,72,2,4,1,0,6,9,31.9
57951,543281,"Josh Harrison",35,2023,"PHI",39,114,103,21,16,3,0,2,30,8,10,3,20,6,0,0,0,2,2,62.5
59275,502110,"J.D. Martinez",35,2023,"LAD",112,479,432,117,55,27,2,33,247,61,103,34,149,2,1,0,0,9,11,60.7
59307,502671,"Paul Goldschmidt",35,2023,"STL",154,687,593,159,103,31,0,25,265,89,80,87,161,3,11,2,0,3,13,46.1
60834,543228,"Yan Gomes",35,2023,"CHC",115,419,382,102,70,20,2,10,156,44,63,21,81,9,1,0,0,7,12,36.4
60932,572041,"AJ Pollock",35,2023,,50,144,133,22,13,4,0,5,41,15,15,9,32,0,0,1,0,2,1,53.3
65767,474832,"Brandon Belt",35,2023,"TOR",103,404,339,86,44,23,0,19,166,53,43,61,141,2,0,0,0,2,5,49.1
67728,594777,"Kole Calhoun",35,2023,"CLE",43,174,157,34,21,7,0,6,59,18,25,13,37,2,0,1,0,2,5,44.4
46400,457705,"Andrew McCutchen",36,2023,"PIT",112,473,390,100,69,19,0,12,155,55,43,75,100,4,11,3,0,4,10,40
48082,455117,"Martín Maldonado",36,2023,"HOU",116,407,362,69,42,12,0,15,126,33,36,30,139,3,0,0,12,0,11,60.6
48685,444489,"Manny Piña",36,2023,"OAK",4,12,12,3,2,0,0,1,6,1,1,0,3,0,0,0,0,0,1,100
49264,488726,"Michael Brantley",36,2023,"HOU",15,57,54,15,11,2,0,2,23,7,7,2,2,0,0,0,0,1,3,57.1
57758,543063,"Brandon Crawford",36,2023,"SF",91,320,283,55,36,11,1,7,89,31,38,28,81,4,3,0,1,4,8,35.5
60918,573131,"Darin Ruf",36,2023,,20,57,49,11,8,3,0,0,14,3,3,8,16,0,0,0,0,0,0,33.3
102005,547989,"José Abreu",36,2023,"HOU",141,594,540,128,86,23,1,18,207,62,90,42,130,6,0,1,0,6,17,56.5
48929,467793,"Carlos Santana",37,2023,,146,619,550,132,75,33,1,23,236,78,86,65,104,0,6,0,0,4,13,44.9
52448,446334,"Evan Longoria",37,2023,"AZ",73,237,211,47,27,9,0,11,89,25,28,23,73,0,0,0,0,3,8,60
52804,453568,"Charlie Blackmon",37,2023,"COL",96,413,359,100,63,24,5,8,158,57,40,39,55,11,4,1,0,4,8,28.1
56185,518626,"Josh Donaldson",37,2023,,50,189,165,25,7,5,0,13,69,18,26,22,50,0,0,0,0,2,7,77.8
60187,572761,"Matt Carpenter",37,2023,"SD",75,237,188,33,16,12,0,5,60,18,31,41,67,2,1,0,0,5,2,55.6
51991,457759,"Justin Turner",38,2023,"BOS",146,626,558,154,100,31,0,23,254,86,96,51,110,11,4,1,0,6,11,48.8
45487,458015,"Joey Votto",39,2023,"CIN",64,242,208,42,22,6,0,14,90,26,38,27,62,7,0,0,0,0,2,65.4
51408,493329,"Yuli Gurriel",39,2023,"MIA",101,329,298,73,50,16,3,4,107,32,27,26,44,1,4,0,0,4,13,18.8
31483,408234,"Miguel Cabrera",40,2023,"DET",98,370,334,86,62,20,0,4,118,21,34,31,74,2,0,0,0,3,11,52.4
31361,425794,"Adam Wainwright",41,2023,"STL",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
34302,443558,"Nelson Cruz",43,2023,"SD",49,152,143,35,24,5,1,5,57,9,23,6,46,2,1,0,0,1,2,77.8
