Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Masashi Itoh ","Tigers (NPB)",28,74,4.013513513513513,1.945945945945946,2.0625,0.6081081081081081,0.10216718,0.0495356,0.05263158,0.29508197,1.4324324324324325,0.31835206,0.61386139,4.621621621621622,3.4139531470633844,1.2076684745582376,"Masashi Itoh","sa3063806",
"Shoki Murakami ","Tigers (NPB)",26,153.2,7.613883367369372,1.9327550086399174,3.93939394,0.4099783351660431,0.20472441,0.0519685,0.15275591,0.23833333,1.1453363014162474,0.2937365,0.71938169,2.5770066781865566,2.2812510030594417,0.29575567512711487,"Shoki Murakami","sa3063807",
"Hayate Nakagawa ","BayStars (NPB)",25,57,5.684210906728839,2.0526317163187473,2.76923077,0.47368424222740324,0.144,0.052,0.092,0.28138528,1.3684211442124983,0.32291667,0.67669173,4.421052927455763,3.1187895906048597,1.3022633368509036,"Hayate Nakagawa","sa3063815",
"Shunpeita Yamashita ","Buffaloes (NPB)",21,64,11.671875,4.359375,2.67741935,0.703125,0.30855019,0.11524164,0.19330855,0.21030043,1.25,0.30344828,0.76923077,3.375,2.807111930847168,0.5678880691528319,"Shunpeita Yamashita","sa3063816",
"Masaru Fujii ","Golden Eagles (NPB)",27,126,5.285714285714286,2.0714285714285716,2.55172414,0.5714285714285714,0.13988658,0.05482042,0.08506616,0.27991886,1.3253968253968254,0.3163017,0.79238329,2.9285714285714284,3.205673438783676,-0.2771020102122477,"Masaru Fujii","sa3063829",
"Takahisa Hayakawa ","Golden Eagles (NPB)",25,170.1,8.454011994125217,1.8493151237148913,4.57142857,0.5283757496328261,0.23188406,0.05072464,0.18115942,0.2392638,1.1213307575541087,0.30290456,0.77777778,2.536203598237565,2.2515529644905596,0.28465063374700517,"Takahisa Hayakawa","sa3063830",
"Seiryu Uchi ","Golden Eagles (NPB)",22,110.2,3.659638638315744,2.2771084860631294,1.60714286,0.6506024245894656,0.09698276,0.06034483,0.03663793,0.26096998,1.2740964148210367,0.27631579,0.71536145,3.578313335242061,3.664604422945402,-0.08629108770334115,"Seiryu Uchi","sa3063832",
"Hiromi Itoh ","Fighters (NPB)",26,176.1,8.21739154137513,1.9905482615753423,4.12820513,0.7145557862065332,0.22676056,0.05492958,0.17183099,0.2245509,1.0718336793097996,0.27586207,0.76566125,2.7051040477818753,2.6183418434908865,0.0867622042909888,"Hiromi Itoh","sa3063835",
"Iori Yamasaki ","Giants (NPB)",25,147.1,6.291855420828268,2.5656109482989056,2.45238095,0.488687799675982,0.16586151,0.06763285,0.09822866,0.24604569,1.2352941602920657,0.28820961,0.79646018,2.8099548481368966,3.064252780604155,-0.2542979324672583,"Iori Yamasaki","sa3063840",
"Ryoji Kuribayashi ","Carp (NPB)",27,55,10.636364374082001,2.618181999774031,4.0625,0.49090912495763084,0.30373832,0.07476636,0.22897196,0.16836735,0.8909091527008857,0.234375,0.79059829,1.9636364998305234,2.025009611460785,-0.0613731116302616,"Ryoji Kuribayashi","sa3063850",
"Naofumi Kizawa ","Swallows (NPB)",26,53,7.811321316940115,3.39622665953918,2.3,0.6792453319078361,0.20444444,0.08888889,0.11555556,0.24390244,1.3207548120430146,0.29677419,0.79192547,3.056603993585262,3.0750954485737436,-0.018491454988481593,"Naofumi Kizawa","sa3063857",
"Taichi Yamano ","Swallows (NPB)",25,50.1,5.721854449186375,2.14569541844489,2.66666667,1.4304636122965937,0.14746544,0.05529954,0.0921659,0.29064039,1.4105960621258076,0.31288344,0.56634304,6.079470352260523,4.3268760448516215,1.7525943074089012,"Taichi Yamano","sa3063858",
"Takuma Kirishiki ","Tigers (NPB)",25,65.1,8.265307731104429,2.4795923193313287,3.33333333,0,0.22813688,0.06844106,0.15969582,0.19917012,1.010204278246097,0.26519337,0.8,1.7908166750726262,1.8712061577367254,-0.08038948266409918,"Takuma Kirishiki","sa3063883",
"Yuji Akahoshi ","Giants (NPB)",24,75,5.16,1.2,4.3,0.96,0.14776632,0.03436426,0.11340206,0.23655914,1.0133333333333334,0.25438596,0.74850299,3.12,3.417736930847168,-0.2977369308471678,"Yuji Akahoshi","sa3063888",
"Ren Fukushima ","Fighters (NPB)",21,61,5.163934749161439,2.5081968781641275,2.05882353,0.8852459569991038,0.14056225,0.06827309,0.07228916,0.22270742,1.1147541680729456,0.2393617,0.60702875,3.540983827996415,3.8124910989201135,-0.2715072709236983,"Ren Fukushima","sa3063898",
"Koki Kitayama ","Fighters (NPB)",25,81.2,9.587755400607218,3.085714381804622,3.10714286,0.5510204253222539,0.271875,0.0875,0.184375,0.18118467,0.9795918672395626,0.24102564,0.80769231,2.3142857863534667,2.575287947442223,-0.26100216108875607,"Koki Kitayama","sa3063900",
"Takumi Kurohara ","Carp (NPB)",24,59.2,10.10614632826505,3.016760097989567,3.35,0.3016760097989567,0.27459016,0.08196721,0.19262295,0.18099548,1.0055866993298557,0.25,0.79734219,2.111732068592697,2.044105576282762,0.06762649230993478,"Takumi Kurohara","sa3063914",
"Hiroto Takahashi ","Dragons (NPB)",21,143.2,8.14385121980207,2.129930319025157,3.82352941,0.06264500938309285,0.228471,0.05975395,0.16871705,0.20150659,0.9814384803351213,0.265,0.82172702,1.3781902064280427,1.7719829032970185,-0.3937926968689758,"Hiroto Takahashi","sa3063923",
"Chihiro Sumida ","Lions (NPB)",24,179.1,7.728624754515716,1.756505626026299,4.4,0.552044625322551,0.21418637,0.04867872,0.16550765,0.23641703,1.0929368339719194,0.29069767,0.7788671,2.7602231266127557,2.4133503056810053,0.3468728209317504,"Chihiro Sumida","sa3063941",
"Ryosuke Ohtsu ","Hawks (NPB)",25,119.1,7.315642769910196,1.6592179478146833,4.40909091,0.8296089739073417,0.20638298,0.04680851,0.15957447,0.22595078,1.0307263009151821,0.26548673,0.79189687,2.865921909861726,2.8485749261030486,0.017346983758677492,"Ryosuke Ohtsu","sa3063969",
"Ryuhei Sotani ","Buffaloes (NPB)",23,119,8.84873949579832,2.042016806722689,4.33333333,0.3025210084033613,0.23877551,0.05510204,0.18367347,0.24242424,1.1680672268907564,0.31671554,0.76636905,2.3445378151260505,1.8742075190824623,0.4703302960435882,"Ryuhei Sotani","sa3063976",
"Shoma Kanemura ","Fighters (NPB)",23,136,6.485294117647059,1.588235294117647,4.08333333,0.7279411764705882,0.18249534,0.04469274,0.13780261,0.22745098,1.0294117647058822,0.26184539,0.82288401,2.3823529411764706,2.9036192837883448,-0.5212663426118742,"Shoma Kanemura","sa3063978",
"Kojiro Yoshimura ","Swallows (NPB)",26,138.1,7.416867742584145,2.5373494908840497,2.92307692,0.5204819468480102,0.19520548,0.06678082,0.12842466,0.26519337,1.3228916149053593,0.32304038,0.74798619,3.1879519244440626,2.6905080149187235,0.4974439095253391,"Kojiro Yoshimura","sa3063985",
"Shinya Matsuyama ","Dragons (NPB)",24,54.1,9.441718012376048,2.8159509861472425,3.35294118,0,0.26635514,0.07943925,0.18691589,0.19587629,1.012269962340512,0.27737226,0.84482759,1.3251534052457612,1.7038718769128476,-0.3787184716670864,"Shinya Matsuyama","sa3063995",
"Taito Takashima ","Buffaloes (NPB)",24,56,4.821428899862351,3.214285933241567,1.5,0.48214288998623506,0.12605042,0.08403361,0.04201681,0.23364486,1.2500000851494983,0.25966851,0.67335244,4.017857416551959,3.6084512785989453,0.40940613795301406,"Taito Takashima","sa3064042",
"Tatsuki Koja ","Golden Eagles (NPB)",22,83.1,6.263999808837896,3.3479998978271515,1.87096774,1.0799999670410165,0.16714697,0.08933718,0.0778098,0.22653722,1.2119999630126965,0.24896266,0.70212766,4.319999868164066,4.23373688397217,0.08626298419189649,"Tatsuki Koja","sa3064045",
"Natsuki Takeuchi ","Lions (NPB)",22,145.1,6.626147020887568,1.3623853687806216,4.86363636,0.3715596460310786,0.18838028,0.03873239,0.14964789,0.22099448,0.9770642543780215,0.26511628,0.77598829,2.2293578761864716,2.2780121455157647,-0.048654269329293065,"Natsuki Takeuchi","sa3064053",
"Yutaro Ishida ","BayStars (NPB)",22,59,5.9491525423728815,1.8305084745762712,3.25,0.6101694915254238,0.15,0.04615385,0.10384615,0.30645161,1.4915254237288136,0.35121951,0.74029126,3.9661016949152543,2.867228456270897,1.0988732386443574,"Yutaro Ishida","sa3064062",
"Bo Takahashi ","Lions (NPB)",27,72.2,5.944954336497258,3.3440368142797072,1.77777778,0.4954128613747715,0.15238095,0.08571429,0.06666667,0.24822695,1.3348624320375786,0.28695652,0.73921971,3.2201835989360146,3.4546176912808466,-0.23443409234483203,"Bo Takahashi","sa830370",
