Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Tim Federowicz","TEX",0.2,0.875,0.318181818,0.318181818,0.363636363,0.1875,0.25,1,0.071428571,0,0,0.59574468,0.29787234,0.10638298,0.12765957,0.44680851,0.42553191,"Tim Federowicz",8609,543148
"Nolan Arenado","COL",0.311688311,0.804444444,0.192842942,0.359840954,0.447316103,0.151111111,0.182222222,17,0.093922651,0,0,0.42544732,0.34393638,0.2306163,0.16898608,0.4055666,0.42544732,"Nolan Arenado",9777,571448
"Hunter Pence","TEX",0.333333333,1.256410256,0.196347031,0.447488584,0.356164383,0.064102564,0.23076923,11,0.112244897,0,0,0.3652968,0.30593607,0.32876712,0.14155251,0.43378995,0.42465753,"Hunter Pence",8252,452254
"Dansby Swanson","ATL",0.299711815,1,0.258241758,0.37087912,0.37087912,0.074074074,0.125925925,13,0.096296296,0,0,0.41643836,0.32054795,0.2630137,0.12328767,0.45205479,0.42465753,"Dansby Swanson",18314,621020
"Max Kepler","MIN",0.244274809,0.775,0.172494172,0.361305361,0.466200466,0.155,0.18,9,0.058064516,0,0,0.53379953,0.26806527,0.1981352,0.1958042,0.37995338,0.42424242,"Max Kepler",12144,596146
"Ryan O'Hearn","KCR",0.230414746,1.289156626,0.177489177,0.463203463,0.359307359,0.096385542,0.168674698,4,0.037383177,0,0,0.41558442,0.34632035,0.23809524,0.14285714,0.43290043,0.42424242,"Ryan O'Hearn",16442,656811
"Yandy Díaz","TBR",0.288135593,1.5875,0.172,0.508,0.32,0.1,0.175,4,0.031496062,0,0,0.332,0.396,0.272,0.176,0.4,0.424,"Yandy Diaz",16578,650490
"Justin Smoak","TOR",0.222996515,0.856060606,0.207119741,0.365695792,0.427184466,0.068181818,0.166666666,4,0.03539823,0,0,0.4789644,0.34951456,0.17152104,0.14239482,0.43365696,0.42394822,"Justin Smoak",9054,475253
"Kole Calhoun","LAA",0.264623955,1.104166666,0.223076923,0.407692307,0.369230769,0.083333333,0.229166666,2,0.012578616,1,0.5,0.50510204,0.29336735,0.20153061,0.13520408,0.44132653,0.42346939,"Kole Calhoun",11200,594777
"Nick Castellanos","- - -",0.337053571,0.952127659,0.227368421,0.376842105,0.395789473,0.021276595,0.143617021,22,0.122905027,0,0,0.40842105,0.32842105,0.26315789,0.12631579,0.45052632,0.42315789,"Nick Castellanos",11737,592206
