Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Jayson Werth","WSN",606,0.117161716,0.229372937,0.510791366,0.243809523,0.334983498,0.417142857,0.752126355,0.173333334,3.3732847927478415,0.288409703,3.5999999046325684,-1.7000000476837158,-1.0149383544921875,0.24471919471397996,76.02748179940161,4.637960841335632,0.32739513168240536,100.18240650065016,"Jayson Werth",1327,150029
"Manny Piña","MIL",81,0.12345679,0.185185185,0.666666666,0.253521126,0.345679012,0.394366197,0.740045209,0.140845071,0.7614311260343101,0.296296296,-0.29999999701976776,-0.20000000298023224,-0.19651728868484497,-0.45909579703584313,10.101159336336979,0.5589956439222182,0.3264835278193156,100.06562438922934,"Manny Pina",2829,444489
"Lonnie Chisenhall","CLE",418,0.055023923,0.167464114,0.328571428,0.285714285,0.327710843,0.438961038,0.766671881,0.153246753,5.741514357392186,0.327974276,0.7999999523162842,1.2000000476837158,1.419824481010437,0.9845927283167839,52.20320502996466,2.9609281975032986,0.3267045507419485,100.02859718807662,"Lonnie Chisenhall",7571,502082
"Trayce Thompson","LAD",262,0.099236641,0.251908396,0.393939393,0.224576271,0.301526717,0.436440677,0.737967394,0.211864406,3.742771125779696,0.25477707,2.599999785423279,1.100000023841858,1.860543966293335,0.46685796207748353,30.81336741049745,-0.05140897731325605,0.31788229919571914,99.78109771393362,"Trayce Thompson",9952,572204
"Lorenzo Cain","KCR",434,0.071428571,0.193548387,0.369047619,0.287153652,0.338709677,0.408060453,0.74677013,0.120906801,4.840215845498457,0.34090909,2.5999999046325684,-2,1.2905021905899048,0.49330192687921226,52.48835867707403,1.3612100041356814,0.32192108207954884,99.33049137182357,"Lorenzo Cain",9077,456715
"Roman Quinn","PHI",69,0.115942028,0.275362318,0.421052631,0.263157894,0.373134328,0.333333333,0.706467661,0.070175439,6.026620262183952,0.394736842,0.3999999761581421,0.6000000238418579,0.4835720360279083,0.5431480437982827,8.369631662791154,0.2411218507341347,0.32235504709072965,99.19347029235229,"Roman Quinn",13546,596451
"Jonathan Schoop","BAL",647,0.032457496,0.211746522,0.153284671,0.266666666,0.298299845,0.453658536,0.751958381,0.18699187,2.4213427870682955,0.304824561,0.6000000238418579,-0.5,1.2294148206710815,-0.908916795393452,77.39682982201656,1.1773247727282887,0.3203253192363603,99.16574360088462,"Jonathan Schoop",11265,570731
"Jon Jay","SDP",373,0.050938337,0.209115281,0.243589743,0.291066282,0.338709677,0.389048991,0.727758668,0.097982709,3.936379089440911,0.370786516,2.7999999970197678,0.20000000298023224,2.616015911102295,0.18234889046289027,44.14490909707034,0.20383431595051335,0.31878235407413974,99.05611423466368,"Jon Jay",5227,445055
"Carlos Ruiz","- - -",233,0.115879828,0.141630901,0.818181818,0.263681592,0.364806866,0.348258706,0.713065572,0.084577114,2.7956650184002316,0.303030303,-0.3999999985098839,0.30000000447034836,0.07055950164794922,0.02646908932365477,27.974556771880614,0.5261105949344542,0.3208446769878782,98.8047960333187,"Carlos Ruiz",2579,434563
"Wilmer Difo","WSN",66,0.121212121,0.181818181,0.666666666,0.275862068,0.363636363,0.379310344,0.742946707,0.103448276,6.299653961273395,0.333333333,0,0.30000001192092896,-0.27290770411491394,0.5573673162143677,8.142701663245154,0.36760532127757084,0.32487002060963555,98.49059327179242,"Wilmer Difo",14320,594694
"Cameron Rupp","PHI",419,0.057279236,0.272076372,0.210526315,0.25192802,0.303102625,0.447300771,0.750403396,0.195372751,2.0841404960323953,0.315384615,-1.2999998331069946,-1.399999976158142,-0.6173186898231506,0.011518624611198902,50.432601720333956,1.0725203978427835,0.3212221711518372,98.434448433575,"Cameron Rupp",11146,519237
"Marcus Semien","OAK",621,0.082125603,0.223832528,0.366906474,0.237676056,0.3,0.434859154,0.734859154,0.197183098,4.383726272703247,0.267990074,-1.4999999776482582,0.10000000149011612,1.1220009326934814,0.8910832314286381,71.57015217535955,-1.5864361331536114,0.31502415377026804,98.33791469758057,"Marcus Semien",12533,543760
"Mac Williamson","SFG",127,0.102362204,0.275590551,0.371428571,0.223214285,0.314960629,0.410714285,0.725674914,0.1875,1.600697630377835,0.267605633,-1.199999988079071,-0.30000001192092896,-0.8346443772315979,-0.4792902304325253,14.869082848804009,-0.09208738498209694,0.31724135753676647,98.129151556988,"Mac Williamson",14158,607776
"Tim Beckham","TBR",215,0.065116279,0.311627906,0.208955223,0.247474747,0.300469483,0.434343434,0.734812917,0.186868687,5.787472432713845,0.349206349,-0.8999999538064003,0.10000000149011612,0.4164903461933136,-0.10397230973467231,24.638591878213482,-0.689373478196069,0.31423431914736966,98.09097234375479,"Tim Beckham",7949,542921
"Adam Jones","BAL",672,0.058035714,0.171130952,0.339130434,0.264943457,0.309985096,0.436187399,0.746172495,0.171243942,2.551678035056827,0.279503105,2.2000001072883606,-0.800000011920929,2.1910994052886963,0.04547550855204463,79.38170182487806,0.21708452484449597,0.31851158236530686,97.91922399182386,"Adam Jones",6368,430945
"Nick Markakis","ATL",684,0.103801169,0.147660818,0.702970297,0.268781302,0.346491228,0.397328881,0.743820109,0.128547579,1.2915161112330258,0.299595141,-0.8999999761581421,-0.5,-1.3072173595428467,-1.216620443155989,82.00810335932404,1.4298321789327308,0.32065341349001286,97.85607711440765,"Nick Markakis",5930,455976
"Francisco Cervelli","PIT",393,0.142493638,0.183206106,0.777777777,0.26380368,0.37659033,0.322085889,0.698676219,0.058282209,4.006772815315304,0.329457364,0.8999999761581421,-1.5,0.747383177280426,0.08659556764177978,46.35514824287213,0.05798366115607206,0.3182988949880308,97.83406384271761,"Francisco Cervelli",5275,465041
"Tim Anderson","CHW",431,0.030162412,0.271461716,0.111111111,0.282926829,0.305882352,0.431707317,0.737589669,0.148780488,6.983900003803571,0.375438596,1.2999999523162842,-2,2.940272331237793,0.9718609650153667,49.74306404284992,-1.030671159998991,0.31522205352783206,97.5523715718714,"Tim Anderson",15172,641313
"Michael Conforto","NYM",348,0.103448275,0.255747126,0.404494382,0.220394736,0.310344827,0.414473684,0.724818511,0.194078948,3.3041338221857695,0.266990291,0.7999999523162842,0.5,-0.7172999382019043,-0.17128708772361279,39.197945692814294,-1.798016837560236,0.3118586290433917,97.39628550546078,"Michael Conforto",16376,624424
"Marco Hernández","BOS",56,0.089285714,0.178571428,0.5,0.294117647,0.357142857,0.372549019,0.729691876,0.078431372,5.212761527292223,0.35,0.5999999940395355,0.4000000059604645,0.458793044090271,0.15961113618686795,6.856991363129432,0.2599399214599687,0.32374539971351624,97.35758794110097,"Marco Hernandez",13154,593523
"Didi Gregorius","NYY",597,0.031825795,0.137353433,0.231707317,0.275800711,0.304054054,0.446619217,0.750673271,0.170818506,4.331308438844872,0.29032258,1.7000000476837158,1.2000000476837158,2.7822277545928955,0.7120339786633849,70.56067227444898,0.23139172665130342,0.3185898075669499,97.19616952842985,"Didi Gregorius",6012,544369
"Ty Kelly","NYM",71,0.154929577,0.126760563,1.222222222,0.24137931,0.352112676,0.344827586,0.696940262,0.103448276,3.85119047125,0.26,-0.19999998807907104,-0.30000001192092896,-0.10861703008413315,-0.04936417052522302,7.950884825372901,-0.4132339667437409,0.31106668458858006,96.86568623019754,"Ty Kelly",7740,571841
"Josh Rutledge","BOS",56,0.107142857,0.339285714,0.315789473,0.265306122,0.345454545,0.387755102,0.733209647,0.12244898,6.032838259303226,0.433333333,0.20000000298023224,-0.4000000059604645,0.5452439188957214,0.3708302688319236,6.805717311159221,0.20866586948975613,0.32263578826730904,96.59498976701624,"Josh Rutledge",11167,592710
"Ender Inciarte","ATL",578,0.077854671,0.117647058,0.661764705,0.291187739,0.35078534,0.381226053,0.732011393,0.090038314,6.283820213256097,0.328918322,3.399999976158142,1.100000023841858,3.4807775020599365,-0.03162113903090358,68.35200280724511,0.2610075700138632,0.3186673431749075,96.52541880445412,"Ender Inciarte",4922,542255
"Brett Gardner","NYY",634,0.110410094,0.167192429,0.660377358,0.261425959,0.35079365,0.361974405,0.712768055,0.100548446,6.035552202316166,0.309794988,4.5,1.5,4.541411399841309,1.1437219181098044,74.19862232847821,-0.4894243504225179,0.3171845623425075,96.23039232239613,"Brett Gardner",9927,458731
"Chase Utley","LAD",565,0.07079646,0.203539823,0.347826086,0.251953125,0.319148936,0.396484375,0.715633311,0.14453125,3.910038088013409,0.299479166,0.2999999523162842,2,0.8822776675224304,-0.7246235739439726,63.67457150086619,-2.8849653659775094,0.31193204703170074,95.79445513227347,"Chase Utley",1679,400284
"Tyler Saladino","CHW",319,0.040752351,0.194357366,0.209677419,0.281879194,0.315457413,0.409395973,0.724853386,0.127516779,3.9733787121667206,0.329004329,1.5,-1.399999976158142,0.8166047930717468,-0.0236765225417912,36.14070228890488,-1.4389300306050987,0.3126535801105319,95.78714722697713,"Tyler Saladino",10807,573135
