Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Jon Lester","CHC",13,10,4.456310547576888,31,31,14,0,0,0,0,0,171.2,764,205,101,85,26,52,0,5,3,0,165,"Jon Lester",4930,452657
"Jakob Junis","KCR",9,14,5.2357415967510965,31,31,12,0,0,0,0,0,175.1,771,192,108,102,31,58,1,11,4,0,164,"Jakob Junis",13619,596001
"Hyun Jin Ryu","LAD",14,5,2.3156931727396084,29,29,22,1,1,0,0,0,182.2,723,160,53,47,17,24,2,4,0,0,163,"Hyun Jin Ryu",14444,547943
"Julio Teheran","ATL",10,11,3.8129769882034132,33,33,15,0,0,0,0,0,174.2,754,148,81,74,22,83,3,14,5,1,162,"Julio Teheran",6797,527054
"Marcus Stroman","- - -",10,13,3.2224231687026563,32,32,18,0,0,0,0,0,184.1,774,183,77,66,18,58,1,1,7,0,159,"Marcus Stroman",13431,573186
"Tanner Roark","- - -",10,10,4.354838642691972,31,31,8,0,0,0,0,0,165.1,722,180,84,80,28,51,1,13,3,0,158,"Tanner Roark",8753,543699
"Merrill Kelly","ARI",13,14,4.418181573032361,32,32,15,0,0,0,0,0,183.1,777,184,95,90,29,57,4,2,4,0,158,"Merrill Kelly",11156,518876
"Joey Lucchesi","SDP",10,10,4.1792263290017635,30,30,11,0,0,0,0,0,163.2,686,144,78,76,23,56,0,2,8,0,158,"Joey Lucchesi",19320,664192
"Joe Musgrove","PIT",11,12,4.438356296915739,32,31,17,0,0,0,1,0,170.1,718,168,98,84,21,39,1,9,2,0,157,"Joe Musgrove",12970,605397
"Adam Wainwright","STL",14,10,4.194175005817599,31,31,14,0,0,0,0,0,171.2,745,181,83,80,22,64,7,8,2,0,153,"Adam Wainwright",2233,425794
"Jose Quintana","CHC",13,9,4.684210526315789,32,31,14,0,0,0,0,0,171,745,191,100,89,20,46,0,2,11,0,152,"Jose Quintana",11423,500779
"Sandy Alcantara","MIA",6,14,3.876688989346015,32,32,14,2,2,0,0,0,197.1,838,179,94,85,23,81,5,8,4,1,151,"Sandy Alcantara",18684,645261
"Kyle Hendricks","CHC",11,10,3.457627118644068,30,30,16,1,1,0,0,0,177,730,168,78,68,19,32,1,9,1,0,150,"Kyle Hendricks",12049,543294
"Homer Bailey","- - -",13,9,4.573469102915917,31,31,13,0,0,0,0,0,163.1,696,162,84,83,21,53,1,4,4,1,149,"Homer Bailey",8362,456701
"Masahiro Tanaka","NYY",11,9,4.450549450549451,32,31,15,1,1,0,0,0,182,759,186,95,90,28,40,0,2,7,0,149,"Masahiro Tanaka",15764,547888
"Marco Gonzales","SEA",16,13,3.9901477832512313,34,34,19,0,0,0,0,0,203,866,210,106,90,23,56,1,6,2,1,147,"Marco Gonzales",15467,594835
"Miles Mikolas","STL",9,14,4.157608695652174,32,32,17,1,1,0,0,0,184,764,193,90,85,27,32,1,12,5,2,144,"Miles Mikolas",9803,571945
"Rick Porcello","BOS",14,12,5.523899767800943,32,32,13,0,0,0,0,0,174.1,768,198,114,107,31,45,2,6,5,2,143,"Rick Porcello",2717,519144
"Michael Soroka","ATL",13,4,2.6793890008837282,29,29,18,0,0,0,0,0,174.2,701,153,56,52,14,41,1,7,3,0,142,"Michael Soroka",18383,647336
"Jeff Samardzija","SFG",11,12,3.523897454194176,32,32,13,0,0,0,0,0,181.1,740,152,78,71,28,49,4,6,5,0,140,"Jeff Samardzija",3254,502188
"Wade Miley","HOU",14,6,3.9800794393179575,33,33,14,0,0,0,0,0,167.1,720,164,83,74,23,61,0,5,4,2,140,"Wade Miley",8779,489119
"Dakota Hudson","STL",16,7,3.349236361967897,33,32,17,0,0,1,0,0,174.2,757,160,80,65,22,86,8,9,5,0,136,"Dakota Hudson",19206,641712
"Martín Pérez","MIN",10,7,5.1169348148538845,32,29,11,0,0,0,0,0,165.1,737,184,104,94,23,67,1,3,3,1,135,"Martin Perez",6902,527048
"Aníbal Sánchez","WSN",11,8,3.849397944199706,30,30,13,0,0,0,0,0,166,712,153,77,71,22,58,10,4,1,3,134,"Anibal Sanchez",3284,434671
"Zach Eflin","PHI",10,13,4.132652466022175,32,28,14,2,1,0,0,0,163.1,705,172,88,75,28,48,5,6,1,0,129,"Zach Eflin",13774,621107
"Mike Leake","- - -",12,11,4.294416409968513,32,32,19,2,1,0,0,0,197,835,227,114,94,41,27,2,10,2,0,127,"Mike Leake",10130,502190
"Mike Fiers","OAK",15,4,3.89891653795852,33,33,19,1,1,0,0,0,184.2,754,166,82,80,30,53,0,9,13,1,126,"Mike Fiers",7754,571666
"Brad Keller","KCR",7,14,4.1915323870115095,28,28,14,0,0,0,0,0,165.1,709,154,80,77,15,70,2,9,9,1,122,"Brad Keller",15734,641745
"Iván Nova","CHW",11,12,4.716577540106952,34,34,11,2,0,0,0,0,187,806,225,107,98,30,47,1,9,7,0,114,"Ivan Nova",1994,467100
"Brett Anderson","OAK",13,9,3.8863639733023185,31,31,17,0,0,0,0,0,176,743,181,80,76,20,49,2,4,4,0,90,"Brett Anderson",8223,474463
