Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Ricky Nolasco","LAA",7.110496638134982,2.883977657425377,2.46551724,1.7403313449980724,0.18170267,0.07369759,0.10800508,0.28236914600550966,1.4530385515380733,0.3102189781021898,0.75576037,115.25837239821716,116.25992049525229,109.07259943538618,4.922651518708833,5.102390911481554,-0.17973939277272066,4.789974423838686,4.759098365614884,"Ricky Nolasco",3830,445060
"Zach Davies","MIL",5.83275230313332,2.587107876389779,2.25454545,0.9407665005053742,0.15177479,0.06731946,0.08445532,0.27091633466135456,1.3536584646160663,0.3021346469622332,0.74166667,89.08451632579528,96.89610082913558,102.1678832988322,3.9041809770973033,4.223841728119957,-0.3196607510226541,4.41753850490289,4.719531822328568,"Zach Davies",13183,605200
"Marco Estrada","TOR",8.5161283336247,3.435483589132691,2.47887324,1.4999998769452596,0.21836228,0.08808933,0.13027295,0.25375170532060026,1.3817203167560277,0.2946768060836502,0.71892393,114.19814547990256,103.59077851817165,115.96708667327904,4.983870558882637,4.60925247835444,0.37461808052819645,5.091668271117532,4.689160953575583,"Marco Estrada",1118,462136
"Jason Hammel","KCR",7.236599095049425,2.395563838361189,3.02083333,1.2975970791123108,0.18034826,0.05970149,0.12064677,0.2797858099062918,1.4251386723583925,0.3177083333333333,0.68379791,118.60453814697097,101.4669176421842,112.14211210056466,5.29020347638096,4.372057473383081,0.9181460029978785,4.924292329329779,4.654303887680818,"Jason Hammel",4538,434628
"Jhoulys Chacín","SDP",7.635860380879725,3.593346061590459,2.125,0.9482440995863711,0.2,0.09411765,0.10588235,0.23122238586156113,1.2698707532472455,0.27218934911242604,0.74399261,92.45701173332682,99.41377285517096,104.9604843619288,3.8927915667229973,4.261151833498592,-0.3683602667755945,4.538752522459702,4.628877582355251,"Jhoulys Chacin",2608,468504
"Ervin Santana","MIN",7.111987039368107,2.597791673062602,2.73770492,1.3201892109006665,0.19328704,0.07060185,0.12268519,0.22264150943396227,1.1261829110908912,0.24455611390284757,0.7946693,74.24494090000303,100.96268057857587,108.62484364704473,3.2791796528823007,4.463633322201624,-1.1844536693193235,4.7703812094682725,4.597177634301151,"Ervin Santana",3200,429722
"Alex Cobb","TBR",6.423792003753322,2.208178501290204,2.90909091,1.104089250645102,0.17250674,0.05929919,0.11320755,0.25289017341040465,1.2211896257135222,0.2822878228782288,0.7569516,86.79576611797215,98.0730966763092,96.56988220610936,3.6635688771405666,4.161357194800324,-0.4977883176597575,4.242871683317421,4.483212441814183,"Alex Cobb",6562,502171
"Michael Fulmer","DET",6.23076903831176,2.1862347502848283,2.85,0.7105262938425692,0.16863905,0.0591716,0.10946746,0.23885350318471338,1.1538461182058815,0.27345309381237526,0.65628476,86.457394186928,82.51607489462948,96.40098389548683,3.8259108129984494,3.6738340102533407,0.1520768027451087,4.235480911622242,4.4754897942139795,"Michael Fulmer",13218,605242
"John Lackey","CHC",7.857422343338867,2.7949220415903353,2.81132075,1.8984376131556995,0.20383037,0.07250342,0.13132695,0.24774774774774774,1.277343826135625,0.2681912681912682,0.76280624,106.11996963583093,122.27262108390823,106.78202835344142,4.587890898459607,5.296311696688653,-0.7084207982290458,4.61781740153802,4.463439801318027,"John Lackey",1507,407793
"Luis Perdomo","SDP",6.488798773976423,3.574338307698877,1.81538462,0.9348269420135524,0.16480447,0.09078212,0.07402235,0.28304821150855364,1.5091650632506368,0.3248031496062992,0.683391,111.01455609031754,102.73489303508775,98.0415519391624,4.674134710067762,4.404075616898604,0.27005909316915844,4.238433365795904,4.45476507100454,"Luis Perdomo",14682,606131
