Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Albert Almora Jr.","CHC","CF",137,94,918.1,265,3,3,2,1,0,0,0,0,,,,,,0.98892989,,"Albert Almora Jr.",14109,546991
"Carlos Correa","HOU","SS",109,109,959,106,268,6,4,2,37,23,16,4,,,,,,0.98421053,,"Carlos Correa",14162,621043
"Yasiel Puig","LAD","RF",118,107,964.2,171,10,8,4,4,0,4,0,0,,,,,,0.95767196,,"Yasiel Puig",14225,624577
"Mitch Haniger","SEA","RF",144,128,1154.2,282,12,8,8,0,0,1,0,0,,,,,,0.97350993,,"Mitch Haniger",14274,571745
"Matt Olson","OAK","1B",162,152,1403.1,1403,84,7,3,3,107,18,1,107,44,,,,,0.99531459,,"Matt Olson",14344,621566
"Ronald Guzmán","TEX","1B",117,105,939.2,909,54,6,4,1,92,9,0,98,23,,,,,0.99380805,,"Ronald Guzman",14388,608597
"Nomar Mazara","TEX","RF",113,113,984,213,7,2,2,0,0,0,0,0,,,,,,0.99099099,,"Nomar Mazara",14553,608577
"Manuel Margot","SDP","CF",136,123,1111,286,2,3,3,0,0,0,0,0,,,,,,0.98969072,,"Manuel Margot",14712,622534
"Johan Camargo","ATL","3B",114,105,937,64,170,10,7,3,11,13,1,2,,,,,,0.95901639,,"Johan Camargo",14950,622666
"Adam Engel","CHW","CF",140,124,1118,355,5,7,4,3,0,1,0,0,,,,,,0.98092643,,"Adam Engel",15082,641553
"Tim Anderson","CHW","SS",151,151,1329.1,188,392,20,8,12,57,45,19,8,,,,,,0.96666667,,"Tim Anderson",15172,641313
"Ryon Healy","SEA","1B",131,128,1139,1007,63,8,6,1,103,9,2,109,19,,,,,0.99257885,,"Ryon Healy",15447,592387
"Amed Rosario","NYM","SS",146,141,1271.2,160,332,16,13,2,56,32,24,2,,,,,,0.96850394,,"Amed Rosario",15518,642708
"José Abreu","CHW","1B",114,114,999.2,903,73,8,5,2,69,9,0,75,18,,,,,0.99186992,,"Jose Abreu",15676,547989
"Miguel Andujar","NYY","3B",136,132,1169.1,93,178,15,7,7,6,6,0,0,,,,,,0.94755245,,"Miguel Andujar",15878,609280
"Trea Turner","WSN","SS",159,158,1401,203,399,12,10,2,62,39,27,5,,,,,,0.98045603,,"Trea Turner",16252,607208
"Rhys Hoskins","PHI","LF",135,133,1172.1,235,5,6,6,0,0,0,0,0,,,,,,0.97560976,,"Rhys Hoskins",16472,656555
"Kyle Schwarber","CHC","LF",120,115,943.2,174,11,1,1,0,0,0,0,0,,,,,,0.99462366,,"Kyle Schwarber",16478,656941
"Matt Chapman","OAK","3B",145,144,1273.2,133,331,20,8,12,32,33,3,1,,,,,,0.95867769,,"Matt Chapman",16505,656305
"Ozzie Albies","ATL","2B",157,151,1361.2,248,389,10,5,5,84,36,52,7,,,,,,0.98454405,,"Ozzie Albies",16556,645277
"Colin Moran","PIT","3B",116,107,934.2,64,188,10,10,0,11,14,1,0,,,,,,0.96183206,,"Colin Moran",16909,592567
"Gleyber Torres","NYY","2B",109,104,915.2,163,230,12,8,4,35,14,22,4,,,,,,0.97037037,,"Gleyber Torres",16997,650402
"Yoán Moncada","CHW","2B",149,148,1294.1,213,335,21,19,2,68,26,49,7,,,,,,0.96309315,,"Yoan Moncada",17232,660162
"Rafael Devers","BOS","3B",116,113,1016.2,57,245,24,12,12,13,14,0,0,,,,,,0.92638037,,"Rafael Devers",17350,646240
"Alex Bregman","HOU","3B",136,133,1173.2,84,245,13,2,11,21,22,0,1,,,,,,0.9619883,,"Alex Bregman",17678,608324
"Andrew Benintendi","BOS","LF",129,123,1077.1,201,11,3,1,2,0,2,0,0,,,,,,0.98604651,,"Andrew Benintendi",17901,643217
"Paul DeJong","STL","SS",114,111,1005.1,153,289,12,4,8,61,31,30,3,,,,,,0.97356828,,"Paul DeJong",18015,657557
"Dansby Swanson","ATL","SS",136,132,1165.2,165,350,10,8,2,70,36,36,5,,,,,,0.98095238,,"Dansby Swanson",18314,621020
"Juan Soto","WSN","LF",114,112,987,207,4,2,2,0,0,2,0,0,,,,,,0.99061033,,"Juan Soto",20123,665742
