Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Mookie Betts","LAD",516,0.118217054,0.110465116,1.070175438,0.288888888,0.372093023,0.491111111,0.863204134,0.202222223,6.294592030484924,0.293650793,-1.399999976158142,-0.6000000238418579,-0.6597516536712646,1.2692632526159286,85.60721453790048,25.246529576819928,0.3709689515573969,139.58826654924889,"Mookie Betts",13611,605141
"Jurickson Profar","SDP",668,0.113772455,0.151197604,0.752475247,0.280141843,0.380090497,0.459219858,0.839310355,0.179078015,3.6232297817421055,0.301801801,-3.5000001192092896,0.6000000238418579,-0.010630891658365726,-0.7540415599942207,107.77482664995253,29.633474801111813,0.365296050431334,139.0482625124775,"Jurickson Profar",10815,595777
"Seiya Suzuki","CHC",585,0.107692307,0.273504273,0.39375,0.283203125,0.365811965,0.482421875,0.84823384,0.19921875,5.7790041590865755,0.370149253,-1.5,2.0999999046325684,-0.34251993894577026,-0.4691487178206444,94.18438053726358,25.752208633712957,0.36487284691882704,137.04940226830053,"Seiya Suzuki",30116,673548
"Francisco Lindor","NYM",689,0.081277213,0.184325108,0.440944881,0.273462783,0.343976777,0.5,0.843976777,0.226537217,5.650956853192346,0.295010845,2.2000001668930054,1.600000023841858,1.1131991147994995,2.885617181658745,109.82636414417776,29.228472791107027,0.36288581496572286,136.88434045427996,"Francisco Lindor",12916,596019
"Freddie Freeman","LAD",638,0.122257053,0.156739811,0.78,0.282287822,0.377742946,0.47601476,0.853757706,0.193726938,4.09725074533176,0.306074766,-0.20000000298023224,0.10000000149011612,-1.096237301826477,-0.3754018619656563,102.96599371057994,28.33398401063927,0.36535710949207906,135.81111216912672,"Freddie Freeman",5361,518692
"Rafael Devers","BOS",601,0.111480865,0.244592346,0.455782312,0.272380952,0.354409317,0.516190476,0.870599793,0.243809524,4.6673906424774545,0.323033707,-1.2999999523162842,-0.5,-0.45952650904655457,-0.44179974496364594,96.35161241729715,26.047791367666516,0.36402783280133794,135.56321950373743,"Rafael Devers",17350,646240
"Riley Greene","DET",584,0.109589041,0.267123287,0.41025641,0.26171875,0.34819897,0.478515625,0.826714595,0.216796875,4.895374963546641,0.329341317,0.20000004768371582,1.5,0.9737738966941833,-1.1386292055249214,89.56901136052309,21.253817528602468,0.35539623961366457,133.9164145492124,"Riley Greene",25976,682985
"Kyle Schwarber","PHI",692,0.15317919,0.28468208,0.538071065,0.247818499,0.365606936,0.485165794,0.85077273,0.237347295,2.8862746911738246,0.300578034,-0.10000002384185791,0.6000000238418579,-0.7096487283706665,-1.7066870406270027,111.93187423265138,30.98304866469064,0.36580757077696713,133.78848837650378,"Kyle Schwarber",16478,656941
"Teoscar Hernández","LAD",652,0.081288343,0.288343558,0.281914893,0.271646859,0.339477726,0.500848896,0.840326622,0.229202037,4.415695283835049,0.344173441,0.7999999523162842,1.7000000476837158,0.6048876643180847,-0.006774969398975372,102.33031413060182,26.06061142784112,0.359840165041847,132.0978303888234,"Teoscar Hernandez",13066,606192
"William Contreras","MIL",679,0.114874815,0.204712812,0.561151079,0.280672268,0.365243004,0.465546218,0.830789222,0.18487395,4.415599497166965,0.330275229,-0.2999999523162842,-3.0999999046325684,-2.134981393814087,-0.4385412409901619,105.95967461599218,26.53156397922146,0.3587271837346278,131.66159897082017,"William Contreras",20503,661388
