"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Jiménez, Joe","641729","2023","238","149",0.233,0.226,0.007000000000000006,0.42,0.414,0.006000000000000005,0.302,0.3,0.0020000000000000018,"3.04","3.77","-0.734"
"Fulmer, Michael","605242","2023","237","142",0.235,0.239,-0.0040000000000000036,0.402,0.373,0.029000000000000026,0.32,0.319,0.0010000000000000009,"4.42","4.30","0.121"
"Nardi, Andrew","677053","2023","237","139",0.213,0.19,0.022999999999999993,0.365,0.304,0.061,0.289,0.259,0.02999999999999997,"2.67","2.77","-0.101"
"Bautista, Félix","642585","2023","237","99",0.144,0.142,0.0020000000000000018,0.215,0.236,-0.02099999999999999,0.218,0.224,-0.006000000000000005,"1.48","2.08","-0.605"
"Raley, Brooks","548384","2023","236","144",0.217,0.211,0.006000000000000005,0.33,0.32,0.010000000000000009,0.289,0.284,0.0050000000000000044,"2.80","3.35","-0.551"
"Davidson, Tucker","656353","2023","236","166",0.306,0.289,0.017000000000000015,0.478,0.444,0.033999999999999975,0.364,0.346,0.018000000000000016,"5.96","5.16","0.801"
"Hand, Brad","543272","2023","236","150",0.27,0.257,0.013000000000000012,0.46,0.4,0.06,0.344,0.328,0.01599999999999996,"5.53","4.58","0.954"
"Young, Alex","622065","2023","236","165",0.248,0.248,0,0.435,0.392,0.04299999999999998,0.324,0.311,0.013000000000000012,"3.86","4.07","-0.213"
"Bido, Osvaldo","674370","2023","236","159",0.27,0.274,-0.0040000000000000036,0.377,0.38,-0.0030000000000000027,0.326,0.332,-0.006000000000000005,"5.86","4.70","1.162"
"Harvey, Hunter","640451","2023","235","153",0.203,0.223,-0.01999999999999999,0.332,0.38,-0.04799999999999999,0.252,0.283,-0.030999999999999972,"2.82","3.33","-0.511"
