Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY","CF",105,105,903,248,4,0,0,0,0,2,0,0,,,,,,1,,"Aaron Judge",15640,592450
"Rowdy Tellez","PIT","1B",124,105,905.1,740,61,2,0,2,74,4,0,73,5,,,,,0.99750934,,"Rowdy Tellez",15679,642133
"Willy Adames","MIL","SS",161,161,1406.1,204,323,20,10,10,61,31,32,3,,,,,,0.96343693,,"Willy Adames",15986,642715
"Trea Turner","PHI","SS",118,118,1018.2,136,291,17,10,7,47,28,19,4,,,,,,0.96171171,,"Trea Turner",16252,607208
"Matt Chapman","SFG","3B",154,153,1338,100,290,15,7,7,32,33,0,1,,,,,,0.96296296,,"Matt Chapman",16505,656305
"Yandy Díaz","TBR","1B",112,110,956.1,784,45,9,6,3,64,7,0,64,12,,,,,0.98926014,,"Yandy Diaz",16578,650490
"Jonah Heim","TEX","C",119,110,977.1,967,37,7,2,5,0,3,1,3,,98,14,0,36,0.99307616,,"Jonah Heim",16930,641680
"Gleyber Torres","NYY","2B",153,152,1342.2,234,330,18,14,4,62,25,42,7,,,,,,0.96907216,,"Gleyber Torres",16997,650402
"Alex Verdugo","NYY","LF",141,137,1220.1,268,7,1,1,0,0,1,0,0,,,,,,0.99637681,,"Alex Verdugo",17027,657077
"Rafael Devers","BOS","3B",130,130,1138.1,102,185,12,9,3,18,17,1,1,,,,,,0.95986622,,"Rafael Devers",17350,646240
"Jose Siri","TBR","CF",128,116,1048.2,336,1,7,5,2,0,1,0,0,,,,,,0.97965116,,"Jose Siri",17452,642350
"Taylor Ward","LAA","LF",141,141,1241,302,8,5,4,1,0,0,0,0,,,,,,0.98412698,,"Taylor Ward",17548,621493
"Alex Bregman","HOU","3B",142,142,1234.2,103,242,10,3,7,22,24,0,1,,,,,,0.97183099,,"Alex Bregman",17678,608324
"Andrew Benintendi","CHW","LF",124,118,1030,244,3,3,1,2,0,0,0,0,,,,,,0.988,,"Andrew Benintendi",17901,643217
"Brendan Rodgers","COL","2B",132,124,1093,181,342,8,4,4,88,32,54,3,,,,,,0.98493409,,"Brendan Rodgers",17907,663898
"Ian Happ","CHC","LF",144,144,1248.1,307,11,1,1,0,0,2,0,0,,,,,,0.9968652,,"Ian Happ",17919,664023
"Cedric Mullins","BAL","CF",140,121,1090,271,2,1,1,0,0,0,0,0,,,,,,0.99635036,,"Cedric Mullins",17929,656775
"Ty France","- - -","1B",133,124,1105,842,95,5,2,1,80,7,1,79,26,,,,,0.99469214,,"Ty France",17982,664034
"Tyler Stephenson","CIN","C",127,112,1001,945,32,4,0,4,0,3,1,1,,81,18,4,33,0.99592253,,"Tyler Stephenson",17988,663886
"Harrison Bader","NYM","CF",140,108,1025.1,278,1,4,2,2,0,0,0,0,,,,,,0.98586572,,"Harrison Bader",18030,664056
"Dansby Swanson","CHC","SS",148,146,1273.1,166,335,5,2,3,53,25,28,3,,,,,,0.99011858,,"Dansby Swanson",18314,621020
"Austin Riley","ATL","3B",109,109,960.1,60,178,10,8,2,17,17,0,0,,,,,,0.95967742,,"Austin Riley",18360,663586
"Ryan Mountcastle","BAL","1B",114,108,981.1,860,74,3,2,1,55,5,0,53,10,,,,,0.99679829,,"Ryan Mountcastle",18373,663624
"Josh Naylor","CLE","1B",137,137,1205,1008,69,9,8,1,105,11,2,104,15,,,,,0.99171271,,"Josh Naylor",18839,647304
"Leody Taveras","TEX","CF",148,138,1227,376,9,3,2,1,0,2,0,0,,,,,,0.99226804,,"Leody Taveras",18900,665750
"Will Smith","LAD","C",121,117,1051.1,1000,58,8,4,4,0,3,0,0,,64,32,5,53,0.99249531,,"Will Smith",19197,669257
"Lourdes Gurriel Jr.","ARI","LF",127,120,1059,239,4,5,2,3,0,0,0,0,,,,,,0.97983871,,"Lourdes Gurriel Jr.",19238,666971
"Pete Alonso","NYM","1B",161,159,1412.1,1179,99,7,2,5,109,7,1,115,39,,,,,0.99455253,,"Pete Alonso",19251,624413
"Adolis García","TEX","RF",131,130,1124.2,253,5,4,4,0,0,3,0,0,,,,,,0.98473282,,"Adolis Garcia",19287,666969
"Randy Arozarena","- - -","LF",140,135,1189,258,5,2,2,0,0,0,0,0,,,,,,0.99245283,,"Randy Arozarena",19290,668227
"Bryan Reynolds","PIT","LF",118,117,1016.2,211,7,2,2,0,0,1,0,0,,,,,,0.99090909,,"Bryan Reynolds",19326,668804
"Nathaniel Lowe","TEX","1B",138,135,1193.2,983,92,5,2,3,64,7,0,70,13,,,,,0.99537037,,"Nathaniel Lowe",19566,663993
"Keibert Ruiz","WSN","C",116,109,971.2,921,39,2,1,1,2,5,1,2,,89,22,4,36,0.997921,,"Keibert Ruiz",19610,660688
"Vladimir Guerrero Jr.","TOR","1B",121,118,1026.1,873,70,10,8,2,88,8,1,86,25,,,,,0.98950682,,"Vladimir Guerrero Jr.",19611,665489
"Josh Rojas","SEA","3B",131,106,952.1,79,186,10,2,8,15,15,0,0,,,,,,0.96363636,,"Josh Rojas",19734,668942
"Blake Perkins","MIL","CF",119,104,956.1,300,7,1,1,0,0,2,0,0,,,,,,0.99675325,,"Blake Perkins",19921,663368
"Andrés Giménez","CLE","2B",152,151,1331,233,396,9,6,3,91,32,60,1,,,,,,0.98589342,,"Andres Gimenez",19950,665926
"Gavin Lux","LAD","2B",138,117,1053.1,179,265,9,6,2,62,28,35,5,,,,,,0.98013245,,"Gavin Lux",19955,666158
"Isaac Paredes","- - -","3B",128,126,1107.1,63,210,15,6,9,19,19,0,0,,,,,,0.94791667,,"Isaac Paredes",20036,670623
"Juan Soto","NYY","RF",145,145,1277.2,289,9,2,2,0,0,1,0,0,,,,,,0.99333333,,"Juan Soto",20123,665742
"Jo Adell","LAA","RF",119,113,1001.2,228,3,4,3,1,0,0,0,0,,,,,,0.98297872,,"Jo Adell",20220,666176
"Jake Meyers","HOU","CF",144,126,1144,349,2,1,1,0,0,0,0,0,,,,,,0.99715909,,"Jake Meyers",20308,676694
"Luis García Jr.","WSN","2B",129,122,1086,221,305,10,2,8,78,23,56,5,,,,,,0.98134328,,"Luis Garcia Jr.",20391,671277
"William Contreras","MIL","C",120,119,1060,1054,37,8,4,4,0,1,0,1,,72,21,6,30,0.99272066,,"William Contreras",20503,661388
"Nico Hoerner","CHC","2B",144,141,1234.1,229,337,8,7,1,58,24,35,2,,,,,,0.98606272,,"Nico Hoerner",21479,663538
"Jonathan India","CIN","2B",133,132,1137,217,239,4,2,2,51,21,30,2,,,,,,0.99130435,,"Jonathan India",21523,663697
"Cal Raleigh","SEA","C",135,125,1122,1138,51,6,1,5,0,7,0,1,,81,32,5,27,0.99497908,,"Cal Raleigh",21534,663728
"Kyle Isbel","KCR","CF",136,119,1046.1,293,1,4,3,1,0,1,0,0,,,,,,0.98657718,,"Kyle Isbel",21614,664728
"Alec Bohm","PHI","3B",128,126,1096,84,253,14,8,6,15,15,0,1,,,,,,0.96011396,,"Alec Bohm",21618,664761
"Jeremy Peña","HOU","SS",157,157,1388,221,380,19,10,9,79,43,37,7,,,,,,0.96935484,,"Jeremy Pena",21636,665161
"Miguel Amaya","CHC","C",116,103,905.2,856,31,6,4,2,0,2,0,1,,78,18,6,19,0.99328108,,"Miguel Amaya",21693,665804
"Oneil Cruz","PIT","SS",112,107,958.1,141,231,24,12,12,50,36,15,2,,,,,,0.93939394,,"Oneil Cruz",21711,665833
"Bo Naylor","CLE","C",115,101,899.1,894,36,6,2,4,0,1,1,2,,61,16,7,29,0.99358974,,"Bo Naylor",21865,666310
"Brice Turang","MIL","2B",152,142,1277.2,240,379,7,4,3,71,28,47,4,,,,,,0.98881789,,"Brice Turang",22186,668930
"MJ Melendez","KCR","LF",120,112,939.2,188,2,2,1,1,0,1,0,0,,,,,,0.98958333,,"MJ Melendez",22197,669004
"Lawrence Butler","OAK","RF",123,105,955.1,251,2,4,3,1,0,1,0,0,,,,,,0.9844358,,"Lawrence Butler",22542,671732
"Maikel Garcia","KCR","3B",124,111,1001.1,66,203,11,5,6,12,12,0,1,,,,,,0.96071429,,"Maikel Garcia",22715,672580
"Brayan Rocchio","CLE","SS",142,121,1102,166,284,12,6,6,71,37,36,3,,,,,,0.97402597,,"Brayan Rocchio",23690,677587
"Julio Rodríguez","SEA","CF",131,131,1133.1,334,4,5,3,2,0,1,0,0,,,,,,0.98542274,,"Julio Rodriguez",23697,677594
"Wilyer Abreu","BOS","RF",125,106,921.1,212,9,7,3,4,0,2,0,0,,,,,,0.96929825,,"Wilyer Abreu",23772,677800
"Ezequiel Tovar","COL","SS",157,156,1375.2,233,435,8,3,5,107,52,59,3,,,,,,0.98816568,,"Ezequiel Tovar",24064,678662
"Johan Rojas","PHI","CF",116,103,903.1,219,6,2,2,0,0,1,0,0,,,,,,0.99118943,,"Johan Rojas",24336,679032
"Steven Kwan","CLE","LF",114,114,990,205,9,1,1,0,0,3,0,0,,,,,,0.99534884,,"Steven Kwan",24610,680757
"Logan O'Hoppe","LAA","C",127,121,1064.1,962,41,6,2,4,0,0,0,0,,84,30,5,51,0.99405352,,"Logan O'Hoppe",24729,681351
"Brenton Doyle","COL","CF",146,142,1242.2,426,8,4,3,1,0,3,0,0,,,,,,0.99086758,,"Brenton Doyle",25479,686668
"Joey Ortiz","MIL","3B",134,124,1098.1,102,227,10,3,7,23,23,0,1,,,,,,0.97050147,,"Joey Ortiz",25493,687401
"Bobby Witt Jr.","KCR","SS",160,160,1393.2,207,361,15,10,5,73,43,30,5,,,,,,0.97427101,,"Bobby Witt Jr.",25764,677951
"CJ Abrams","WSN","SS",136,135,1170.2,160,349,17,9,8,67,34,30,4,,,,,,0.96768061,,"CJ Abrams",25768,682928
"Shea Langeliers","OAK","C",131,123,1108.2,1007,51,5,0,5,1,3,1,1,,79,29,7,53,0.99529633,,"Shea Langeliers",25816,669127
"Michael Harris II","ATL","CF",110,109,960.2,232,1,2,2,0,0,0,0,0,,,,,,0.99148936,,"Michael Harris II",25931,671739
"Andrew Vaughn","CHW","1B",122,121,1059.1,816,76,4,2,2,72,4,0,73,8,,,,,0.99553571,,"Andrew Vaughn",26197,683734
"Gunnar Henderson","BAL","SS",157,157,1384,232,378,25,15,10,64,34,32,7,,,,,,0.96062992,,"Gunnar Henderson",26289,683002
"Bryson Stott","PHI","2B",137,127,1132,221,314,4,3,1,64,28,40,4,,,,,,0.99257885,,"Bryson Stott",26294,681082
"Michael Busch","CHC","1B",142,130,1132.1,940,77,4,3,0,66,3,1,66,13,,,,,0.99608227,,"Michael Busch",26319,683737
"JJ Bleday","OAK","CF",157,144,1295,392,8,5,3,2,0,1,0,0,,,,,,0.98765432,,"JJ Bleday",26368,668709
"Elly De La Cruz","CIN","SS",160,159,1391,247,360,29,16,13,63,33,33,5,,,,,,0.95440252,,"Elly De La Cruz",26668,682829
"Patrick Bailey","SFG","C",115,101,908,904,55,3,1,2,2,4,2,1,,70,26,9,25,0.9968815,,"Patrick Bailey",27478,672275
"Masyn Winn","STL","SS",148,143,1285.1,191,402,18,8,10,98,47,49,4,,,,,,0.9705401,,"Masyn Winn",27479,691026
"Ha-Seong Kim","SDP","SS",121,119,1046.2,145,263,11,5,6,61,36,25,3,,,,,,0.97374702,,"Ha-Seong Kim",27506,673490
"Anthony Volpe","NYY","SS",160,158,1416.2,210,344,16,7,9,64,36,23,11,,,,,,0.97192982,,"Anthony Volpe",27647,683011
"Pete Crow-Armstrong","CHC","CF",117,109,965.2,306,8,3,2,1,0,0,0,0,,,,,,0.99053628,,"Pete Crow-Armstrong",27769,691718
"Colt Keith","DET","2B",133,125,1086.2,194,309,12,9,3,65,24,41,4,,,,,,0.97669903,,"Colt Keith",27899,690993
"Jackson Merrill","SDP","CF",155,148,1323.1,392,8,3,2,1,0,4,0,0,,,,,,0.99255583,,"Jackson Merrill",29490,701538
"Zack Gelof","OAK","2B",138,136,1209.2,264,332,7,4,3,88,27,56,9,,,,,,0.98839138,,"Zack Gelof",29766,680869
"Jacob Young","WSN","CF",149,142,1251.2,388,5,8,7,1,0,2,0,0,,,,,,0.98004988,,"Jacob Young",29931,696285
"Zach Neto","LAA","SS",155,153,1332.2,231,405,18,11,7,100,51,46,8,,,,,,0.97247706,,"Zach Neto",31347,687263
"Nolan Schanuel","LAA","1B",144,137,1211.1,1018,76,7,4,3,126,8,1,119,13,,,,,0.99364214,,"Nolan Schanuel",33189,694384
