"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
126657,669461,"Matthew Liberatore",24,2024,"STL",60,6,0,86,3,4,0,2,7,4.4,44,42,50,20,0,11,134,28,76,2,358,1358
130423,682610,"Roddery Muñoz",24,2024,"MIA",18,17,0,82.7,2,7,0,0,0,6.53,66,60,44,17,2,26,188,42,70,5,379,1485
131358,681857,"Reese Olson",24,2024,"DET",22,22,0,112.3,4,8,0,0,0,3.53,51,44,70,21,2,7,146,33,101,4,465,1840
131860,680730,"Mitchell Parker",24,2024,"WSH",29,29,0,151,7,10,0,0,0,4.29,82,72,103,31,2,18,243,43,133,2,646,2404
134746,680570,"Grayson Rodriguez",24,2024,"BAL",20,20,0,116.7,13,4,0,0,0,3.86,52,50,68,24,2,15,182,36,130,5,491,1879
136375,680885,"Spencer Schwellenbach",24,2024,"ATL",21,21,0,123.7,8,7,0,0,0,3.35,49,46,61,27,4,14,183,23,127,6,500,1887
140142,680767,"Victor Vodnik",24,2024,"COL",64,0,0,73.7,5,4,9,6,6,4.28,37,35,55,6,4,7,107,37,65,1,320,1347
140479,677960,"Ryan Weathers",24,2024,"MIA",16,16,0,86.7,5,6,0,0,0,3.63,39,35,49,18,0,11,129,24,80,9,367,1413
140930,668909,"Gavin Williams",24,2024,"CLE",16,16,0,76,3,10,0,0,0,4.86,42,41,45,17,3,7,116,32,79,3,332,1368
151556,700249,"Cade Povich",24,2024,"BAL",16,16,0,79.7,3,9,0,0,0,5.2,49,46,44,22,2,12,142,34,69,3,352,1389
151557,701581,"David Festa",24,2024,"MIN",14,13,0,64.3,2,6,0,0,0,4.9,36,35,36,14,3,9,109,23,77,2,277,1099
151691,693433,"Bryan Woo",24,2024,"SEA",22,22,0,121.3,9,3,0,0,0,2.89,41,39,67,15,0,14,153,13,101,3,472,1715
108619,667755,"José Soriano",25,2024,"LAA",22,20,0,113,6,7,0,0,1,3.42,50,43,65,17,1,8,134,45,97,9,468,1737
108993,668964,"Tobias Myers",25,2024,"MIL",27,25,0,138,9,6,0,0,0,3,52,46,88,19,1,18,201,36,127,5,569,2152
109125,670970,"Adrian Morejon",25,2024,"SD",60,0,0,63.7,3,2,2,2,12,2.83,24,20,40,17,2,4,96,21,71,1,272,1064
