Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Christian Yelich","MIA",156,695,18,100,81,16,0.115107913,0.197122302,0.156146179,0.335540838,0.282392026,0.36887608,0.438538205,0.3478894819384036,0.36212135796679973,117.01070574247503,5.23314986564219,20.42826962754757,-4.246851682662964,3.986984088029008,"Christian Yelich",11477,592885
"Eugenio Suárez","CIN",156,632,26,87,82,4,0.132911392,0.232594936,0.200374532,0.308743169,0.260299625,0.367088607,0.460674157,0.35626159171483784,0.35196518670944943,115.86457317805012,-0.7175510553643107,12.169170990231493,5.7481300830841064,3.944326317315857,"Eugenio Suarez",12552,553993
"Jed Lowrie","OAK",153,645,14,86,69,0,0.113178294,0.155038759,0.171075838,0.313596491,0.276895943,0.359689922,0.447971781,0.3470850347731013,0.3652700185775757,120.10523380565672,-3.133718943223357,12.86604981813091,5.318279534578323,3.9326068335046283,"Jed Lowrie",4418,476704
"Brett Gardner","NYY",151,682,21,96,63,23,0.105571847,0.17888563,0.163299663,0.299559471,0.264309764,0.350073855,0.427609427,0.33635537059218795,0.33344061342780695,109.64034560734031,5.8203953467309475,13.932281404525629,2.027442455291748,3.832971772630484,"Brett Gardner",9927,458731
"Josh Reddick","HOU",134,540,13,77,82,7,0.079629629,0.133333333,0.169811321,0.33910891,0.314465408,0.362781954,0.484276729,0.35731952877367956,0.33918619791666665,127.01600636880474,3.199268326628953,21.198740644573938,-0.8959426879882812,3.7978810473341493,"Josh Reddick",3892,502210
"Eric Hosmer","KCR",162,671,25,98,94,6,0.098360655,0.154992548,0.179104477,0.350840336,0.31840796,0.384500745,0.497512437,0.37613082387133273,0.3518187051796051,134.65377625651084,1.331272973679006,30.020440773806197,-15.203946352005005,3.6829876327253928,"Eric Hosmer",3516,543333
"Steven Souza Jr.","TBR",148,617,30,78,78,16,0.136142625,0.290113452,0.219885277,0.301587301,0.239005736,0.351219512,0.458891013,0.3480919054048485,0.3496811840138803,120.88141675563482,1.5643921964801848,17.46047032651397,-1.189359188079834,3.6500390571896224,"Steven Souza Jr.",5667,519306
"Daniel Murphy","WSN",144,593,23,94,93,2,0.087689713,0.129848229,0.220973783,0.340961098,0.322097378,0.384485666,0.543071161,0.38462538422698184,0.3588617810756743,134.6721335620629,-1.7112891874276102,24.71476073094269,-8.436761856079102,3.647814522643636,"Daniel Murphy",4316,502517
"Andrew McCutchen","PIT",156,650,28,94,88,11,0.112307692,0.178461538,0.207017544,0.305361305,0.278947368,0.363076923,0.485964912,0.36017110976137856,0.36345622382567594,122.36359320916162,-0.01446643890812993,18.668762315392364,-4.494988322257996,3.6332959464132837,"Andrew McCutchen",9847,457705
"Kyle Seager","SEA",154,650,27,72,88,2,0.089230769,0.169230769,0.200692041,0.261744966,0.249134948,0.323076923,0.449826989,0.32647630016996254,0.3440573487856392,106.44255989074335,-0.521829763893038,4.644911152146374,9.520296335220337,3.549053420569731,"Kyle Seager",9785,572122
