Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Jeter Downs","WSN","AAA",24,51,161,193,38,22,12,1,3,29,18,27,0,47,4,1,0,2,11,3,0.236024844,"22202"
"Sam Huff","TEX","AAA",25,68,272,321,81,47,17,0,17,48,67,44,2,78,3,2,0,5,0,0,0.297794117,"22209"
"Mason McCoy","SEA","AAA",28,114,417,487,92,56,21,3,12,68,65,59,1,146,5,5,1,7,25,2,0.220623501,"22232"
"Joe Perez","HOU","AAA",23,96,353,395,90,63,12,2,13,56,54,37,0,109,2,3,0,8,3,2,0.254957507,"22254"
"Bubba Thompson","KCR","AAA",25,65,266,302,69,47,14,2,6,49,34,27,0,69,5,1,3,4,27,5,0.259398496,"22261"
"Xavier Edwards","MIA","AAA",23,93,370,433,130,107,14,2,7,80,47,52,1,30,2,5,4,7,32,4,0.351351351,"22266"
"Samad Taylor","KCR","AAA",24,89,335,414,101,66,23,4,8,65,55,66,0,85,6,7,0,10,43,10,0.301492537,"22274"
"Nick Allen","OAK","AAA",24,33,135,162,45,27,14,1,3,33,18,20,0,16,1,1,5,2,13,1,0.333333333,"22277"
"Cal Stevenson","SFG","AAA",26,76,216,289,55,39,7,0,9,54,33,60,0,67,3,7,3,1,19,5,0.254629629,"22411"
"Livan Soto","LAA","AAA",23,79,298,350,74,50,14,2,8,48,42,44,0,83,3,4,1,6,0,0,0.248322147,"22471"
"Buddy Kennedy","ARI","AAA",24,101,374,463,115,78,24,8,5,82,50,76,2,81,9,4,0,12,3,3,0.307486631,"22505"
"Heliot Ramos","SFG","AAA",23,62,227,263,68,39,14,3,12,44,45,27,0,66,5,3,1,6,9,4,0.299559471,"22515"
"Johnathan Rodriguez","CLE","AAA",23,47,175,202,49,24,12,2,11,32,33,25,0,66,2,0,0,4,0,0,0.28,"22530"
"Tyler Freeman","CLE","AAA",24,24,91,116,29,21,5,1,2,24,17,15,0,16,9,1,0,0,10,0,0.318681318,"22532"
"George Valera","CLE","AAA",22,73,256,312,54,33,10,1,10,40,35,50,1,85,3,3,0,9,1,2,0.2109375,"22541"
"Lawrence Butler","OAK","AAA",22,22,82,94,23,15,2,1,5,14,23,8,0,18,1,3,0,1,8,0,0.280487804,"22542"
"Michael Siani","CIN","AAA",23,118,409,493,93,64,17,3,9,69,48,76,1,117,1,4,3,4,23,4,0.227383863,"22557"
"Tirso Ornelas","SDP","AAA",23,55,214,240,61,41,14,2,4,34,24,23,0,47,2,1,0,3,4,2,0.285046728,"22566"
"Jordan Diaz","OAK","AAA",22,38,156,169,48,29,13,0,6,18,31,10,1,30,1,1,0,6,0,1,0.307692307,"22650"
"Maikel Garcia","KCR","AAA",23,24,95,112,23,15,7,0,1,11,17,16,0,22,0,1,0,2,4,3,0.242105263,"22715"
"Steward Berroa","TOR","AAA",24,22,45,54,7,4,3,0,0,8,8,7,0,13,1,0,1,1,4,0,0.155555555,"22766"
"Oswald Peraza","NYY","AAA",23,63,261,300,70,45,9,2,14,48,36,29,0,55,8,2,0,5,16,4,0.268199233,"22823"
"Alexander Canario","CHC","AAA",23,36,145,161,40,20,12,0,8,23,35,15,0,45,0,1,0,2,2,0,0.275862068,"22842"
"Wenceel Perez","DET","AAA",23,35,129,160,34,14,13,4,3,29,19,27,0,29,2,2,0,0,6,5,0.263565891,"22857"
"Lenyn Sosa","CHW","AAA",23,71,288,308,78,44,17,0,17,41,44,18,0,75,0,1,1,9,0,1,0.270833333,"22896"
"Canaan Smith-Njigba","PIT","AAA",24,105,389,445,109,65,28,1,15,57,74,53,2,118,1,2,0,10,21,5,0.280205655,"23264"
"Jacob Amaya","MIA","AAA",24,128,484,566,122,79,26,2,15,85,65,70,0,106,3,9,0,18,6,2,0.252066115,"23296"
"Nelson Velazquez","KCR","AAA",24,80,314,353,75,44,15,0,16,49,44,33,1,103,4,2,0,11,9,3,0.238853503,"23359"
"Hunter Feduccia","LAD","AAA",26,90,319,380,89,58,18,2,11,61,57,58,1,79,0,3,0,8,0,0,0.278996865,"23372"
"Jose Barrero","CIN","AAA",25,80,291,335,75,35,17,4,19,47,57,22,0,105,14,6,1,5,20,1,0.257731958,"23378"
"Luis Vazquez","CHC","AAA",23,66,222,270,57,37,11,0,9,34,40,38,0,56,8,2,0,3,6,3,0.256756756,"23442"
"Chandler Seagle","SDP","AAA",27,16,60,64,14,10,2,0,2,7,8,3,0,24,0,0,1,1,1,1,0.233333333,"23552"
"Chris Roller","MIL","AAA",26,108,312,396,77,45,16,1,15,55,67,68,0,109,11,5,0,0,19,6,0.246794871,"23557"
"Davis Schneider","TOR","AAA",24,87,309,392,85,42,21,1,21,61,64,72,0,86,6,5,0,5,9,3,0.275080906,"23565"
"Brayan Rocchio","CLE","AAA",22,116,468,537,131,85,33,6,7,81,65,60,0,66,6,3,0,9,25,7,0.279914529,"23690"
"Jose Tena","CLE","AAA",22,15,60,66,21,11,5,1,4,9,11,4,0,17,1,1,0,0,0,1,0.35,"23691"
"Everson Pereira","NYY","AAA",22,35,138,158,43,27,7,1,8,29,33,13,0,44,5,2,0,4,4,0,0.311594202,"23695"
