Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Micah Johnson","LAD","AAA",25,516,0.326760563,2.288888888,0.161473087,0.583569405,0.254957507,0.244444444,0.055555555,0.35230352,0.25474255,0.39295393,0.12235416,700,1237,1937,"13809"
"Joey Wendle","OAK","AAA",26,526,0.339673913,1.183206106,0.24137931,0.411140583,0.347480106,0.145038167,0.091603053,0.38481675,0.30104712,0.31413613,0.10026385,639,1256,1895,"13853"
"Anthony Bemboom","LAA","AAA",26,177,0.32,1.163265306,0.14516129,0.459677419,0.39516129,0.306122448,0.020408163,0.42307692,0.26923077,0.30769231,0.08427877,225,392,617,"13854"
"Bruce Maxwell","OAK","AAA",25,219,0.353741496,2.075,0.206451612,0.53548387,0.258064516,0,0.25,0.43312102,0.27388535,0.29299363,0.07753706,339,538,877,"13866"
"Alex D. Mejia","STL","AAA",25,108,0.310344827,1,0.119047619,0.44047619,0.44047619,0.27027027,0,0.42045455,0.22727273,0.35227273,0.08,124,251,375,"13877"
"Mike Miller","BOS","AAA",26,349,0.256410256,1.5875,0.224719101,0.47565543,0.299625468,0.2875,0.0125,0.40501792,0.28315412,0.31182796,0.05672106,478,809,1287,"13891"
"Tyler Heineman","HOU","AAA",25,272,0.307291666,0.727272727,0.22051282,0.328205128,0.451282051,0.318181818,0.034090909,0.42857143,0.23979592,0.33163265,0.06616962,398,675,1073,"13897"
"Seth Mejias-Brean","CIN","AAA",25,480,0.273529411,1.689320388,0.178041543,0.516320474,0.305637982,0.194174757,0.058252427,0.39428571,0.23714286,0.36857143,0.10242588,650,1205,1855,"13905"
"Sherman Johnson","LAA","AAA",25,467,0.264705882,0.788321167,0.209677419,0.348387096,0.441935483,0.189781021,0.05839416,0.49371069,0.25786164,0.24842767,0.0616622,764,1101,1865,"13906"
"Patrick Kivlehan","SDP","AAA",26,399,0.326693227,1.188118811,0.143410852,0.465116279,0.391472868,0.207920792,0.118811881,0.48863636,0.25757576,0.25378788,0.15233093,535,988,1523,"13910"
"Rio Ruiz","ATL","AAA",22,533,0.337209302,1.822916666,0.234463276,0.494350282,0.27118644,0.177083333,0.104166666,0.44067797,0.20338983,0.3559322,0.09004525,886,1324,2210,"14103"
"Albert Almora Jr.","CHC","AAA",22,336,0.335740072,1.551282051,0.271062271,0.443223443,0.285714285,0.307692307,0.051282051,0.48763251,0.23321555,0.27915194,0.08013937,353,795,1148,"14109"
"Ramon Torres","KCR","AAA",23,315,0.32051282,1.45,0.144104803,0.506550218,0.349344978,0.2125,0.025,0.39330544,0.20502092,0.40167364,0.07757886,378,795,1173,"14113"
"Joey Gallo","TEX","AAA",22,433,0.329729729,0.486725663,0.196172248,0.263157894,0.540669856,0.21238938,0.221238938,0.48571429,0.19047619,0.32380952,0.18478873,723,1052,1775,"14128"
"Daniel Vogelbach","CHC","AAA",23,563,0.328402366,1.150375939,0.201117318,0.427374301,0.371508379,0.187969924,0.17293233,0.44230769,0.23901099,0.31868132,0.05311871,1073,1412,2485,"14130"
"Jose Rondon","SDP","AAA",22,82,0.338235294,1.347826086,0.205882352,0.455882352,0.338235294,0.260869565,0.04347826,0.47826087,0.20289855,0.31884058,0.08041958,81,205,286,"14140"
"Daniel Robertson","TBR","AAA",22,511,0.322388059,1.894736842,0.183976261,0.534124629,0.281899109,0.2,0.052631578,0.4122807,0.23099415,0.35672515,0.07519157,848,1240,2088,"14145"
"Mac Williamson","SFG","AAA",25,226,0.306122448,1.112903225,0.149350649,0.448051948,0.402597402,0.258064516,0.177419354,0.45283019,0.24528302,0.30188679,0.13690476,290,550,840,"14158"
"Byron Buxton","MIN","AAA",22,209,0.382113821,0.8,0.187969924,0.360902255,0.451127819,0.3,0.183333333,0.45522388,0.28358209,0.26119403,0.13357843,280,536,816,"14161"
"Yasiel Puig","LAD","AAA",25,75,0.350877192,1.217391304,0.163934426,0.459016393,0.37704918,0.173913043,0.173913043,0.45901639,0.32786885,0.21311475,0.10465116,95,163,258,"14225"
"Mitch Haniger","ARI","AAA",25,312,0.372972972,0.890243902,0.221105527,0.36683417,0.412060301,0.170731707,0.243902439,0.46859903,0.28019324,0.25120773,0.08056872,514,752,1266,"14274"
"Jason Coats","CHW","AAA",26,332,0.401826484,1.571428571,0.196428571,0.491071428,0.3125,0.257142857,0.142857142,0.45887446,0.21645022,0.32467532,0.12128514,416,829,1245,"14282"
"Nick Williams","PHI","AAA",22,527,0.324858757,1.434782608,0.224376731,0.457063711,0.318559556,0.086956521,0.113043478,0.46070461,0.24390244,0.29539295,0.15322581,554,1306,1860,"14330"
"Dilson Herrera","CIN","AAA",22,469,0.311728395,0.793103448,0.221556886,0.344311377,0.434131736,0.344827586,0.103448275,0.4005848,0.28362573,0.31578947,0.09,657,1143,1800,"14335"
"Matt Olson","OAK","AAA",22,540,0.289308176,0.897058823,0.225225225,0.366366366,0.408408408,0.279411764,0.125,0.47761194,0.23283582,0.28955224,0.10823839,954,1328,2282,"14344"
"Raimel Tapia","COL","AAA",22,110,0.378947368,1.516129032,0.161290322,0.505376344,0.333333333,0.193548387,0,0.50526316,0.24210526,0.25263158,0.07567568,102,268,370,"14350"
"Lewis Brinson","MIL","AAA",22,93,0.454545454,1.148148148,0.147058823,0.455882352,0.397058823,0.074074074,0.148148148,0.41428571,0.24285714,0.34285714,0.15902141,99,228,327,"14352"
"Ronald Guzman","TEX","AAA",21,95,0.28125,0.923076923,0.23076923,0.369230769,0.4,0.269230769,0.038461538,0.44615385,0.26153846,0.29230769,0.1402439,102,226,328,"14388"
"Henry Urrutia","BAL","AAA",29,118,0.3125,2.4,0.15,0.6,0.25,0.05,0,0.3,0.2625,0.4375,0.09287257,179,284,463,"14441"
"Jake Cave","NYY","AAA",23,354,0.329166666,1.565217391,0.265560165,0.44813278,0.286307053,0.04347826,0.072463768,0.40816327,0.26530612,0.32653061,0.11046512,491,885,1376,"14477"
"Renato Nunez","OAK","AAA",22,550,0.248648648,0.858823529,0.187660668,0.375321336,0.437017994,0.223529411,0.135294117,0.50381679,0.2264631,0.2697201,0.12883721,696,1454,2150,"14503"
"Pedro Severino","WSN","AAA",22,317,0.31048387,1.064516129,0.219512195,0.402439024,0.37804878,0.344086021,0.021505376,0.51792829,0.20717131,0.2749004,0.0899654,404,752,1156,"14523"
"Gabriel Guerrero","ARI","AAA",22,110,0.266666666,1.133333333,0.146666666,0.453333333,0.4,0.1,0.033333333,0.30263158,0.31578947,0.38157895,0.14449541,162,274,436,"14528"
"Jesmuel Valentin","PHI","AAA",22,123,0.285714285,1.5,0.1875,0.4875,0.325,0.115384615,0.153846153,0.51162791,0.20930233,0.27906977,0.07990315,149,264,413,"14548"
"Max Moroff","PIT","AAA",23,520,0.311188811,1.126213592,0.24742268,0.398625429,0.35395189,0.194174757,0.077669902,0.43812709,0.27424749,0.28762542,0.09715319,925,1288,2213,"14556"
"Manuel Margot","SDP","AAA",21,566,0.334811529,1.553030303,0.24099099,0.461711711,0.297297297,0.28030303,0.045454545,0.3412527,0.27645788,0.38228942,0.06461233,728,1284,2012,"14712"
"JaCoby Jones","DET","AAA",24,324,0.348717948,1.943396226,0.195876288,0.530927835,0.273195876,0.226415094,0.056603773,0.44444444,0.22727273,0.32828283,0.13990461,447,811,1258,"14818"
"Mike Yastrzemski","BAL","AAA",25,385,0.289361702,0.978723404,0.211864406,0.389830508,0.398305084,0.308510638,0.074468085,0.4338843,0.23966942,0.32644628,0.12198304,565,968,1533,"14854"
"Jacob May","CHW","AAA",24,321,0.346491228,1.830508474,0.257777777,0.48,0.262222222,0.288135593,0.016949152,0.44782609,0.25652174,0.29565217,0.12458746,410,802,1212,"14876"
"Pat Valaika","COL","AAA",23,115,0.26506024,0.65116279,0.154761904,0.333333333,0.511904761,0.255813953,0.023255813,0.41666667,0.30952381,0.27380952,0.16528926,104,259,363,"14885"
"Tony Kemp","HOU","AAA",24,301,0.343891402,2.403846153,0.195454545,0.568181818,0.236363636,0.153846153,0.038461538,0.42608696,0.24347826,0.33043478,0.04625347,386,695,1081,"14894"
"Daniel Palka","MIN","AAA",24,223,0.323809523,0.865384615,0.177966101,0.381355932,0.440677966,0.173076923,0.25,0.41525424,0.27966102,0.30508475,0.19771429,310,565,875,"14897"
"Jaycob Brugman","OAK","AAA",24,433,0.357859531,1.357894736,0.255813953,0.428571428,0.315614617,0.094736842,0.07368421,0.34201954,0.27361564,0.38436482,0.08759954,644,1114,1758,"14936"
"Jack Reinheimer","ARI","AAA",23,560,0.347188264,1.825688073,0.228070175,0.498746867,0.273182957,0.201834862,0.018348623,0.4468599,0.21256039,0.34057971,0.07368897,866,1346,2212,"14938"
"Andrew Knapp","PHI","AAA",24,443,0.342560553,1.765432098,0.232876712,0.489726027,0.27739726,0.061728395,0.098765432,0.41077441,0.24579125,0.34343434,0.1256068,610,1038,1648,"14942"
"Johnny Field","TBR","AAA",24,285,0.343915343,0.810126582,0.255208333,0.333333333,0.411458333,0.189873417,0.063291139,0.43814433,0.29896907,0.2628866,0.11405836,412,719,1131,"15048"
"Adam Engel","CHW","AAA",24,161,0.34375,1.025,0.15625,0.427083333,0.416666666,0.45,0.075,0.53535354,0.15151515,0.31313131,0.13918306,226,435,661,"15082"
"Boog Powell","SEA","AAA",23,277,0.310679611,1.929824561,0.189320388,0.533980582,0.276699029,0.315789473,0.052631578,0.35680751,0.22535211,0.41784038,0.05049594,391,718,1109,"15103"
"Hunter Dozier","KCR","AAA",24,434,0.358422939,0.905982905,0.231034482,0.365517241,0.403448275,0.196581196,0.128205128,0.47278912,0.24489796,0.28231293,0.126916,614,1017,1631,"15117"
"Jordan Patterson","COL","AAA",24,495,0.37,1.10619469,0.2247557,0.407166123,0.368078175,0.168141592,0.123893805,0.41009464,0.25867508,0.33123028,0.12285408,673,1191,1864,"15119"
"Trey Mancini","BAL","AAA",24,536,0.350574712,1.60576923,0.234463276,0.471751412,0.29378531,0.115384615,0.125,0.42699725,0.26170799,0.31129477,0.13850547,746,1355,2101,"15149"
"Mitch Garver","MIN","AAA",25,84,0.436363636,1.4375,0.29090909,0.418181818,0.29090909,0.25,0.0625,0.39285714,0.33928571,0.26785714,0.07407407,150,228,378,"15161"
"Tim Anderson","CHW","AAA",23,256,0.383783783,2.6,0.213114754,0.56830601,0.218579234,0.075,0.1,0.49479167,0.20833333,0.296875,0.15222482,244,610,854,"15172"
"Chad Pinder","OAK","AAA",24,465,0.311688311,1.118644067,0.213836477,0.415094339,0.371069182,0.110169491,0.118644067,0.44135802,0.23765432,0.32098765,0.12885662,564,1089,1653,"15191"
"Carlos Asuaje","SDP","AAA",24,597,0.363028953,1.45323741,0.243902439,0.447893569,0.308203991,0.122302158,0.064748201,0.40347072,0.29501085,0.30151844,0.07023108,858,1349,2207,"15197"
"Adam Frazier","PIT","AAA",24,299,0.368644067,1.783333333,0.267543859,0.469298245,0.263157894,0.066666666,0,0.35564854,0.26778243,0.37656904,0.04024497,431,712,1143,"15223"
"Mike Tauchman","COL","AAA",25,527,0.336658354,2.326530612,0.174683544,0.577215189,0.248101265,0.153061224,0.010204081,0.29238329,0.24324324,0.46437346,0.06956522,761,1309,2070,"15274"
"Garrett Cooper","MIL","AAA",25,139,0.291262135,1.705882352,0.148148148,0.537037037,0.314814814,0.147058823,0.147058823,0.37037037,0.27777778,0.35185185,0.10922787,180,351,531,"15279"
"Jack Mayfield","HOU","AAA",25,149,0.226415094,0.916666666,0.148148148,0.407407407,0.444444444,0.270833333,0.041666666,0.5,0.22321429,0.27678571,0.09369676,207,380,587,"15402"
"Nate Orf","MIL","AAA",26,381,0.327402135,1.081818181,0.176258992,0.428057553,0.395683453,0.181818181,0.018181818,0.42517007,0.23809524,0.33673469,0.05301524,563,946,1509,"15407"
"Ryon Healy","OAK","AAA",24,210,0.369127516,0.966101694,0.231788079,0.377483443,0.390728476,0.118644067,0.101694915,0.38064516,0.30322581,0.31612903,0.09808612,294,542,836,"15447"
"Daniel Castro","ATL","AAA",23,229,0.27368421,1.610169491,0.185185185,0.502645502,0.312169312,0.288135593,0.050847457,0.39285714,0.26020408,0.34693878,0.06124853,238,611,849,"15450"
"Hunter Renfroe","SDP","AAA",24,563,0.339285714,0.84065934,0.192771084,0.368674698,0.438554216,0.219780219,0.164835164,0.492891,0.28199052,0.22511848,0.14436249,598,1300,1898,"15464"
"J.P. Crawford","PHI","AAA",21,385,0.283636363,1.12745098,0.216606498,0.415162454,0.368231046,0.294117647,0.039215686,0.4664311,0.20848057,0.32508834,0.04429195,681,922,1603,"15491"
"Tyler White","HOU","AAA",25,190,0.221374045,0.685714285,0.169014084,0.338028169,0.492957746,0.128571428,0.185714285,0.44444444,0.29166667,0.26388889,0.07653061,303,481,784,"15564"
"Dariel Alvarez","BAL","AAA",27,560,0.331081081,1.194805194,0.240449438,0.413483146,0.346067415,0.305194805,0.025974025,0.43111111,0.25777778,0.31111111,0.08568443,649,1265,1914,"15580"
"Aaron Judge","NYY","AAA",24,410,0.319327731,0.768518518,0.245059288,0.328063241,0.42687747,0.222222222,0.175925925,0.42635659,0.28682171,0.28682171,0.11692845,690,1029,1719,"15640"
"Austin Meadows","PIT","AAA",21,145,0.235955056,0.704545454,0.184782608,0.336956521,0.478260869,0.272727272,0.136363636,0.42105263,0.28421053,0.29473684,0.07907743,243,364,607,"15672"
"Austin Nola","MIA","AAA",26,407,0.292604501,1.873563218,0.196141479,0.524115755,0.279742765,0.183908045,0.068965517,0.41176471,0.27244582,0.31578947,0.05398111,532,950,1482,"15941"
"Clint Frazier","NYY","AAA",21,129,0.301204819,0.967741935,0.25609756,0.365853658,0.37804878,0.322580645,0.096774193,0.28735632,0.33333333,0.37931034,0.12301587,180,324,504,"15983"
"Omar Infante","ATL","AAA",34,116,0.231578947,0.944444444,0.255319148,0.361702127,0.382978723,0.222222222,0.027777777,0.46391753,0.31958763,0.21649485,0.10695187,117,257,374,"1609"
"Austin Slater","SFG","AAA",23,278,0.33519553,1.767857142,0.179894179,0.523809523,0.296296296,0.160714285,0.232142857,0.33333333,0.26041667,0.40625,0.08900999,419,682,1101,"16153"
"Derek Fisher","HOU","AAA",22,118,0.337662337,1.791666666,0.1625,0.5375,0.3,0.166666666,0.208333333,0.59756098,0.19512195,0.20731707,0.11320755,185,292,477,"16192"
"Bradley Zimmer","CLE","AAA",23,150,0.422535211,1.636363636,0.183098591,0.507042253,0.309859154,0.181818181,0.045454545,0.45205479,0.30136986,0.24657534,0.15566038,261,375,636,"16221"
"AJ Reed","HOU","AAA",23,296,0.337016574,0.810126582,0.255208333,0.333333333,0.411458333,0.151898734,0.189873417,0.44670051,0.23857868,0.31472081,0.10535558,447,692,1139,"16246"
"Trea Turner","WSN","AAA",23,371,0.36862745,1.797101449,0.23715415,0.490118577,0.272727272,0.217391304,0.086956521,0.40839695,0.27480916,0.31679389,0.07978364,571,908,1479,"16252"
"Sam Travis","BOS","AAA",22,190,0.3203125,1.204081632,0.187969924,0.443609022,0.368421052,0.163265306,0.122448979,0.45522388,0.25373134,0.29104478,0.10349462,276,468,744,"16263"
"Michael Conforto","NYM","AAA",23,144,0.445544554,1.551724137,0.327272727,0.409090909,0.263636363,0.379310344,0.310344827,0.44144144,0.27927928,0.27927928,0.07034221,204,322,526,"16376"
"Miguel Olivo","SFG","AAA",37,313,0.317708333,0.894117647,0.195,0.38,0.425,0.082352941,0.117647058,0.37438424,0.28571429,0.33990148,0.17170819,383,741,1124,"1638"
"Matt Chapman","OAK","AAA",23,85,0.186046511,0.448275862,0.125,0.270833333,0.604166666,0.24137931,0.24137931,0.4,0.26,0.34,0.14804469,131,227,358,"16505"
"Ozzie Albies","ATL","AAA",19,247,0.289617486,1.722222222,0.205405405,0.502702702,0.291891891,0.037037037,0.037037037,0.45454545,0.20855615,0.3368984,0.10690423,313,585,898,"16556"
"Mark Zagunis","CHC","AAA",23,211,0.31617647,1.24,0.2,0.442857142,0.357142857,0.1,0.12,0.3943662,0.22535211,0.38028169,0.07914573,310,486,796,"16565"
"Yandy Diaz","CLE","AAA",24,416,0.380622837,2.391304347,0.198630136,0.565068493,0.236301369,0.086956521,0.101449275,0.35234899,0.24832215,0.39932886,0.07030796,694,1027,1721,"16578"
"Colin Moran","HOU","AAA",23,511,0.332317073,1.59,0.231454005,0.471810089,0.296735905,0.14,0.1,0.40532544,0.25443787,0.34023669,0.11304348,714,1241,1955,"16909"
"Gavin Cecchini","NYM","AAA",22,499,0.356770833,1.74074074,0.235142118,0.485788113,0.279069767,0.185185185,0.074074074,0.43797468,0.23544304,0.32658228,0.06266596,690,1193,1883,"17005"
"Rusney Castillo","BOS","AAA",28,429,0.310030395,1.836956521,0.189440993,0.52484472,0.285714285,0.184782608,0.02173913,0.45045045,0.24324324,0.30630631,0.10262989,535,1024,1559,"17016"
"Jung Ho Kang","PIT","AAA",29,57,0.135135135,1.285714285,0.157894736,0.47368421,0.368421052,0.285714285,0.142857142,0.58974359,0.28205128,0.12820513,0.072,100,150,250,"17182"
"JT Riddle","MIA","AAA",24,57,0.304347826,1.769230769,0.2,0.511111111,0.288888888,0.23076923,0.076923076,0.29787234,0.44680851,0.25531915,0.11518325,51,140,191,"17642"
"Alex Bregman","HOU","AAA",22,83,0.333333333,0.78125,0.136363636,0.378787878,0.484848484,0.125,0.1875,0.43939394,0.34848485,0.21212121,0.06620209,104,183,287,"17678"
"Harrison Bader","STL","AAA",22,161,0.29245283,1.022727272,0.152380952,0.428571428,0.419047619,0.159090909,0.068181818,0.48181818,0.27272727,0.24545455,0.10600707,208,358,566,"18030"
