Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Niko Kavadas","LAA","AAA",26,527,0.14231499,0.309297912,0.460122699,0.235023041,0.362428842,0.479262672,0.841691514,0.244239631,3.5619214964381998,0.299595141,-1.3795957015827298,82.61864020624436,5.221942029383552,0.3705530881881714,102.30123326142393,"29782"
"Brett Harris","OAK","AAA",27,252,0.111111111,0.15079365,0.736842105,0.282407407,0.369047619,0.5,0.869047619,0.217592593,4.666276207434366,0.288235294,0.3588632410392165,41.780968955616615,4.771542123417516,0.38042554211994956,103.95471332672204,"29788"
"Jack Winkler","MIA","AAA",26,281,0.09252669,0.28113879,0.329113924,0.224899598,0.298932384,0.333333333,0.632265717,0.108433735,6.35922879460114,0.297619047,4.416323875077069,25.355774126701384,-11.417828984804125,0.2908485784225192,73.96420683301803,"29830"
"Denzel Clarke","OAK","AAA",25,135,0.17037037,0.222222222,0.766666666,0.280373831,0.429629629,0.411214953,0.840844582,0.130841122,8.507569843445324,0.389610389,0.5308709531091154,24.34497917457975,4.518500514473089,0.3963245815700955,113.85714693616349,"29858"
"Darren Baker","WSN","AAA",26,393,0.111959287,0.178117048,0.628571428,0.255882352,0.342783505,0.317647058,0.660430563,0.061764706,6.44487985776947,0.317343173,1.4808675674721599,42.11723842738325,-9.313459162729439,0.3109962167049871,81.96339683848721,"29912"
"Tyler Black","MIL","AAA",24,268,0.160447761,0.264925373,0.605633802,0.243243243,0.369402985,0.36036036,0.729763345,0.117117117,7.2071391699515495,0.337837837,2.3247273890301585,35.910356452709564,0.8380232360423867,0.34291140223616984,105.31142008945346,"29949"
"Harry Ford","SEA","AAA",22,458,0.161572052,0.192139737,0.84090909,0.283422459,0.408296943,0.459893048,0.868189991,0.176470589,3.1791512769777306,0.329670329,-1.8147653839550912,81.84995108938193,14.58678644990898,0.394550999960004,125.35558702954354,"29958"
"Jordan Lawlar","ARI","AAA",22,300,0.12,0.233333333,0.514285714,0.312741312,0.402684563,0.563706563,0.966391126,0.250965251,8.276103747537343,0.393258426,1.8413286269642413,60.48167365782932,16.422832190925632,0.41959219950216786,129.14998618208446,"29976"
"Brady House","WSN","AAA",22,283,0.070671378,0.265017667,0.266666666,0.303846153,0.35335689,0.519230769,0.872587659,0.215384616,2.9094254937078956,0.379310344,-1.0498584154993296,46.91968101727656,9.884344075795928,0.3807452361211709,126.7789970764098,"29993"
"Daylen Lile","WSN","AAA",22,119,0.092436974,0.168067226,0.55,0.336538461,0.406779661,0.5,0.906779661,0.163461539,7.367534717028468,0.397590361,-0.02843205165117979,22.119040395263045,6.545877511742917,0.4046356678009033,142.12923489526383,"29995"
"Christian Encarnacion-Strand","CIN","AAA",25,252,0.067460317,0.246031746,0.274193548,0.244541484,0.309523809,0.493449781,0.80297359,0.248908297,3.2355990712500002,0.286624203,-0.3806583909317851,35.21287850605284,2.2344159291866927,0.3497402509526601,107.7318689779973,"30011"
"Bob Seymour","TBR","AAA",26,443,0.085778781,0.257336343,0.333333333,0.263027295,0.327313769,0.553349875,0.880663644,0.29032258,4.050496492768763,0.292307692,-0.535939552821219,71.73564935642082,13.761606016929937,0.37614993584726286,121.63680729479476,"30028"
"Carson Williams","TBR","AAA",22,451,0.124168514,0.341463414,0.363636363,0.213367609,0.317777777,0.447300771,0.765078548,0.233933162,8.060518236220517,0.28169014,0.7823764597997069,59.31035232558632,0.2893736661949177,0.33995450841055974,98.38028239994236,"30038"
"Tristan Peters","TBR","AAA",25,555,0.117117117,0.183783783,0.637254901,0.265560165,0.354954954,0.42946058,0.784415534,0.163900415,4.7253525280082975,0.306233062,-2.272923255339265,79.27997797187717,6.648840153779109,0.35344410781825925,107.0477088309569,"30063"
"Cesar Prieto","STL","AAA",26,515,0.075728155,0.13592233,0.557142857,0.3,0.36328125,0.452173913,0.815455163,0.152173913,5.109287632024648,0.335064935,-5.175476333126426,78.77223251929857,11.375771300703063,0.3654711808776483,116.29022744205642,"30163"
"Heston Kjerstad","BAL","AAA",26,112,0.089285714,0.267857142,0.333333333,0.148514851,0.225225225,0.247524752,0.472749977,0.099009901,3.282291356249925,0.188405797,-0.6269046477973461,3.646796022946165,-11.010298455661014,0.2222321774508502,27.935087475802472,"31166"
"Zach Neto","LAA","AAA",24,58,0.120689655,0.224137931,0.538461538,0.285714285,0.396551724,0.591836734,0.988388458,0.306122449,4.153250177063104,0.3125,-0.9549276307225227,11.972659301697995,3.454616618096615,0.42486382763961267,136.12771022463653,"31347"
"Jimmy Crooks","STL","AAA",23,430,0.08372093,0.265116279,0.315789473,0.274358974,0.337209302,0.441025641,0.778234943,0.166666667,2.29498892125,0.352272727,-0.9220392135903239,59.36360715047076,3.090833705818202,0.3477429797483045,104.89938666177999,"31354"
"Nathan Church","STL","AAA",24,242,0.099173553,0.103305785,0.96,0.33488372,0.4,0.520930232,0.920930232,0.186046512,6.876255263448977,0.353260869,-0.6568641122430563,45.67783189859113,14.00803847160062,0.40805865079164505,143.6538096513195,"31357"
"Graham Pauley","MIA","AAA",24,155,0.09032258,0.116129032,0.777777777,0.262773722,0.341935483,0.510948905,0.852884388,0.248175183,4.66476192625,0.25,0.7039323775097728,24.730789059638454,4.44641723656602,0.3733207191190412,126.95475091747646,"31363"
"Jakob Marsee","MIA","AAA",24,429,0.158508158,0.188811188,0.839506172,0.246376811,0.379146919,0.437681159,0.816828078,0.191304348,7.793583045185467,0.281746031,2.3752967407926917,67.8463685218526,11.70446199218761,0.3716509953776807,125.88190900045852,"31370"
"Dalton Rushing","LAD","AAA",24,149,0.174496644,0.2147651,0.8125,0.313559322,0.43624161,0.516949152,0.953190762,0.20338983,4.829251978791317,0.38095238,-0.18140840204432607,30.311864932585515,8.429307004023348,0.42159357546149073,143.39687717315024,"31382"
"Brooks Baldwin","CHW","AAA",24,132,0.09090909,0.166666666,0.545454545,0.367521367,0.427480916,0.752136752,1.179617668,0.384615385,6.471865813047636,0.369047619,-1.3438783390447497,34.875438789377135,17.60100601101868,0.497832341503551,193.829230314026,"31394"
"Tyler Locklear","SEA","AAA",24,434,0.10829493,0.218894009,0.494736842,0.316353887,0.400921658,0.541554959,0.942476617,0.225201072,5.125418616050029,0.375,-0.4630705416202545,84.16246567776211,20.424008355641455,0.4111887496007783,135.71811312710372,"31396"
"Jace Jung","DET","AAA",24,495,0.157575757,0.252525252,0.624,0.252427184,0.369696969,0.446601941,0.81629891,0.194174757,3.058000758639995,0.317518248,-2.1982449498027563,76.81500390844862,12.03588098960439,0.36811958575489545,124.32799725245974,"31437"
"Wade Meckler","SFG","AAA",25,401,0.142144638,0.179551122,0.791666666,0.286982248,0.39,0.369822485,0.759822485,0.082840237,4.82571001889938,0.358208955,-0.33260120870545506,58.05667136413576,-0.8353133966255001,0.35743644019416104,108.52925124578636,"31490"
"Ryan Ritter","COL","AAA",24,260,0.13076923,0.207692307,0.629629629,0.302752293,0.40466926,0.610091743,1.014761003,0.30733945,5.427526180420199,0.335570469,-0.9737290106713772,55.72570896542923,17.541379694112695,0.43350970884241485,138.02086099732279,"31500"
"Sal Stewart","CIN","AAA",21,165,0.115151515,0.157575757,0.73076923,0.314685314,0.393939393,0.629370629,1.023310022,0.314685315,4.105123659897059,0.321100917,0.003913857042789459,35.25826749836006,13.665226525411986,0.4377249598503113,164.26438476118287,"31505"
"Tim Elko","CHW","AAA",26,414,0.082125603,0.297101449,0.276422764,0.292225201,0.357487922,0.55227882,0.909766742,0.260053619,2.8946207995095916,0.367256637,-0.47128475550562143,73.85931914825542,19.6804163434039,0.39574814001143266,128.2374155047014,"31522"
"Drew Gilbert","SFG","AAA",24,381,0.12335958,0.16535433,0.746031746,0.253918495,0.363157894,0.448275862,0.811433756,0.194357367,5.359503911855482,0.278225806,-1.043108449317515,58.45570744322379,8.275495034919574,0.36490968528546786,113.29636473285275,"31545"
"Alan Roden","TOR","AAA",25,142,0.112676056,0.091549295,1.23076923,0.330578512,0.422535211,0.495867768,0.918402979,0.165289256,5.974993360542837,0.349056603,-0.055299670435488224,27.397790126580617,8.814688198346516,0.4130446323206727,151.17074661991376,"31564"
"Trey Lipscomb","WSN","AAA",25,489,0.071574642,0.194274028,0.368421052,0.249443207,0.305327868,0.391982182,0.69731005,0.142538975,4.323692945228135,0.292753623,-1.2430007960647345,52.717162632476985,-11.27675879644185,0.3117546919932581,82.45073738598182,"31567"
"Zach Cole","HOU","AAA",24,61,0.163934426,0.278688524,0.588235294,0.352941176,0.459016393,0.745098039,1.204114432,0.392156863,6.10789183375044,0.448275862,-0.05972836585715413,16.90125579600862,7.942624697738201,0.5021344569862866,199.1051966011993,"31583"
"Jacob Melton","HOU","AAA",24,150,0.146666666,0.2,0.733333333,0.285714285,0.389261744,0.555555555,0.944817299,0.26984127,5.8901635272948205,0.329670329,0.5778654310852289,28.785892784923327,6.7564720514714836,0.4089828081579016,141.08735086746725,"31661"
"Alex Freeland","LAD","AAA",23,508,0.163385826,0.218503937,0.747747747,0.262650602,0.383858267,0.450602409,0.834460676,0.187951807,4.420923833693724,0.315254237,-0.612642465159297,81.88915111002662,7.282846226069699,0.37539586336655023,114.62345483133451,"31665"
"Cole Young","SEA","AAA",21,245,0.126530612,0.114285714,1.107142857,0.276699029,0.391836734,0.461165048,0.853001782,0.184466019,6.469519230501369,0.300578034,-0.7812076038680971,41.86979533616074,5.888408138189402,0.3860034833149034,120.03191849163531,"31680"
"Dylan Beavers","BAL","AAA",23,418,0.162679425,0.181818181,0.894736842,0.304093567,0.419664268,0.514619883,0.934284151,0.210526316,6.484564691856615,0.341269841,1.1271138153970242,81.47449551121932,26.77212504641753,0.4153918450554976,152.04531179031534,"31695"
"Nacho Alvarez Jr.","ATL","AAA",22,79,0.139240506,0.189873417,0.733333333,0.253968253,0.405063291,0.349206349,0.75426964,0.095238096,2.283155865971181,0.319148936,-0.6945772506296635,11.961154546232084,1.6226682622145219,0.36362854363043096,118.4567555419739,"31765"
"Otto Kemp","PHI","AAA",25,343,0.104956268,0.244897959,0.428571428,0.309859154,0.41690962,0.570422535,0.987332155,0.260563381,6.293074938698142,0.382978723,0.8301871465519071,71.50218397008928,26.61483212935479,0.4315082157215877,159.96563807708682,"31792"
"Rhylan Thomas","SEA","AAA",25,618,0.074433656,0.051779935,1.4375,0.325411334,0.379537953,0.411334552,0.790872505,0.085923218,5.930801045624247,0.332038834,1.385636277962476,91.56076296228484,0.7995495404632417,0.3611300124609766,104.53992008885594,"31793"
"Roman Anthony","BOS","AAA",21,265,0.19245283,0.211320754,0.910714285,0.287735849,0.422641509,0.490566037,0.913207546,0.202830188,4.565217816713876,0.344594594,-1.5429452704265714,50.6038334805849,15.92410100888042,0.4106838032884418,145.1047566678514,"31812"
"Colby Thomas","OAK","AAA",24,384,0.083333333,0.268229166,0.310679611,0.291291291,0.365535248,0.528528528,0.894063776,0.237237237,5.471530331594656,0.360730593,-1.4109211903996766,65.7452275189712,9.349910441334499,0.3863473788253943,107.64302386934929,"31855"
"Chandler Simpson","TBR","AAA",24,156,0.057692307,0.096153846,0.6,0.333333333,0.37012987,0.395833333,0.765963203,0.0625,9.004229137765778,0.369230769,1.9954177914187312,21.715143181874865,1.2999044438148675,0.3491049184427633,104.25966423855158,"31912"
"Rafael Flores Jr.","PIT","AAA",24,206,0.126213592,0.262135922,0.481481481,0.265895953,0.368932038,0.421965317,0.790897355,0.156069364,2.0178571400000003,0.339130434,-0.5413808226585388,30.47497477383423,3.5163902863960286,0.3594998462686261,114.71249891700293,"31991"
"Chase DeLauter","CLE","AAA",23,149,0.147651006,0.154362416,0.956521739,0.277777777,0.382550335,0.476190476,0.858740811,0.198412699,3.17170329,0.303030303,-0.36374024022370577,25.121084758116073,5.621914424969022,0.3840812204668186,130.31919180761167,"32127"
"Carson McCusker","MIN","AAA",27,438,0.08219178,0.337899543,0.243243243,0.246153846,0.315668202,0.479487179,0.795155381,0.233333333,3.357157412916699,0.331838565,-0.6767630483955145,60.67826999973747,3.3585612351844,0.3483140110145516,102.34089761002963,"33098"
"Ben Williamson","SEA","AAA",24,240,0.104166666,0.133333333,0.78125,0.314285714,0.391666666,0.461904761,0.853571427,0.147619047,6.509160638565429,0.348571428,0.9289488652721047,40.319269555925246,5.072196382402292,0.38283129840715163,118.05617960851707,"33197"
"Kyle Karros","COL","AAA",22,68,0.073529411,0.176470588,0.416666666,0.306451612,0.367647058,0.5,0.867647058,0.193548388,3.7564935024999997,0.354166666,-0.13461473118513823,11.385605133991204,1.3989344014930354,0.38221703820368824,106.07413445175939,"33252"
"Brice Matthews","HOU","AAA",23,498,0.140562248,0.279116465,0.503597122,0.260143198,0.371485943,0.45823389,0.829719833,0.198090692,7.881520421456916,0.345864661,1.4365753470920026,78.50301158260865,5.365334747548529,0.3714991718171591,117.74133543876522,"33280"
"Luke Keaschall","MIN","AAA",22,118,0.144067796,0.144067796,1,0.263157894,0.372881355,0.336842105,0.70972346,0.073684211,7.281342552270358,0.296296296,0.9461907371878624,14.933694849384596,-0.5086011191479671,0.33406314203294657,93.18433522867471,"33321"
