Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Trevor Plouffe","- - -","3B",505,,,,0,,0,-2,,-2,,-0.27252329140901566,-2.9831700325012207,1.2877350449562073,-1.967963345348835,-4.839254127906972,,-2,-2,-0.3855009298132205,"Trevor Plouffe",7462,461858
"Christopher Bostick","PIT","2B",26,,,,0,,0,0,,0,,,0.12422999739646912,0.20956110581755638,0.33379098773002625,12.517162039875984,,-1,-1,-0.3861635938510034,"Christopher Bostick",13718,607471
"Andrew Romine","DET","1B",65,,,,0,,0,-1,,-1,,-0.05714289844036102,0.04911709949374199,0.43377498537302017,0.42575009167194366,5.083780735731125,,0,0,-0.3910456344278303,"Andrew Romine",1159,461865
"Mike Aviles","MIA","SS",103,,,,0,,1,-2,,-1,,-0.031146999448537827,-0.6915910243988037,1.1443513333797455,0.42161500826478004,4.281722713065775,,-1,-1,-0.39723574079299107,"Mike Aviles",5986,449107
"Patrick Kivlehan","CIN","LF",58.2,,,,,0,0,0,,0,-0.3619999885559082,,0.36285600066185,0.07890719920396805,0.0797630250453949,-2.53092423081398,,0,0,-0.3982076970828829,"Patrick Kivlehan",13910,623182
"Richard Urena","TOR","SS",160.2,,,,0,,0,-5,,-5,,-0.4008679986000061,-1.7864400148391724,-0.04046599566936493,-2.2277780175209045,-15.554782269256455,,-2,-1,-0.40254797219329175,"Richard Urena",16411,620446
"Tyler Wade","NYY","RF",10,,,,,0,0,0,,0,-0.577921986579895,,-0.09055829793214798,-0.2742143953219056,-0.9426939785480499,-70.70204839110374,,0,0,-0.40282575900185685,"Tyler Wade",15730,642180
"Steven Souza Jr.","TBR","RF",1197,,,,,2,0,3,,5,0.8202570080757141,,4.249549865722656,-0.5694070234894753,4.500397026538849,5.431516585317818,,7,4,-0.4053705276987065,"Steven Souza Jr.",5667,519306
"Ben Zobrist","CHC","LF",131.2,,,,,-1,0,3,,2,-0.8051739931106567,,1.1100399494171143,0.18102090060710907,0.48588597774505615,5.60637666628911,,1,0,-0.40682558371185396,"Ben Zobrist",7435,450314
"Tony Kemp","HOU","LF",68,,,,,0,0,1,,1,-0.08503589779138565,,0.7216770052909851,0.06563299894332886,0.7022741064429283,16.493903938680887,,0,0,-0.41100575925945415,"Tony Kemp",14894,643393
"Tyler Wade","NYY","SS",20,,,,0,,0,0,,0,,,0.04150709882378578,0.036583161214366555,0.07809030264616013,11.713545396924019,,-1,-1,-0.4139685777036921,"Tyler Wade",15730,642180
"Danny Ortiz","PIT","CF",7,,,,,0,0,0,,0,-0.402631014585495,,-0.1509139984846115,-0.2896772618405521,-0.8432220220565796,-96.28597721457481,,0,0,-0.4156678449696541,"Danny Ortiz",10317,543611
"Gavin Cecchini","NYM","2B",155.2,,,,-1,,0,-1,,-2,,0.014861200004816055,-0.7180370092391968,1.0651510283350945,0.36197519674897194,2.572268191059785,,-1,-2,-0.42100797448365307,"Gavin Cecchini",17005,608325
"Pedro Florimón","PHI","2B",9,,,,0,,0,0,,0,,-0.00023236099514178932,0.23432999849319458,0.03662329027429223,0.2707206385966856,40.63423640145629,,-1,0,-0.4221802007640347,"Pedro Florimon",8385,465753
"Jae-Gyun Hwang","SFG","1B",16.2,,,,0,,0,0,,-1,,0.11955100297927856,-0.21272599697113037,-0.6403274401091039,-0.733502984046936,-29.99700779716174,,0,0,-0.42236292637711903,"Jae-Gyun Hwang",19369,666561
"Rocky Gale","SDP","C",23,0,0,0,,,0,,,0,,,,,,,-0.10999999940395355,,-1,-0.4224727327067149,"Rocky Gale",10533,502570
"Daniel Robertson","CLE","RF",115,,,,,2,1,-1,,2,1.5324300527572632,,-0.44417399168014526,-0.14917639642953873,0.9390800595283508,7.792718670307062,,-1,0,-0.42362998237184335,"Daniel Robertson",6266,543706
"Mitch Haniger","SEA","CF",28,,,,,0,0,-1,,-1,0.17590099573135376,,-0.33275899291038513,-1.0848309993743896,-1.2416890263557434,-47.88259595632553,,-1,0,-0.42489122379002237,"Mitch Haniger",14274,571745
"Grégor Blanco","ARI","LF",212.1,,,,,-1,0,1,,0,-0.17292700707912445,,0.8228309750556946,0.21717000007629395,0.8670729547739029,8.5148067346641,,1,0,-0.4254094680149624,"Gregor Blanco",3123,453923
"J.P. Crawford","PHI","SS",55,,,,0,,0,-1,,-1,,0.06896740198135376,-0.29346901178359985,0.6081502810120583,0.3836483955383301,6.370500915429809,,-1,-1,-0.4281632057358406,"J.P. Crawford",15491,641487
"Joc Pederson","LAD","LF",21,,,,,0,0,0,,0,-0.31241899728775024,,-0.08970549702644348,0.002944599953480065,-0.3991798982024193,-46.86284959316254,,0,0,-0.4315587355197204,"Joc Pederson",11899,592626
"Luis Sardinas","SDP","SS",31.2,,,,0,,0,0,,0,,-0.09444449841976166,0.5559790134429932,-0.6641660034656525,-0.20263250172138214,-4.662307575345039,,-1,0,-0.44358974660756717,"Luis Sardinas",13153,596143
"Jefry Marte","LAA","LF",14,,,,,0,0,-1,,-1,0.6666749715805054,,-1.0023800134658813,0.022655200213193893,-0.3130510449409485,-23.478828370571136,,0,0,-0.4463468435910099,"Jefry Marte",5107,527043
