Name,Team,Pos,G,GS,Inn,Throwing,Blocking,Framing,Arm,Range,FRV,NameASCII,PlayerId,MLBAMID
"Michael A. Taylor","WSN","CF",111,106,940.1,,,,3,8,10,"Michael A. Taylor",11489,572191
"Aaron Judge","NYY","RF",141,141,1238.2,,,,3,8,10,"Aaron Judge",15640,592450
"Odúbel Herrera","PHI","CF",133,128,1144,,,,0,9,9,"Odubel Herrera",11476,546318
"Carlos Santana","CLE","1B",140,139,1225.2,,,,0,7,8,"Carlos Santana",2396,467793
"Alcides Escobar","KCR","SS",162,162,1404.1,,,,0,7,8,"Alcides Escobar",6310,444876
"Brandon Belt","SFG","1B",98,89,825.2,,,,0,8,8,"Brandon Belt",10264,474832
"Todd Frazier","- - -","3B",133,128,1107.2,,,,0,6,7,"Todd Frazier",785,453943
"Joe Mauer","MIN","1B",125,118,1040.2,,,,0,8,7,"Joe Mauer",1857,408045
"Jarrod Dyson","SEA","CF",96,87,771.2,,,,2,5,7,"Jarrod Dyson",4866,502481
"Leury García","CHW","CF",51,47,406,,,,6,1,7,"Leury Garcia",5913,544725
"Ian Kinsler","DET","2B",135,134,1137.1,,,,0,8,7,"Ian Kinsler",6195,435079
"Gerardo Parra","COL","LF",82,74,654.1,,,,3,4,7,"Gerardo Parra",8553,467827
"Elvis Andrus","TEX","SS",157,157,1365.1,,,,0,5,7,"Elvis Andrus",8709,462101
"Jonathan Schoop","BAL","2B",159,158,1385,,,,0,4,7,"Jonathan Schoop",11265,570731
"Brandon Drury","ARI","2B",114,109,947,,,,0,7,7,"Brandon Drury",11615,592273
"Max Kepler","MIN","RF",138,120,1086,,,,0,7,7,"Max Kepler",12144,596146
"Trevor Story","COL","SS",142,133,1185.1,,,,0,5,7,"Trevor Story",12564,596115
"Orlando Arcia","MIL","SS",152,137,1240.1,,,,0,4,7,"Orlando Arcia",13185,606115
"Matt Chapman","OAK","3B",84,83,727,,,,0,6,7,"Matt Chapman",16505,656305
"Tommy Pham","STL","LF",86,85,736.1,,,,-1,6,6,"Tommy Pham",2967,502054
"Jason Heyward","CHC","RF",120,104,919,,,,0,6,6,"Jason Heyward",4940,518792
"Yangervis Solarte","SDP","2B",79,74,628.2,,,,0,5,6,"Yangervis Solarte",5352,500208
"Keon Broxton","MIL","CF",139,113,1028.2,,,,-4,10,6,"Keon Broxton",9253,542979
"Tucker Barnhart","CIN","C",110,105,926.1,6,0,0,,,6,"Tucker Barnhart",10200,571466
"Nick Ahmed","ARI","SS",48,41,381.2,,,,0,6,6,"Nick Ahmed",12147,605113
"Rougned Odor","TEX","2B",158,157,1366.1,,,,0,3,6,"Rougned Odor",12282,596059
"C.J. Cron","LAA","1B",98,92,815.2,,,,1,5,6,"C.J. Cron",12546,543068
"José Ramírez","CLE","3B",88,86,736.2,,,,0,5,6,"Jose Ramirez",13510,608070
"Wilmer Difo","WSN","SS",57,52,473.1,,,,0,6,6,"Wilmer Difo",14320,594694
"Guillermo Heredia","SEA","CF",63,53,465,,,,0,6,6,"Guillermo Heredia",18721,628338
"Anthony Rizzo","CHC","1B",157,155,1341,,,,0,5,5,"Anthony Rizzo",3473,519203
"Josh Reddick","HOU","RF",102,95,769.2,,,,2,2,5,"Josh Reddick",3892,502210
"Alex Gordon","KCR","LF",140,135,1178.2,,,,2,3,5,"Alex Gordon",5209,460086
"Brandon Crawford","SFG","SS",138,135,1201,,,,0,4,5,"Brandon Crawford",5343,543063
"Jordy Mercer","PIT","SS",144,143,1241.2,,,,1,3,5,"Jordy Mercer",6547,474568
"Freddy Galvis","PHI","SS",155,155,1359.1,,,,0,5,5,"Freddy Galvis",6609,520471
"Martín Maldonado","LAA","C",137,131,1146.1,5,0,0,,,5,"Martin Maldonado",6887,455117
"Evan Longoria","TBR","3B",142,142,1240,,,,0,2,5,"Evan Longoria",9368,446334
"Christian Vázquez","BOS","C",95,85,771,5,0,0,,,5,"Christian Vazquez",9774,543877
"Adeiny Hechavarría","- - -","SS",96,91,813.1,,,,1,4,5,"Adeiny Hechavarria",10459,588751
"Jake Marisnick","HOU","CF",93,63,592.1,,,,1,4,5,"Jake Marisnick",11339,545350
"Alex Bregman","HOU","3B",132,127,1092.2,,,,0,4,5,"Alex Bregman",17678,608324
"Guillermo Heredia","SEA","LF",62,50,464,,,,1,4,5,"Guillermo Heredia",18721,628338
"Manny Piña","MIL","C",102,83,760.1,4,0,0,,,4,"Manny Pina",2829,444489
"Welington Castillo","BAL","C",88,86,753.1,4,0,0,,,4,"Welington Castillo",3256,456078
"J.J. Hardy","BAL","SS",71,70,612.2,,,,0,4,4,"J.J. Hardy",3797,429666
"Jed Lowrie","OAK","2B",136,132,1161,,,,0,5,4,"Jed Lowrie",4418,476704
"Curtis Granderson","- - -","RF",38,30,273,,,,0,3,4,"Curtis Granderson",4747,434158
"Carlos Gómez","TEX","CF",102,100,862.1,,,,2,2,4,"Carlos Gomez",4881,460576
"Sandy León","BOS","C",84,77,699.1,4,0,0,,,4,"Sandy Leon",5273,506702
"Steven Souza Jr.","TBR","RF",138,136,1197,,,,-2,6,4,"Steven Souza Jr.",5667,519306
"Paul Goldschmidt","ARI","1B",151,150,1292,,,,0,4,4,"Paul Goldschmidt",9218,502671
"David Freese","PIT","3B",116,114,977.2,,,,0,3,4,"David Freese",9549,501896
"Yan Gomes","CLE","C",103,96,856,4,0,0,,,4,"Yan Gomes",9627,543228
"Brett Gardner","NYY","LF",122,116,1024,,,,0,4,4,"Brett Gardner",9927,458731
"Chris Owings","ARI","RF",25,23,201.1,,,,3,1,4,"Chris Owings",10030,572008
"Jose Iglesias","DET","SS",130,128,1116.1,,,,1,4,4,"Jose Iglesias",10231,578428
"Gary Sánchez","NYY","C",104,99,881,4,0,0,,,4,"Gary Sanchez",11442,596142
"Eugenio Suárez","CIN","3B",153,149,1302,,,,0,4,4,"Eugenio Suarez",12552,553993
"Anthony Rendon","WSN","3B",145,143,1268.1,,,,0,3,4,"Anthony Rendon",12861,543685
"Joey Rickard","BAL","RF",53,29,291,,,,1,3,4,"Joey Rickard",13277,572073
"José Ramírez","CLE","2B",71,65,577.1,,,,0,1,4,"Jose Ramirez",13510,608070
"José Peraza","CIN","2B",77,69,602.2,,,,0,3,4,"Jose Peraza",13593,606299
"J.P. Crawford","PHI","3B",13,11,101,,,,0,4,4,"J.P. Crawford",15491,641487
"Roberto Pérez","CLE","C",71,66,580.2,3,0,0,,,3,"Roberto Perez",2900,547379
"Mitch Moreland","BOS","1B",138,126,1170,,,,0,3,3,"Mitch Moreland",3086,519048
"Gorkys Hernández","SFG","CF",50,39,331.1,,,,-1,4,3,"Gorkys Hernandez",4146,491676
"Danny Valencia","SEA","1B",118,111,984,,,,0,2,3,"Danny Valencia",6364,502143
"Salvador Perez","KCR","C",115,113,941.2,3,0,0,,,3,"Salvador Perez",7304,521692
"Danny Espinosa","- - -","2B",78,71,642.2,,,,0,2,3,"Danny Espinosa",9219,457787
"Ryan Goins","TOR","2B",56,42,383.1,,,,0,2,3,"Ryan Goins",9807,572365
"Efren Navarro","DET","1B",20,14,138.1,,,,0,2,3,"Efren Navarro",9854,519068
"Chris Carter","NYY","1B",56,48,433.1,,,,0,2,3,"Chris Carter",9911,474892
"Jonathan Villar","MIL","2B",98,84,768.2,,,,0,2,3,"Jonathan Villar",10071,542340
"Randal Grichuk","STL","RF",55,50,445.2,,,,-2,5,3,"Randal Grichuk",10243,545341
"Marcell Ozuna","MIA","LF",152,151,1335,,,,3,0,3,"Marcell Ozuna",10324,542303
"Tyler Saladino","CHW","3B",22,18,168.1,,,,0,2,3,"Tyler Saladino",10807,573135
"Delino DeShields","TEX","CF",51,42,383,,,,-1,3,3,"Delino DeShields",11379,592261
"Yolmer Sánchez","CHW","2B",78,69,620,,,,0,3,3,"Yolmer Sanchez",11602,570560
"Leonys Martin","- - -","CF",20,16,155.1,,,,0,3,3,"Leonys Martin",11846,547982
"Kevin Pillar","TOR","CF",153,148,1343.1,,,,4,-1,3,"Kevin Pillar",12434,607680
"Matt Olson","OAK","1B",43,38,349.2,,,,0,2,3,"Matt Olson",14344,621566
"Nomar Mazara","TEX","RF",92,86,757.2,,,,2,1,3,"Nomar Mazara",14553,608577
"Franchy Cordero","SDP","CF",25,22,192,,,,1,3,3,"Franchy Cordero",14567,614173
"Brett Phillips","MIL","CF",26,22,177,,,,3,-1,3,"Brett Phillips",14735,621433
"Johan Camargo","ATL","3B",43,30,286,,,,0,3,3,"Johan Camargo",14950,622666
"Zack Granite","MIN","CF",24,18,174,,,,0,3,3,"Zack Granite",15343,643335
"Kris Bryant","CHC","3B",144,139,1212.2,,,,0,3,3,"Kris Bryant",15429,592178
"Bradley Zimmer","CLE","CF",97,73,697.2,,,,2,0,3,"Bradley Zimmer",16221,605548
"JT Riddle","MIA","SS",69,61,561.1,,,,0,2,3,"JT Riddle",17642,595375
"Ian Happ","CHC","CF",54,41,346.2,,,,2,1,3,"Ian Happ",17919,664023
"Adrian Beltré","TEX","3B",65,65,552.1,,,,0,2,2,"Adrian Beltre",639,134181
"Brandon Phillips","ATL","3B",25,25,218,,,,0,2,2,"Brandon Phillips",791,408252
"Adrián González","LAD","1B",60,57,501,,,,0,2,2,"Adrian Gonzalez",1908,408236
"Darwin Barney","TOR","3B",44,32,294.2,,,,0,2,2,"Darwin Barney",2430,446381
"Brandon Guyer","CLE","RF",37,27,228.1,,,,1,1,2,"Brandon Guyer",2636,446386
"Jeff Mathis","ARI","C",58,56,474.2,2,0,0,,,2,"Jeff Mathis",3448,425772
"Michael Brantley","CLE","LF",87,86,731,,,,1,1,2,"Michael Brantley",4106,488726
"Starlin Castro","NYY","2B",109,108,936,,,,0,4,2,"Starlin Castro",4579,516770
"Jarrod Dyson","SEA","LF",12,12,107.2,,,,0,2,2,"Jarrod Dyson",4866,502481
"Cameron Maybin","- - -","CF",57,50,450.2,,,,-2,3,2,"Cameron Maybin",5223,457727
"Justin Turner","LAD","3B",121,119,1000,,,,0,2,2,"Justin Turner",5235,457759
"Aaron Hicks","NYY","CF",52,50,440.2,,,,0,2,2,"Aaron Hicks",5297,543305
"Freddie Freeman","ATL","1B",105,100,877.1,,,,0,2,2,"Freddie Freeman",5361,518692
"Marwin Gonzalez","HOU","SS",38,33,281.1,,,,0,1,2,"Marwin Gonzalez",5497,503556
"Hernán Pérez","MIL","2B",17,16,116,,,,0,1,2,"Hernan Perez",5751,541650
"Hernán Pérez","MIL","LF",53,34,337.1,,,,1,0,2,"Hernan Perez",5751,541650
"Hernán Pérez","MIL","RF",30,17,165.2,,,,2,0,2,"Hernan Perez",5751,541650
"Sean Rodríguez","- - -","LF",7,5,49.2,,,,1,0,2,"Sean Rodriguez",6589,446481
"Eric Young Jr.","LAA","LF",22,20,177,,,,0,2,2,"Eric Young Jr.",7158,458913
"Tyler Moore","MIA","1B",45,32,285.1,,,,0,2,2,"Tyler Moore",7244,489138
"Lonnie Chisenhall","CLE","RF",45,33,311.2,,,,0,1,2,"Lonnie Chisenhall",7571,502082
"Miguel Rojas","MIA","SS",77,70,612.2,,,,0,0,2,"Miguel Rojas",7802,500743
"Josh Harrison","PIT","2B",83,79,653.1,,,,0,1,2,"Josh Harrison",8202,543281
"Buster Posey","SFG","1B",38,30,258.2,,,,0,1,2,"Buster Posey",9166,457763
"Buster Posey","SFG","C",99,96,826.1,2,0,0,,,2,"Buster Posey",9166,457763
"Starling Marte","PIT","LF",56,56,476,,,,1,1,2,"Starling Marte",9241,516782
"Josh Phegley","OAK","C",56,45,394.2,2,0,0,,,2,"Josh Phegley",9308,572033
"Brock Holt","BOS","LF",10,8,70,,,,1,1,2,"Brock Holt",9345,571788
"Colby Rasmus","TBR","LF",23,19,169.1,,,,2,0,2,"Colby Rasmus",9893,458675
"Brett Gardner","NYY","CF",22,18,164.2,,,,1,1,2,"Brett Gardner",9927,458731
"Danny Santana","- - -","LF",38,20,212,,,,1,1,2,"Danny Santana",10322,542454
"Tyler Saladino","CHW","2B",26,26,217.2,,,,0,2,2,"Tyler Saladino",10807,573135
"Matt Szczur","- - -","CF",21,14,142,,,,1,1,2,"Matt Szczur",11255,519333
"Whit Merrifield","KCR","2B",132,131,1142.2,,,,0,1,2,"Whit Merrifield",11281,593160
"Yasmani Grandal","LAD","C",117,113,999.1,2,0,0,,,2,"Yasmani Grandal",11368,518735
"Ronald Torreyes","NYY","3B",26,16,149,,,,0,2,2,"Ronald Torreyes",11400,591720
"Tony Wolters","COL","C",77,66,586.1,2,0,0,,,2,"Tony Wolters",11470,547172
"Willson Contreras","CHC","C",108,91,821.1,2,0,0,,,2,"Willson Contreras",11609,575929
"Jarrett Parker","SFG","LF",44,42,350,,,,2,-1,2,"Jarrett Parker",11624,592620
"Elias Díaz","PIT","C",55,44,407.1,2,0,0,,,2,"Elias Diaz",11680,553869
"Leonys Martin","- - -","RF",19,14,137.2,,,,0,2,2,"Leonys Martin",11846,547982
"Brock Stassi","PHI","1B",21,12,118.2,,,,0,2,2,"Brock Stassi",12244,595426
"Javier Báez","CHC","2B",80,56,503.2,,,,0,4,2,"Javier Baez",12979,595879
"Javier Báez","CHC","SS",73,67,573.1,,,,0,4,2,"Javier Baez",12979,595879
"Norichika Aoki","- - -","LF",64,55,451.2,,,,3,-1,2,"Norichika Aoki",13075,493114
"Joey Rickard","BAL","LF",43,22,225.2,,,,0,2,2,"Joey Rickard",13277,572073
"Stephen Piscotty","STL","RF",99,92,816.2,,,,1,1,2,"Stephen Piscotty",13367,572039
"Erik González","CLE","2B",36,18,201,,,,0,2,2,"Erik Gonzalez",13369,570481
"Corey Seager","LAD","SS",138,134,1162,,,,0,1,2,"Corey Seager",13624,608369
"Chris Taylor","LAD","LF",48,46,405.2,,,,2,0,2,"Chris Taylor",13757,621035
"Adalberto Mondesi","KCR","2B",14,13,122.1,,,,0,1,2,"Adalberto Mondesi",13769,609275
"Daniel Robertson","TBR","2B",41,38,319.1,,,,0,2,2,"Daniel Robertson",14145,621002
"Mitch Haniger","SEA","RF",94,91,788.2,,,,1,1,2,"Mitch Haniger",14274,571745
"Max Moroff","PIT","2B",28,13,156,,,,0,1,2,"Max Moroff",14556,621559
"José Abreu","CHW","1B",139,138,1197,,,,0,2,2,"Jose Abreu",15676,547989
"Michael Conforto","NYM","LF",52,45,415.2,,,,0,2,2,"Michael Conforto",16376,624424
"Ichiro Suzuki","MIA","LF",9,6,59,,,,0,1,1,"Ichiro Suzuki",1101,400085
"Andrew Romine","DET","SS",10,9,74,,,,0,0,1,"Andrew Romine",1159,461865
"José Bautista","TOR","3B",8,4,38,,,,0,0,1,"Jose Bautista",1887,430832
"Andrés Blanco","PHI","3B",16,7,71.1,,,,0,1,1,"Andres Blanco",1907,433217
"Pete Kozma","TEX","3B",14,6,63,,,,0,0,1,"Pete Kozma",2539,518902
"Peter Bourjos","TBR","CF",37,18,193,,,,0,1,1,"Peter Bourjos",2578,488721
"Peter Bourjos","TBR","RF",14,7,76,,,,0,1,1,"Peter Bourjos",2578,488721
"Mike Napoli","TEX","1B",95,90,782,,,,0,2,1,"Mike Napoli",3057,435063
"Matt Joyce","OAK","LF",24,18,157.1,,,,1,0,1,"Matt Joyce",3353,459964
"Alejandro De Aza","WSN","LF",13,7,72.1,,,,0,0,1,"Alejandro De Aza",3371,457477
"Cliff Pennington","LAA","SS",18,4,71,,,,0,1,1,"Cliff Pennington",3395,460060
"René Rivera","- - -","C",71,59,537.1,1,0,0,,,1,"Rene Rivera",3648,425784
"Rajai Davis","- - -","CF",83,65,602,,,,-1,2,1,"Rajai Davis",3708,434658
"Chris Stewart","PIT","C",48,40,354.2,1,0,0,,,1,"Chris Stewart",3878,455755
"Shane Robinson","LAA","CF",5,3,29,,,,0,1,1,"Shane Robinson",4249,453203
"Shane Robinson","LAA","RF",8,2,35.1,,,,0,1,1,"Shane Robinson",4249,453203
"Stephen Drew","WSN","3B",11,7,68.2,,,,0,1,1,"Stephen Drew",4251,452220
"Ben Revere","LAA","LF",78,65,594.2,,,,-2,3,1,"Ben Revere",4712,519184
"Chase Headley","NYY","3B",86,85,751,,,,0,2,1,"Chase Headley",4720,452104
"Jefry Marte","LAA","3B",10,9,64.2,,,,0,1,1,"Jefry Marte",5107,527043
"Alex Gordon","KCR","CF",15,4,61,,,,0,1,1,"Alex Gordon",5209,460086
"Cameron Maybin","- - -","LF",50,47,411,,,,1,1,1,"Cameron Maybin",5223,457727
"Robbie Grossman","MIN","RF",35,28,224,,,,0,0,1,"Robbie Grossman",5254,543257
"Kristopher Negrón","ARI","SS",5,3,32,,,,0,0,1,"Kristopher Negron",5306,502117
"Juan Graterol","LAA","C",47,26,245,1,0,0,,,1,"Juan Graterol",5398,492802
"Jake Smolinski","OAK","CF",9,7,61,,,,0,1,1,"Jake Smolinski",5408,519295
"Jose Altuve","HOU","2B",149,148,1283.1,,,,0,-1,1,"Jose Altuve",5417,514888
"Abraham Almonte","CLE","LF",20,10,105.1,,,,0,2,1,"Abraham Almonte",5486,501659
"Marwin Gonzalez","HOU","3B",19,15,138.2,,,,0,0,1,"Marwin Gonzalez",5497,503556
"Hernán Pérez","MIL","3B",31,16,175.1,,,,0,1,1,"Hernan Perez",5751,541650
"Avisaíl García","CHW","RF",132,131,1120,,,,1,0,1,"Avisail Garcia",5760,541645
"Leury García","CHW","RF",6,6,47.2,,,,0,0,1,"Leury Garcia",5913,544725
"Jean Segura","SEA","SS",124,124,1084,,,,0,1,1,"Jean Segura",5933,516416
"Mike Aviles","MIA","2B",6,4,35,,,,0,1,1,"Mike Aviles",5986,449107
"Eduardo Escobar","MIN","2B",9,7,63,,,,0,1,1,"Eduardo Escobar",6153,500871
"Will Middlebrooks","TEX","3B",19,6,84,,,,0,1,1,"Will Middlebrooks",7002,519025
"Yadier Molina","STL","C",133,133,1125.2,1,0,0,,,1,"Yadier Molina",7007,425877
"César Puello","- - -","LF",9,8,63,,,,1,0,1,"Cesar Puello",7216,527049
"Shane Peterson","TBR","RF",5,5,40,,,,1,0,1,"Shane Peterson",7423,451089
"Neil Walker","- - -","3B",4,4,34.1,,,,0,1,1,"Neil Walker",7539,435522
"Lonnie Chisenhall","CLE","LF",11,8,60,,,,0,1,1,"Lonnie Chisenhall",7571,502082
"Eric Sogard","MIL","SS",26,20,159.2,,,,0,2,1,"Eric Sogard",7927,519299
"Tim Beckham","TBR","2B",17,17,141,,,,0,0,1,"Tim Beckham",7949,542921
"Josh Harrison","PIT","3B",49,37,341.2,,,,0,1,1,"Josh Harrison",8202,543281
"Pedro Florimón","PHI","LF",1,1,9,,,,1,0,1,"Pedro Florimon",8385,465753
"Daniel Descalso","ARI","1B",19,8,90,,,,0,1,1,"Daniel Descalso",8392,518614
"Ehire Adrianza","MIN","3B",9,6,56.1,,,,0,2,1,"Ehire Adrianza",8418,501303
"Ehire Adrianza","MIN","SS",29,23,212.1,,,,0,1,1,"Ehire Adrianza",8418,501303
"Paulo Orlando","KCR","CF",18,6,84.2,,,,0,1,1,"Paulo Orlando",8628,449181
"Dusty Coleman","SDP","SS",27,19,175,,,,0,1,1,"Dusty Coleman",8979,543038
"Justin Smoak","TOR","1B",151,145,1301.1,,,,0,1,1,"Justin Smoak",9054,475253
"Starling Marte","PIT","CF",25,19,189.1,,,,1,0,1,"Starling Marte",9241,516782
"Drew Stubbs","SFG","CF",10,6,64,,,,0,1,1,"Drew Stubbs",9328,453211
"Dustin Garneau","- - -","C",40,33,296.2,1,0,0,,,1,"Dustin Garneau",9433,572863
"Craig Gentry","BAL","RF",31,12,146.2,,,,0,0,1,"Craig Gentry",9571,502226
"Justin Bour","MIA","1B",102,100,862.1,,,,0,1,1,"Justin Bour",9744,571506
"Austin Jackson","CLE","CF",38,38,283.2,,,,1,0,1,"Austin Jackson",9848,457706
"Steve Pearce","TOR","1B",10,5,55,,,,0,1,1,"Steve Pearce",9957,456665
"Nick Franklin","- - -","2B",9,9,77,,,,0,1,1,"Nick Franklin",10166,545338
"Nick Franklin","- - -","LF",19,11,90.1,,,,2,-1,1,"Nick Franklin",10166,545338
"Danny Santana","- - -","2B",8,1,23.2,,,,0,1,1,"Danny Santana",10322,542454
"Gift Ngoepe","PIT","2B",20,10,110.1,,,,0,1,1,"Gift Ngoepe",10340,547912
"Gift Ngoepe","PIT","SS",6,2,26,,,,0,1,1,"Gift Ngoepe",10340,547912
"Carlos Pérez","LAA","C",10,5,49.1,1,0,0,,,1,"Carlos Perez",10642,542208
"Arismendy Alcántara","CIN","CF",7,3,38,,,,1,1,1,"Arismendy Alcantara",10711,570489
"Arismendy Alcántara","CIN","LF",3,0,5,,,,0,1,1,"Arismendy Alcantara",10711,570489
"Arismendy Alcántara","CIN","SS",6,1,21.1,,,,0,1,1,"Arismendy Alcantara",10711,570489
"Lane Adams","ATL","RF",7,2,24.1,,,,0,1,1,"Lane Adams",10767,572669
"Jurickson Profar","TEX","3B",3,2,19,,,,0,1,1,"Jurickson Profar",10815,595777
"Jurickson Profar","TEX","LF",12,12,100.1,,,,0,1,1,"Jurickson Profar",10815,595777
"Jedd Gyorko","STL","2B",5,5,41.2,,,,0,1,1,"Jedd Gyorko",10816,576397
"Christian Colón","- - -","2B",10,8,71,,,,0,0,1,"Christian Colon",11145,518568
"Christian Colón","MIA","3B",10,8,63.2,,,,0,1,1,"Christian Colon",11145,518568
"Cameron Rupp","PHI","C",88,83,749.1,1,0,0,,,1,"Cameron Rupp",11146,519237
"Josh Rutledge","BOS","2B",16,10,101,,,,0,1,1,"Josh Rutledge",11167,592710
"Mike Freeman","SEA","1B",3,2,18,,,,0,0,1,"Mike Freeman",11241,502273
"Matt Szczur","- - -","RF",18,11,108.2,,,,0,1,1,"Matt Szczur",11255,519333
"Jonathan Schoop","BAL","SS",5,2,19,,,,0,1,1,"Jonathan Schoop",11265,570731
"Aaron Altherr","PHI","LF",52,42,387.1,,,,0,1,1,"Aaron Altherr",11270,571437
"Aaron Altherr","PHI","RF",50,38,348.2,,,,0,0,1,"Aaron Altherr",11270,571437
"Whit Merrifield","KCR","LF",7,4,43,,,,1,0,1,"Whit Merrifield",11281,593160
"Adrián Sanchez","WSN","3B",7,6,58,,,,0,1,1,"Adrian Sanchez",11338,506703
"Adrián Sanchez","WSN","SS",8,4,35,,,,0,1,1,"Adrian Sanchez",11338,506703
"Jake Marisnick","HOU","LF",6,3,37,,,,1,0,1,"Jake Marisnick",11339,545350
"Jesús Aguilar","MIL","1B",77,52,505,,,,0,1,1,"Jesus Aguilar",11342,542583
"Matthew den Dekker","DET","LF",1,1,9,,,,0,1,1,"Matthew den Dekker",11385,544925
"Ronald Torreyes","NYY","2B",54,43,404.2,,,,0,2,1,"Ronald Torreyes",11400,591720
"Dixon Machado","DET","2B",27,11,118.1,,,,0,1,1,"Dixon Machado",11472,553988
"Kaleb Cowart","LAA","3B",24,2,57.1,,,,0,1,1,"Kaleb Cowart",11494,592230
"Yolmer Sánchez","CHW","3B",52,45,393.1,,,,0,2,1,"Yolmer Sanchez",11602,570560
"J.T. Realmuto","MIA","C",126,125,1095.2,1,0,0,,,1,"J.T. Realmuto",11739,592663
"Drew Robinson","TEX","CF",5,4,34,,,,0,0,1,"Drew Robinson",11761,592685
"Kennys Vargas","MIN","1B",40,30,270.1,,,,0,2,1,"Kennys Vargas",12101,573627
"Max Kepler","MIN","CF",13,8,69,,,,0,1,1,"Max Kepler",12144,596146
"Austin Barnes","LAD","2B",21,4,76.2,,,,0,1,1,"Austin Barnes",12158,605131
"Miguel Sanó","MIN","1B",9,8,65,,,,0,1,1,"Miguel Sano",12164,593934
"Scott Schebler","CIN","CF",15,13,117.2,,,,0,0,1,"Scott Schebler",12225,594988
"Tyler Smith","SEA","SS",6,4,40,,,,0,1,1,"Tyler Smith",12490,642094
"T.J. Rivera","NYM","1B",20,17,150.2,,,,0,1,1,"T.J. Rivera",12495,608061
"T.J. Rivera","NYM","2B",12,8,75.2,,,,0,1,1,"T.J. Rivera",12495,608061
"Brian Goodwin","WSN","RF",11,6,68,,,,0,1,1,"Brian Goodwin",12858,571718
"Gregory Polanco","PIT","RF",68,68,584.1,,,,0,1,1,"Gregory Polanco",12907,570256
"Alen Hanson","- - -","2B",28,20,180,,,,0,1,1,"Alen Hanson",12926,593700
"Alen Hanson","CHW","CF",11,6,52,,,,1,0,1,"Alen Hanson",12926,593700
"Brandon Nimmo","NYM","LF",32,29,259.1,,,,0,1,1,"Brandon Nimmo",12927,607043
"José Osuna","PIT","LF",14,9,87.2,,,,2,-2,1,"Jose Osuna",12937,591741
"Phillip Evans","NYM","2B",2,2,17.1,,,,0,0,1,"Phillip Evans",12950,595943
"Willy García","CHW","LF",13,8,73,,,,0,1,1,"Willy Garcia",12956,591994
"Austin Hedges","SDP","C",115,109,933.1,1,0,0,,,1,"Austin Hedges",12976,595978
"Kelby Tomlinson","SFG","3B",24,11,125,,,,0,1,1,"Kelby Tomlinson",13005,605509
"Ildemaro Vargas","ARI","2B",3,0,7,,,,0,1,1,"Ildemaro Vargas",13324,545121
"Deven Marrero","BOS","3B",53,39,364,,,,0,0,1,"Deven Marrero",13325,571918
"Luke Maile","TOR","C",46,36,339.1,1,0,0,,,1,"Luke Maile",13355,571912
"Tyler Naquin","CLE","CF",11,7,58.1,,,,1,0,1,"Tyler Naquin",13359,571980
"Erik González","CLE","3B",8,3,31.2,,,,0,1,1,"Erik Gonzalez",13369,570481
"Erik González","CLE","SS",11,3,41.2,,,,0,1,1,"Erik Gonzalez",13369,570481
"Andrew Toles","LAD","CF",10,6,64.1,,,,0,1,1,"Andrew Toles",13414,592808
"Cameron Perkins","PHI","LF",15,9,88,,,,0,0,1,"Cameron Perkins",13444,573088
