Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Woo-young Jung 정우영","Twins (KBO)",20,4,4,3.120000952148728,65,0,0,0,5,4,20,75,305,48,26,26,3,29,3,11,1,0,59,"Woo-young Jung","sa3012714",
"Tae-in Won 원태인","Lions (KBO)",20,6,10,4.885714285714286,27,26,0,0,0,0,0,140,626,162,84,76,19,56,2,5,6,0,78,"Tae-in Won","sa3012723",
"Jun-won Seo 서준원","Giants (KBO)",19,7,6,5.182663028366328,31,20,0,0,0,0,1,107.2,480,130,71,62,16,31,1,5,3,0,60,"Jun-won Seo","sa3012727",
"Ki-hoon Kim 김기훈","Tigers (KBO)",20,0,4,5.365385008986914,22,7,0,0,0,0,1,52,238,58,35,31,8,31,0,2,3,0,39,"Ki-hoon Kim","sa3012729",
"Yi-hwan Kim 김이환","Eagles (KBO)",19,2,7,6.819587897058384,17,15,0,0,0,0,0,64.2,312,75,50,49,9,44,0,4,4,0,41,"Yi-hwan Kim","sa3012735",
"Myung-gi Song 송명기","Dinos (KBO)",19,9,3,3.695817597706656,36,12,0,0,0,2,0,87.2,372,78,37,36,12,39,1,2,7,0,72,"Myung-gi Song","sa3012743",
"Kyung-eun Noh 노경은","Giants (KBO)",36,5,10,4.87218045112782,25,24,1,0,0,0,0,133,574,139,76,72,19,40,2,3,3,0,77,"Kyung-eun Noh","sa3012918",
"Eun-beom Song 송은범","Twins (KBO)",36,4,2,4.500000919614707,56,1,0,0,2,0,6,56,247,66,29,28,4,19,1,3,2,0,28,"Eun-beom Song","sa3012960",
"Woo-ram Jung 정우람","Eagles (KBO)",35,3,5,4.803681431278292,50,0,0,0,16,3,1,54.1,230,58,29,29,4,12,1,5,2,0,53,"Woo-ram Jung","sa3013029",
"Sang-su Kim 김상수","Heroes (KBO)",32,3,3,4.733767406356466,60,0,0,0,5,4,13,51.1,226,52,33,27,3,21,1,3,1,0,48,"Sang-su Kim","sa3013115",
"Won-sang Yoo 유원상","Wiz (KBO)",34,2,1,3.796875678934278,62,0,0,0,2,2,8,64,271,52,32,27,8,28,1,1,5,0,37,"Won-sang Yoo","sa3013142",
"Jung-hyun Baek 백정현","Lions (KBO)",32,4,4,5.186440677966102,11,11,0,0,0,0,0,59,258,67,43,34,13,17,0,1,1,0,46,"Jung-hyun Baek","sa3013166",
"Chan-heon Jeong 정찬헌","Twins (KBO)",30,7,4,3.518181818181818,19,19,1,1,0,0,0,110,470,116,51,43,10,31,0,4,5,0,85,"Chan-heon Jeong","sa3013196",
"Dong-hwan Choi 최동환","Twins (KBO)",30,4,1,3.4736849079503327,54,0,0,0,0,3,3,57,228,54,23,22,6,12,0,2,3,0,42,"Dong-hwan Choi","sa3013250",
