"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Hoffman, Jeff","656546","314","11.5",31.8,"114","87.7","76.2","92.2","83.9","463","178","423","112",35.7,"24",7.6,5.5
"Harvey, Matt","518774","311","10.4",33.8,"114.2","87.4","76.1","93.9","81.5","467","177","405","106",34.4,"21",6.8,4.9
"Gossett, Daniel","605254","311","11.3",38.3,"114","88.1","77.3","92.6","84.2","440","174","398","98",31.5,"25",8,6
"Mejía, Adalberto","606167","309","13.6",38.2,"113.5","87.9","76.9","91.3","84.9","462","183","410","101",32.9,"20",6.5,4.5
"Junis, Jakob","596001","308","15.2",36,"112.9","89.5","79.3","94.7","85.2","434","186","410","116",38.2,"20",6.5,4.7
"Bailey, Homer","456701","303","8.7",38.9,"111.6","87.5","76.1","91.5","84.7","434","164","392","114",37.6,"14",4.6,3.3
"Clevinger, Mike","605182","301","13.9",37.2,"113.2","87.2","76","92.5","82.7","448","182","407","104",34.6,"20",6.6,4
"Liriano, Francisco","434538","297","11.4",33.3,"112.4","87.8","76.8","90.9","85.7","435","171","402","102",34.5,"18",6.1,4.1
"Pineda, Michael","501381","295","6.5",31.2,"115","87.4","76.3","93.4","83.6","445","162","398","98",33.3,"18",6.1,4.4
"Lively, Ben","594902","288","16.5",32.6,"110.9","85.4","73.8","92.1","80.8","449","178","408","79",27.5,"17",5.9,4.6
"Lamet, Dinelson","659275","286","14.4",33.2,"114.2","87.8","76.9","93.7","81.4","453","197","404","98",36,"22",7.7,4.5
"Newcomb, Sean","656794","285","10.3",35.1,"116.7","88.9","78.9","92.5","85.9","435","161","397","99",35,"15",5.3,3.3
"McCarthy, Brandon","435221","282","13.4",32.3,"115.7","85.2","74.9","88.5","84.6","394","164","385","60",21.3,"4",1.4,1
"Pruitt, Austin","643493","278","10",32.7,"114.6","88.2","77.3","93","84.2","455","167","395","92",33.2,"20",7.2,5.4
"Leiter Jr., Mark","643410","273","7.3",33,"112.2","86.2","74.2","92.3","81.4","450","161","393","92",33.8,"20",7.3,5.1
"Romano, Sal","607219","270","7.6",27,"109.9","87.4","76.3","92.3","84.8","407","149","374","92",34.1,"12",4.4,3.1
"Fister, Doug","450729","268","7.4",29.9,"113.2","86.8","74.8","93.4","82.6","424","144","401","93",34.8,"13",4.9,3.3
"Andriese, Matt","542882","266","12.8",32.3,"114.1","89.6","79.3","95.1","85.9","451","174","398","102",38.6,"18",6.8,4.8
"Wheeler, Zack","554430","262","8.7",36.6,"113","87.6","76.1","92.7","83.1","462","166","408","94",35.9,"22",8.4,5.7
"Volquez, Edinson","450172","260","9.9",31.2,"112.7","87.5","76","93.6","82.6","442","169","418","83",32.4,"14",5.4,3.5
"Hernández, Félix","433587","257","9.6",37.7,"114.1","87.1","75.1","94","80.9","449","177","408","87",33.9,"25",9.7,6.8
"Arroyo, Bronson","276520","256","19.8",37.9,"110","88.6","78.9","92.1","85.3","462","210","400","75",29.8,"26",10.2,8.1
"Skaggs, Tyler","572140","255","15.1",31.4,"111.2","87.8","75.9","92.8","85.9","430","171","399","99",38.8,"20",7.8,5.5
"Suter, Brent","608718","253","11.1",35.2,"113","84.4","73.6","88.7","81.3","415","154","394","62",24.5,"11",4.3,3.2
"Anderson, Tyler","542881","253","10.4",33.6,"113.7","85.7","73.3","92.6","79.2","481","171","420","76",30.2,"19",7.5,5.2
"Claudio, Alex","592222","250","0.7",25.2,"109.8","85.6","74.3","90.6","84.3","439","119","395","73",29.3,"4",1.6,1.2
"Jackson, Edwin","429719","250","17.5",34,"116.3","87.3","76.2","92.8","82.6","448","188","404","81",32.4,"23",9.2,6.8
"Salazar, Danny","517593","247","12.5",36.8,"112.9","88.5","78.8","92.8","83.4","458","187","403","78",31.7,"19",7.7,4.3
"Rusin, Chris","543734","247","3.1",27.1,"112.8","85.7","74.4","89.9","83.7","455","132","417","68",27.5,"10",4,2.9
"Worley, Vance","474699","247","8.1",34.4,"113.8","88.1","77.1","92.6","84.8","459","164","415","89",36,"12",4.9,3.6
"Cahill, Trevor","502239","246","3.9",29.7,"113.8","86.4","75","92.9","82.5","433","144","392","71",29,"16",6.5,4.2
