Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Daichi Suzuki ","Golden Eagles (NPB)",31,628,0.082802547,0.081210191,1.019607843,0.277173913,0.34308943,0.376811594,0.719901024,0.099637681,3.3957734156836934,0.288306451,-0.41701119078788906,70.73551832921508,6.941738061976461,0.3276325479755557,115.11057151481593,"Daichi Suzuki","sa3063434",
"Hisanori Yasuda ","Marines (NPB)",22,399,0.107769423,0.205513784,0.524390243,0.242165242,0.32330827,0.361823361,0.685131631,0.119658119,1.00744047125,0.290566037,-0.1719780219718814,40.61292036379612,0.08152175451553278,0.3130125198746684,98.89266358463692,"Hisanori Yasuda","sa3063436",
"Takashi Ogino ","Marines (NPB)",35,643,0.082426127,0.108864696,0.757142857,0.296491228,0.366771159,0.424561403,0.791332562,0.128070175,5.668979656602267,0.322515212,0.5268658821005374,86.75557075174143,21.43805369468024,0.3576651415481089,132.06404052160644,"Takashi Ogino","sa3063442",
"Eigoro Mogi ","Golden Eagles (NPB)",27,466,0.103004291,0.229613733,0.44859813,0.258536585,0.343347639,0.426829268,0.770176907,0.168292683,4.361190448001747,0.316151202,-0.805923480191268,59.59288826013165,12.255465322976876,0.34817657220005477,130.37224139697727,"Eigoro Mogi","sa3063484",
"Takero Okajima ","Golden Eagles (NPB)",31,507,0.055226824,0.185404339,0.29787234,0.279826464,0.33067729,0.414316702,0.744993992,0.134490238,3.216394169543193,0.333333333,-1.7664287720108405,59.46994489761723,7.967641401614081,0.3339141750050162,119.77704372098492,"Takero Okajima","sa3063494",
"Hiroaki Shimauchi ","Golden Eagles (NPB)",31,599,0.16193656,0.14524207,1.114942528,0.257201646,0.385259631,0.477366255,0.862625886,0.220164609,3.2961256931303695,0.270833333,-0.5988212106749415,93.19037371547216,32.34248457522387,0.3854965330171986,158.0963579469972,"Hiroaki Shimauchi","sa3063497",
"Takuya Kai ","Hawks (NPB)",28,479,0.091858037,0.296450939,0.309859154,0.227160493,0.304635761,0.353086419,0.65772218,0.125925926,2.4586246352392447,0.316205533,-1.1465851451503113,44.7157019596658,-3.942292862001871,0.3016465839171252,93.3112931447897,"Takuya Kai","sa3063526",
"Ryoya Kurihara ","Hawks (NPB)",24,596,0.088926174,0.151006711,0.588888888,0.274952919,0.338954468,0.465160075,0.804114543,0.190207156,4.154464520102713,0.292740046,0.4408660400658846,80.44917879632028,19.906037014036496,0.3577442644415675,134.98493371118002,"Ryoya Kurihara","sa3063528",
"Kenta Imamiya ","Hawks (NPB)",29,413,0.053268765,0.169491525,0.314285714,0.21369863,0.258974358,0.298630136,0.557604494,0.084931506,3.859495941984817,0.252559726,0.30720394290983677,24.04729365103616,-17.906259295412166,0.25431242967263246,58.147869059196836,"Kenta Imamiya","sa3063535",
"Nobuhiro Matsuda ","Hawks (NPB)",38,390,0.069230769,0.171794871,0.402985074,0.234463276,0.289405684,0.406779661,0.696185345,0.172316385,4.448267260854525,0.249097472,0.866055593942292,39.17265742686996,-0.444499108517076,0.3112013478970898,100.40930140600913,"Nobuhiro Matsuda","sa3063541",
"Akira Nakamura ","Hawks (NPB)",31,552,0.126811594,0.106884057,1.186440677,0.244588744,0.343807763,0.348484848,0.692292611,0.103896104,2.225103828783789,0.261845386,-0.41351140837650746,57.903302208455095,1.8297883429842021,0.31720407323766375,104.86858414146636,"Akira Nakamura","sa3063554",
"Yuki Yanagita ","Hawks (NPB)",32,593,0.116357504,0.205733558,0.56557377,0.300387596,0.387858347,0.540697674,0.928556021,0.240310078,4.4273220880917314,0.345108695,0.9420329849235713,102.39110929462102,42.152714870301764,0.40852562097402717,172.70920287566665,"Yuki Yanagita","sa3063557",
"Toshiro Miyazaki ","BayStars (NPB)",32,569,0.072056239,0.093145869,0.773584905,0.300578034,0.353251318,0.454720616,0.807971934,0.154142582,1.07172454,0.307692307,-0.24804522399790585,77.761270135235,19.960854574631856,0.36000974734343405,121.69596069054074,"Toshiro Miyazaki","sa3063601",
"Keita Sano ","BayStars (NPB)",26,615,0.099186991,0.118699186,0.835616438,0.302752293,0.375609756,0.466055045,0.841664801,0.163302752,2.071171829917752,0.322440087,-0.6531986471964046,91.83361671186367,29.360408329137965,0.3770695068548867,133.21154811579152,"Keita Sano","sa3063604",
"Masayuki Kuwahara ","BayStars (NPB)",27,571,0.077057793,0.131348511,0.586666666,0.310211946,0.368606701,0.473988439,0.84259514,0.163776493,4.58105166894144,0.341860465,-0.37654307286720723,85.33737304587969,27.33379257996687,0.37724406495953616,133.329377391962,"Masayuki Kuwahara","sa3063614",
"Koji Chikamoto ","Tigers (NPB)",26,612,0.053921568,0.094771241,0.568965517,0.312829525,0.353618421,0.44112478,0.794743201,0.128295255,6.248616886638587,0.333996023,2.0003060753224418,81.94464550240305,19.776184477641863,0.3562816912798505,123.52149077974786,"Koji Chikamoto","sa3063654",
"Kaito Kozono ","Carp (NPB)",21,481,0.027027027,0.118503118,0.228070175,0.298440979,0.319829424,0.398663697,0.718493121,0.100222718,5.04852697333349,0.329923273,-0.8404572987928987,51.50555249698079,2.6443927700034413,0.32014557337149596,98.89529168555462,"Kaito Kozono","sa3063663",
"Yuki Nomura ","Fighters (NPB)",21,394,0.040609137,0.228426395,0.177777777,0.266846361,0.302798982,0.361185983,0.663984965,0.094339622,1.5724393525304121,0.333333333,-0.5242151307174936,36.42277672360297,-3.6007096224034205,0.30042220708978085,93.72147617925786,"Yuki Nomura","sa3063674",
"Ryosuke Tatsumi ","Golden Eagles (NPB)",24,443,0.115124153,0.223476297,0.515151515,0.22459893,0.326388888,0.344919786,0.671308674,0.120320856,3.391764647178091,0.278195488,-1.1565069541102275,44.58609577978683,-0.4149307463066529,0.3114750377006001,103.10753913716034,"Ryosuke Tatsumi","sa3063704",
"Kotaro Kurebayashi ","Buffaloes (NPB)",19,473,0.025369978,0.213530655,0.118811881,0.227678571,0.250535331,0.352678571,0.603213902,0.125,3.251321234752534,0.269794721,-0.09775696753058583,32.95868611214438,-15.089813993594262,0.26974744689541147,71.24068082372345,"Kotaro Kurebayashi","sa3063750",
"Hiroto Kobukata ","Golden Eagles (NPB)",25,455,0.096703296,0.142857142,0.676923076,0.248081841,0.328018223,0.31202046,0.640038683,0.063938619,4.592831059442153,0.290123456,-1.0141916573047638,40.995889835617625,-5.224126122333923,0.29726526894710603,92.55143788611808,"Hiroto Kobukata","sa3063756",
"Takumu Nakano ","Tigers (NPB)",25,525,0.055238095,0.154285714,0.358024691,0.272532188,0.320792079,0.32832618,0.649118259,0.055793992,6.410279390028257,0.324742268,5.052441552397795,45.31512802495449,-8.01565961883575,0.2921630356311798,80.24045951924651,"Takumu Nakano","sa3063808",
"Teruaki Sato ","Tigers (NPB)",22,455,0.054945054,0.38021978,0.14450867,0.237647058,0.283516483,0.465882352,0.749398835,0.228235294,3.595914264855208,0.334782608,0.35331320529803634,52.283320331567815,6.063304373616268,0.33069445975868245,106.24973490567848,"Teruaki Sato","sa3063811",
"Shugo Maki ","BayStars (NPB)",23,523,0.051625239,0.1625239,0.317647058,0.314168377,0.356321839,0.533880903,0.890202742,0.219712526,3.4923474562378107,0.342931937,-0.16720963024999946,84.8236984260331,31.69607568755254,0.39440407931461446,144.91263830439183,"Shugo Maki","sa3063879",
