"player_id","player_name","team_name","start_year","end_year","key_target_base","runs_prevented_on_running_attr","n_pitcher_cs_aa","n_init","rate_sbx","n_sb","n_cs","n_pk","n_bk","n_fb","n_plus","n_minus","net_attr_plus","net_attr_minus","r_primary_lead","r_secondary_lead","r_sec_minus_prim_lead","r_primary_lead_sbx","r_secondary_lead_sbx","r_sec_minus_prim_lead_sbx"
489334,"Stammen, Craig","SD",2019,2019,"All",0.3386466657731931,0.493940899953062,440,0.004545454545454545,1,1,0,0,0,1,1,1.8031767170974324,-0.04886372810287326,"11.98405379","16.689848411","4.705794621","11.549","22.188","10.639"
543935,"Wilson, Alex","MIL",2019,2019,"All",0.3204520130634831,0.3772466015878435,57,0.017543859649122806,1,0,0,0,0,1,0,0.3509150239404032,0.5561533517231179,"11.354803571","14.917160714","3.562357143",,,
502381,"Gregerson, Luke","STL",2019,2019,"All",0.037317354633017934,0.026855191203374762,39,0.02564102564102564,0,1,0,0,0,0,1,-0.40682998368197626,0.263740780820918,"11.385060606","15.06630303","3.681242424","12.674","23.344","10.67"
491646,"Gómez, Jeanmar","TEX",2019,2019,"All",0.032679874819085096,,115,0,0,0,0,0,0,0,0,0.8822293740954255,-0.31948,"12.586205607","17.124663551","4.538457944",,,
606160,"Montero, Rafael","TEX",2019,2019,"All",0.16028611544844443,-0.06422714438343052,141,0.014184397163120567,1,1,0,0,0,1,1,-0.20214995417519516,0.4460357917410745,"11.777856061","16.392136364","4.614280303","12.896","26.302","13.406"
450212,"Neshek, Pat","PHI",2019,2019,"All",0.04182786873920935,,100,0,0,0,0,0,0,0,0,1.1727918436960474,-0.4282899999999999,"10.908646465","13.082333333","2.173686869",,,
623474,"Herget, Jimmy","CIN",2019,2019,"All",0.018235999635335585,,36,0,0,0,0,0,0,0,0,0.41396499817667803,-0.14346000000000014,"11.951228571","15.603885714","3.652657143",,,
468504,"Chacín, Jhoulys","BOS",2019,2019,"All",0.45515797016779785,0.6697809942611862,654,0.009174311926605505,5,1,0,0,0,5,1,1.2607413241436851,0.4511326785312475,"11.561019386","16.026909532","4.465890145","11.297","21.8955","10.5985"
544931,"Strasburg, Stephen","WSH",2019,2019,"All",-0.43574421829052606,-0.3433361878900985,1022,0.015655577299412915,14,2,0,0,0,14,2,-5.306312202696692,1.390040493886256,"11.474328042","15.511590476","4.037262434","11.8233125","24.4524375","12.629125"
661255,"López, Yoan","AZ",2019,2019,"All",-0.020252631067824097,0.06579671972872353,259,0.007722007722007722,2,0,0,0,0,2,0,0.37531684582707714,-0.21181333385164394,"12.438953586","16.477852321","4.038898734","12.001","26.013","14.012"
541650,"Pérez, Hernán","MIL",2019,2019,"All",0.0049145034800885876,,20,0,0,0,0,0,0,0,0,0.225992517400443,-0.08952000000000002,"10.945789474","13.234315789","2.288526316",,,
543351,"Jackson, Jay","MIL",2019,2019,"All",-0.20480727698581688,-0.11149965787829291,176,0.011363636363636364,2,0,0,0,0,2,0,-0.7262331587501262,-0.13235698941286936,"12.873341317","17.648868263","4.775526946","11.763","28.8935","17.1305"
657612,"Hill, Tim","KC",2019,2019,"All",-0.19491337848056733,-0.30911330074692067,302,0.009933774834437087,2,1,0,0,0,2,1,-0.3248254824655959,-0.2887739599721072,"11.346235714","14.287121429","2.940885714","11.804666667","27.375","15.570333333"
628317,"Maeda, Kenta","LAD",2019,2019,"All",0.04591268241680241,0.3587192005295814,791,0.008849557522123894,6,1,0,0,0,6,1,0.5396471705124256,-0.137815003745962,"10.961362517","14.538331053","3.576968536","12.175166667","22.937","10.761833333"
519141,"Pomeranz, Drew","MIL",2019,2019,"All",0.22626230725601007,0.5259647983323663,597,0.01507537688442211,7,2,0,0,0,7,2,-1.904662519972669,1.349321802778988,"11.91440636","14.398431095","2.484024735","12.216222222","23.205777778","10.989555556"
664238,"Moore, Dylan","SEA",2019,2019,"All",-0.0010595366336381942,,11,0,0,0,0,0,0,0,0,0.022287316831809,-0.01225999999999999,"11.148909091","13.65","2.501090909",,,
622251,"Staumont, Josh","KC",2019,2019,"All",0.29625198574998424,0.44611645314191606,113,0.008849557522123894,0,1,0,0,0,0,1,0.7055923687243386,0.34474113778914744,"12.636057692","16.397173077","3.761115385","10.859","17.564","6.705"
461872,"Swarzak, Anthony","ATL",2019,2019,"All",0.5516750330612844,0.6719359096336328,307,0.006514657980456026,1,1,0,0,0,1,1,1.773952297457113,0.4375212745996919,"11.681836735","15.324802721","3.642965986","10.9065","19.4575","8.551"
592804,"Thornburg, Tyler","BOS",2019,2019,"All",-0.005951169646285217,,143,0,0,0,0,0,0,0,0,0.3994316517685738,-0.19074999999999967,"13.474687943","17.154631206","3.679943262",,,
625643,"López, Reynaldo","CWS",2019,2019,"All",0.2808717310975565,-0.2005742220293918,1134,0.012345679012345678,10,4,1,0,0,10,5,-1.267426111265132,1.1874598963346314,"11.691063148","15.899622997","4.208559849","12.308428571","24.303142857","11.994714286"
595798,"Alaniz, R.J.","CIN",2019,2019,"All",-0.08000200516920837,-0.05963322611943739,118,0.025423728813559324,2,1,0,0,0,2,1,-1.3764050838138795,0.4339533590968164,"12.016954128","16.135229358","4.118275229","11.684666667","22.738333333","11.053666667"
596720,"Neverauskas, Dovydas","PIT",2019,2019,"All",0.03414105078827729,,92,0,0,0,0,0,0,0,0,0.7343752539413867,-0.25051999999999996,"12.092593023","16.152302326","4.059709302",,,
605397,"Musgrove, Joe","PIT",2019,2019,"All",2.2179574536996336,1.224953333086111,889,0.003374578177727784,1,2,3,0,0,1,5,5.140537321463168,2.6441110875711127,"11.204656827","15.162906519","3.958249692","11.936666667","18.821666667","6.885"
605538,"Wisler, Matt","SEA",2019,2019,"All",-0.07279163512613183,-0.12807670890110331,421,0.009501187648456057,3,1,0,0,0,3,1,-0.44566562040087987,0.03631441989787651,"12.354354523","16.268493888","3.914139364","12.0125","22.824","10.8115"
621368,"Hearn, Taylor","TEX",2019,2019,"All",-0.0006777167836751715,,22,0,0,0,0,0,0,0,0,0.09835641608162411,-0.045219999999999996,"12.29247619","15.129428571","2.836952381",,,
570663,"Robles, Hansel","LAA",2019,2019,"All",-0.1253693687987071,-0.03837478845326657,380,0.007894736842105263,1,2,0,0,0,1,2,0.6186339589215369,-0.5535470235178095,"11.878722714","16.340625369","4.461902655","13.737666667","25.080666667","11.343"
608328,"De Jong, Chase","MIN",2019,2019,"All",0.0013937871663786362,,16,0,0,0,0,0,0,0,0,0.11908643583189321,-0.049830000000000034,"10.8894375","14.4188125","3.529375",,,
518553,"Cishek, Steve","CHC",2019,2019,"All",0.5160589561856171,0.037246551822042395,467,0.004282655246252677,1,1,1,0,0,1,2,1.723809643102413,0.38066006125585483,"11.584789823","15.395840708","3.811050885","15.809","29.364","13.555"
517593,"Salazar, Danny","CLE",2019,2019,"All",0.0019466968162388863,,34,0,0,0,0,0,0,0,0,0.2070134840811944,-0.08768000000000013,"11.599060606","15.55169697","3.952636364",,,
518858,"Jones, Nate","CWS",2019,2019,"All",0.09768863408082512,0.08495560953648379,75,0.013333333333333334,1,0,0,0,0,1,0,-0.05046816111928698,0.23951614734373877,"12.125242857","15.838657143","3.713414286","10.224","20.094","9.87"
592865,"Williams, Taylor","MIL",2019,2019,"All",-0.012038457020636568,-0.004721965948463247,98,0.01020408163265306,1,0,0,0,0,1,0,-0.139870509748163,0.03541254428665776,"12.479752688","16.54627957","4.066526882","12.004","23.686","11.682"
657610,"Hildenberger, Trevor","MIN",2019,2019,"All",-0.1454892992311716,0.043719121063962835,116,0.02586206896551724,3,0,0,0,0,3,0,-1.5374077785336902,0.35998279216792733,"13.24004717","17.530169811","4.290122642","11.933","24.552333333","12.619333333"
621107,"Eflin, Zach","PHI",2019,2019,"All",-0.04875102917614074,-0.025609124508578496,1023,0.008797653958944282,6,3,0,0,0,6,3,0.11709452016499527,-0.1603776293536415,"11.810564444","16.636966667","4.826402222","11.665222222","23.520111111","11.854888889"
613534,"Adams, Austin","SEA",2019,2019,"All",-0.112838455552736,-0.2654372271407157,192,0.005208333333333333,1,0,0,0,0,1,0,0.22426114634546687,-0.3504237440485092,"12.858815789","16.831078947","3.972263158","12.273","25.377","13.104"
596035,"McClain, Reggie","SEA",2019,2019,"All",0.12025731997076683,0.14350491935950482,112,0.026785714285714284,2,1,0,0,0,2,1,-1.4469665086283099,0.9103347148809542,"12.307104762","16.04992381","3.742819048","11.226666667","22.357666667","11.131"
663423,"Thornton, Trent","TOR",2019,2019,"All",-0.3456681368173048,-0.3165469344087445,982,0.007128309572301426,4,3,0,0,0,4,3,1.6808132723241123,-1.5151795361825036,"11.66378913","15.829832609","4.166043478","11.797","21.279142857","9.482142857"
