Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Tyler Rogers","SFG","AAA",28,62,0.29943503,2.595238095,0.142045454,0.619318181,0.238636363,0.166666666,0.142857142,0.46153846,0.1978022,0.34065934,0.09046693,355,673,1028,"15541"
"Phillips Valdez","TEX","AAA",27,78.2,0.31428571,2.06557377,0.233606557,0.516393442,0.25,0.147540983,0.163934426,0.44313725,0.23529412,0.32156863,0.09343795,526,876,1402,"15605"
"Dillon Overton","SDP","AAA",27,115.1,0.33237822,0.791946308,0.274456521,0.320652173,0.404891304,0.154362416,0.167785234,0.38873995,0.30294906,0.30831099,0.10544728,700,1301,2001,"15627"
"Yefry Ramirez","PIT","AAA",25,63,0.31724138,0.916666666,0.222972972,0.371621621,0.405405405,0.266666666,0.116666666,0.375,0.32894737,0.29605263,0.15821152,473,690,1163,"15655"
"Dario Agrazal","PIT","AAA",24,64,0.29834254,1.631578947,0.184782608,0.505434782,0.309782608,0.157894736,0.140350877,0.51322751,0.19047619,0.2962963,0.08585859,318,672,990,"15821"
"Zack Littell","MIN","AAA",23,63,0.27672956,1.212121212,0.120481927,0.48192771,0.397590361,0.242424242,0.166666666,0.43786982,0.20710059,0.35502959,0.11753183,377,644,1021,"15823"
"Kent Emanuel","HOU","AAA",27,101.2,0.29865772,2.259740259,0.17704918,0.570491803,0.252459016,0.142857142,0.116883116,0.42996743,0.23452769,0.33550489,0.09339263,543,1031,1574,"15849"
"Fernando Romero","MIN","AAA",24,57.2,0.31081081,2.818181818,0.16,0.62,0.22,0.03030303,0.212121212,0.41666667,0.23076923,0.3525641,0.11680328,404,572,976,"15885"
"Lewis Thorpe","MIN","AAA",23,96.1,0.31836735,1.119565217,0.22,0.412,0.368,0.141304347,0.141304347,0.49027237,0.24124514,0.26848249,0.14339623,538,1052,1590,"15906"
"Keury Mella","CIN","AAA",25,142.2,0.30734967,1.764705882,0.186147186,0.519480519,0.294372294,0.154411764,0.161764705,0.44915254,0.20550847,0.34533898,0.09072417,933,1525,2458,"15964"
"Akeem Bostick","HOU","AAA",24,80.1,0.32113821,0.94,0.2421875,0.3671875,0.390625,0.18,0.19,0.42585551,0.2661597,0.30798479,0.10374833,560,934,1494,"15979"
"Odrisamer Despaigne","CIN","AAA",32,124.1,0.3255814,1.924731182,0.227272727,0.508522727,0.264204545,0.193548387,0.118279569,0.42134831,0.23876404,0.33988764,0.12030433,817,1286,2103,"16017"
"Stefan Crichton","ARI","AAA",27,57.1,0.3,2.764705882,0.209876543,0.580246913,0.209876543,0.294117647,0.117647058,0.43902439,0.19512195,0.36585366,0.11520737,308,560,868,"16058"
"Zach Thompson","CHW","AAA",25,70.1,0.32820513,1.633333333,0.229268292,0.47804878,0.292682926,0.166666666,0.25,0.40952381,0.25238095,0.33809524,0.11550633,461,803,1264,"16094"
"Cy Sneed","HOU","AAA",26,81.2,0.26126126,0.947916666,0.183406113,0.397379912,0.419213973,0.239583333,0.135416666,0.44255319,0.2893617,0.26808511,0.12335144,432,857,1289,"16106"
"Daniel Ponce de Leon","STL","AAA",27,84.1,0.25462963,0.728971962,0.155251141,0.356164383,0.488584474,0.224299065,0.06542056,0.36486486,0.25675676,0.37837838,0.10983397,599,967,1566,"16110"
"Chris Ellis","STL","AAA",26,79,0.36170213,1.139784946,0.184426229,0.434426229,0.38114754,0.236559139,0.139784946,0.43548387,0.20967742,0.35483871,0.11634163,577,910,1487,"16125"
"Eric Skoglund","KCR","AAA",26,63,0.33333333,0.898876404,0.202830188,0.37735849,0.41981132,0.17977528,0.13483146,0.38679245,0.25943396,0.35377358,0.08489635,362,651,1013,"16155"
"Chandler Shepherd","BOS","AAA",26,102,0.35275081,1.139130434,0.226415094,0.411949685,0.36163522,0.208695652,0.165217391,0.42857143,0.27963526,0.29179331,0.11142217,612,1174,1786,"16166"
"Jake Reed","MIN","AAA",26,75,0.36363636,1.287878787,0.213541666,0.442708333,0.34375,0.09090909,0.106060606,0.39487179,0.22564103,0.37948718,0.12830189,505,820,1325,"16209"
"Tejay Antone","CIN","AAA",25,71.2,0.40186916,2.113207547,0.236111111,0.518518518,0.24537037,0.207547169,0.132075471,0.49090909,0.21363636,0.29545455,0.11774461,466,740,1206,"16233"
"Sam Howard","COL","AAA",26,50.2,0.36290323,1.390243902,0.240310077,0.441860465,0.317829457,0.243902439,0.121951219,0.41860465,0.27131783,0.31007752,0.13816535,311,572,883,"16265"
"Alex McRae","PIT","AAA",26,114.1,0.32432432,1.572815533,0.231884057,0.469565217,0.298550724,0.155339805,0.194174757,0.4674221,0.26062323,0.27195467,0.11266874,717,1209,1926,"16317"
"Ricardo Pinto","TBR","AAA",25,104.2,0.28057554,1.479166666,0.182130584,0.487972508,0.329896907,0.135416666,0.1875,0.47986577,0.23154362,0.2885906,0.12514758,642,1052,1694,"16318"
"Chih-Wei Hu","CLE","AAA",25,54.2,0.30864198,0.74025974,0.255555555,0.316666666,0.427777777,0.22077922,0.233766233,0.43333333,0.28333333,0.28333333,0.10587103,395,644,1039,"16419"
"Scott Blewett","KCR","AAA",23,81.1,0.34210526,0.864,0.190972222,0.375,0.434027777,0.176,0.192,0.45517241,0.24137931,0.30344828,0.07826087,613,882,1495,"16427"
"Foster Griffin","KCR","AAA",23,130.2,0.29457364,1.298013245,0.128140703,0.492462311,0.379396984,0.125827814,0.132450331,0.44987775,0.23227384,0.31784841,0.09827899,846,1362,2208,"16432"
"James Norwood","CHC","AAA",25,57.2,0.26495726,0.88,0.248,0.352,0.4,0.2,0.18,0.3968254,0.23015873,0.37301587,0.15202369,423,590,1013,"16440"
"Matt Wotherspoon","DET","AAA",27,71,0.31382979,0.873239436,0.321428571,0.31632653,0.362244897,0.14084507,0.154929577,0.36683417,0.27638191,0.35678392,0.1292897,475,778,1253,"16452"
"J.P. Feyereisen","NYY","AAA",26,61.1,0.26724138,0.814814814,0.183333333,0.366666666,0.45,0.444444444,0.111111111,0.39344262,0.23770492,0.36885246,0.17383513,425,691,1116,"16610"
"Brock Stewart","LAD","AAA",27,84.1,0.34375,1.018018018,0.182481751,0.412408759,0.405109489,0.261261261,0.198198198,0.39784946,0.29032258,0.31182796,0.10006139,611,1018,1629,"16727"
"Kyle McGrath","SDP","AAA",26,55.1,0.33333333,1.044776119,0.311557788,0.351758793,0.336683417,0.19402985,0.253731343,0.51231527,0.28571429,0.20197044,0.08709677,322,608,930,"16793"
"Eric Stout","CIN","AAA",26,60.1,0.3045977,0.701149425,0.208556149,0.326203208,0.465240641,0.24137931,0.172413793,0.41798942,0.28571429,0.2962963,0.08178439,431,645,1076,"16873"
"Aaron Wilkerson","MIL","AAA",30,76.1,0.27083333,0.852272727,0.185,0.375,0.44,0.295454545,0.113636363,0.44334975,0.24630542,0.31034483,0.10427227,502,879,1381,"16904"
"Luis Ortiz","BAL","AAA",23,66.1,0.29383886,1.369863013,0.213636363,0.454545454,0.331818181,0.178082191,0.205479452,0.40707965,0.27433628,0.31858407,0.10491257,440,761,1201,"16942"
"Daniel Mengden","OAK","AAA",26,64,0.26815642,1.55,0.154696132,0.513812154,0.331491712,0.233333333,0.133333333,0.48128342,0.25668449,0.26203209,0.10991168,354,665,1019,"16980"
"Sean Reid-Foley","TOR","AAA",23,89,0.29279279,1.333333333,0.23580786,0.436681222,0.327510917,0.24,0.173333333,0.47881356,0.21610169,0.30508475,0.12477928,699,1000,1699,"17034"
"Austin Davis","PHI","AAA",26,52.1,0.3129771,0.98076923,0.207692307,0.392307692,0.4,0.25,0.038461538,0.44360902,0.22556391,0.33082707,0.13072626,315,580,895,"17117"
"Justus Sheffield","SEA","AAA",23,55,0.29192547,2.022222222,0.204678362,0.532163742,0.263157894,0.088888888,0.266666666,0.45348837,0.25581395,0.29069767,0.09655172,432,583,1015,"17285"
"Luis Escobar","PIT","AAA",23,55,0.32867133,1.387755102,0.198630136,0.465753424,0.335616438,0.204081632,0.142857142,0.57615894,0.21192053,0.21192053,0.12889366,408,523,931,"17345"
"Jeff Hoffman","COL","AAA",26,85.1,0.36134454,1.285714285,0.23505976,0.430278884,0.334661354,0.202380952,0.226190476,0.38372093,0.26356589,0.35271318,0.11673152,549,993,1542,"17432"
"Spenser Watkins","DET","AAA",26,76.2,0.35775862,0.76635514,0.25,0.325396825,0.424603174,0.158878504,0.205607476,0.3976378,0.29133858,0.31102362,0.10425532,546,864,1410,"17489"
"Genesis Cabrera","STL","AAA",22,99,0.32954545,0.966386554,0.167259786,0.409252669,0.423487544,0.184873949,0.168067226,0.43661972,0.28169014,0.28169014,0.1255132,623,1082,1705,"17490"
"Andrew Moore","TBR","AAA",25,71.1,0.31687243,0.840707964,0.212121212,0.359848484,0.428030303,0.168141592,0.203539823,0.44360902,0.2481203,0.30827068,0.0762902,484,853,1337,"17553"
"Jimmy Herget","CIN","AAA",25,58.2,0.24637681,0.866666666,0.222222222,0.361111111,0.416666666,0.25,0.116666666,0.37931034,0.24137931,0.37931034,0.13753582,404,643,1047,"17556"
"Mitch Keller","PIT","AAA",23,103.2,0.32442748,1.475,0.25,0.446969696,0.303030303,0.15,0.1125,0.41111111,0.22222222,0.36666667,0.12627986,641,1117,1758,"17594"
"Rogelio Armenteros","HOU","AAA",25,84.1,0.32478632,0.759259259,0.218106995,0.337448559,0.444444444,0.222222222,0.129629629,0.4291498,0.24696356,0.32388664,0.1231593,566,928,1494,"17679"
"Ralph Garza Jr.","HOU","AAA",25,78,0.24489796,1.138888888,0.233830845,0.407960199,0.358208955,0.222222222,0.125,0.48292683,0.24390244,0.27317073,0.13580247,426,789,1215,"17682"
"Trevor Megill","SDP","AAA",25,50.1,0.41129032,1.8,0.333333333,0.428571428,0.238095238,0.3,0.166666666,0.40310078,0.24806202,0.34883721,0.14855876,296,606,902,"17722"
"Tyler Alexander","DET","AAA",24,98.1,0.34432234,1,0.212543554,0.393728222,0.393728222,0.168141592,0.159292035,0.45017182,0.24054983,0.30927835,0.1204611,583,1152,1735,"17735"
"Brody Koerner","NYY","AAA",25,112,0.33239437,1.504504504,0.242506811,0.455040871,0.302452316,0.234234234,0.153153153,0.43548387,0.24462366,0.31989247,0.10638298,648,1232,1880,"17748"
