Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
"Stephen Johnson","CIN","AAA",25,74.2,7.593751034566475,4.821429228296175,1.575,1.0848215763666393,0.18975904,0.12048193,0.06927711,0.23859649,1.4464287684888524,0.27699531,0.71289063,4.821429228296175,4.937088989238383,-0.11565976094220787,4.686876722301303,"sa658027"
"John Kuchno","PIT","AAA",25,60.1,3.729282082344357,3.281768232463034,1.13636364,0.8950276997626457,0.09505703,0.08365019,0.01140684,0.28870293,1.5082874199703844,0.30288462,0.67375887,5.2209949152821,4.826690308793944,0.3943046064881557,4.620253679390656,"sa658331"
"Kyle Haynes","NYY","AAA",25,95.2,6.773519884011924,3.951219932340289,1.71428571,1.2229966457243753,0.17102138,0.09976247,0.07125891,0.27777778,1.5365855292434458,0.31399317,0.6779661,4.609756587730337,4.778987874261015,-0.16923128653067732,3.9185892104834825,"sa658506"
"Jonathan Dziedzic","KCR","AAA",25,140,6.878571428571429,4.05,1.6984127,0.7714285714285715,0.17833333,0.105,0.07333333,0.25093633,1.4071428571428573,0.2939759,0.67139738,4.05,4.720881175994873,-0.6708811759948734,5.428962449303695,"sa659070"
"Thomas Lee","STL","AAA",26,56,5.464285714285714,2.892857142857143,1.88888889,0.48214285714285715,0.1302682,0.06896552,0.06130268,0.33057851,1.75,0.37560976,0.60126582,6.107142857142857,4.220881175994873,1.8862616811479835,5.114725683363421,"sa659442"
"Jaron Long","WSN","AAA",24,50,5.58,2.16,2.58333333,0.36,0.13963964,0.05405405,0.08558559,0.29326923,1.46,0.33714286,0.70637119,4.14,3.2892316055297854,0.8507683944702142,3.8475524264574053,"sa706969"
"Stephen Janas","ATL","AAA",24,51.2,5.39999946840353,2.090322374865883,2.58333333,0.6967741249552942,0.14832536,0.05741627,0.09090909,0.24489796,1.1612902082588237,0.27329193,0.68592058,3.3096770935376476,3.7305218728548835,-0.42084477931723585,3.5629915982282707,"sa737861"
"Nate Smith","LAA","AAA",24,150.1,7.303768907110115,2.6341461632200414,2.77272727,1.077605248590017,0.18885449,0.06811146,0.12074303,0.27759197,1.3968956926166887,0.3231441,0.68326271,4.609755785635072,4.612233665569332,-0.0024778799342595192,4.4726148181555505,"sa737900"
"Joe Gunkel","BAL","AAA",24,141.1,5.985848625769804,1.1462263325942177,5.22222222,0.8915093697955028,0.16068376,0.03076923,0.12991453,0.27758007,1.2311319868604562,0.31277533,0.69636136,4.075471404779441,3.6149862904275367,0.46048511435190465,3.4342945824096445,"sa738176"
"Frank Duncan","PIT","AAA",24,112,7.392857142857143,2.330357142857143,3.17241379,0.32142857142857145,0.19742489,0.06223176,0.13519313,0.24882629,1.2053571428571428,0.30909091,0.7977208,2.330357142857143,3.062088748386928,-0.7317316055297853,3.3623687422169106,"sa738963"
"Arturo Reyes","STL","AAA",24,101.1,6.838816132737016,3.197368581539384,2.13888889,1.0657895271797946,0.18075117,0.08450704,0.09624413,0.24935733,1.3125000658788213,0.28333333,0.69112628,4.174342314787529,4.8360128109144735,-0.6616704961269448,4.65042025204003,"sa739006"
"Armando Rivero","CHC","AAA",28,67.2,13.965519340856293,4.655173113618765,3,0.3990148383101798,0.37366548,0.12455516,0.24911032,0.16803279,1.123152878206432,0.27941176,0.79945799,2.1280791376542925,2.834181535305585,-0.7061023976512923,3.396065266641565,"sa739701"
