Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Thomas Harrington","PIT","AAA",23,7,9,5.34375,21,20,0,0,0,0,,96,415,93,59,57,20,33,0,6,4,2,90,"31989"
"Hunter Barco","PIT","AAA",24,3,1,3.787330839729252,21,17,0,0,0,0,,73.2,323,59,31,31,5,42,0,7,4,0,82,"33174"
"Hurston Waldrep","ATL","AAA",23,7,8,4.418182308480814,19,19,0,0,0,0,,91.2,408,85,58,45,8,50,0,4,7,0,92,"33527"
"Nolan McLean","NYM","AAA",23,5,4,2.7824429101401122,16,13,0,0,0,0,,87.1,359,58,31,27,8,38,0,6,3,0,97,"33703"
"Brandon Sproat","NYM","AAA",24,8,6,4.239669421487603,26,25,0,0,0,0,,121,512,97,62,57,9,53,0,11,7,0,113,"33850"
"Robert Stock","BOS","AAA",35,5,4,3.9176470588235293,19,15,0,0,0,0,,85,367,77,43,37,5,36,0,10,5,2,96,"6576"
"Carlos Carrasco","NYY","AAA",38,6,4,4.295454545454546,18,17,0,0,0,0,,88,368,90,45,42,6,26,0,3,1,1,68,"6632"
"Casey Kelly","ARI","AAA",35,3,7,5.6347826086956525,24,20,0,0,0,0,,115,531,142,84,72,14,48,0,11,6,0,61,"9174"
"Jack Cushing","OAK","AAA",28,11,2,6.665272817606628,38,6,0,0,0,2,,79.2,364,99,65,59,19,28,1,4,1,1,83,"sa1170342"
"Juan Mercedes","SFG","AAA",25,2,5,9.346153846153847,17,6,0,0,0,1,,52,250,64,56,54,17,32,1,1,1,1,49,"sa3002818"
"Bryce Conley","WSN","AAA",30,2,4,6.108598128595569,15,14,0,0,0,0,,73.2,317,77,50,50,17,26,1,0,3,0,69,"sa3004704"
"Sam Carlson","LAD","AAA",26,4,2,4.2234633271232624,45,0,0,0,4,1,,59.2,273,56,36,28,4,36,0,8,3,0,78,"sa3005015"
"Eddy Yean","PIT","AAA",24,8,5,3.0566042135856506,50,4,0,0,7,5,,70.2,309,68,27,24,5,45,1,4,1,0,54,"sa3006543"
"Gabe Mosser","PHI","AAA",29,4,5,5.292000322998066,17,17,0,0,0,0,,83.1,368,88,50,49,19,36,0,5,1,0,77,"sa3006834"
"Troy Watson","DET","AAA",28,5,1,3.1153846153846154,10,10,0,0,0,0,,52,213,48,19,18,7,15,0,1,0,0,42,"sa3007249"
"Domingo Gonzalez","ATL","AAA",25,3,1,4.473373033499466,46,0,0,0,0,2,,56.1,240,52,29,28,6,27,1,0,3,2,48,"sa3007495"
"Sean Boyle","NYY","AAA",28,9,9,4.611386486951355,28,23,0,0,1,1,,134.2,585,124,76,69,16,51,0,11,2,2,120,"sa3007618"
"Justin Jarvis","LAD","AAA",25,3,2,6.381818181818182,13,10,0,0,0,0,,55,250,56,39,39,4,34,0,3,4,0,38,"sa3007775"
"Peyton Gray","TEX","AAA",30,5,6,3.8360655737704916,38,2,0,0,1,1,,61,264,67,29,26,8,23,0,2,4,0,68,"sa3008046"
"Jose Franco","CIN","AAA",24,3,2,3.506493853927598,17,14,0,0,0,0,,51.1,221,43,27,20,10,28,0,3,1,0,52,"sa3008714"
"Misael Tamarez","SDP","AAA",25,2,2,9,37,0,0,0,0,1,,55,274,71,60,55,10,34,0,8,4,2,44,"sa3009632"
"Andrew Quezada","COL","AAA",28,2,9,6.897810603110354,27,18,1,0,1,1,,91.1,429,132,82,70,14,39,0,4,7,0,55,"sa3009858"
"Chase Solesky","WSN","AAA",27,6,5,5.170213245539169,24,23,0,0,0,0,,109.2,487,119,65,63,16,45,2,4,4,0,96,"sa3009940"
"Connor Van Scoyoc","COL","AAA",25,8,6,4.186046511627907,41,0,0,0,0,2,,86,368,85,48,40,6,29,0,3,7,0,46,"sa3010243"
"Andrew Bash","TOR","AAA",28,6,2,2.5714285714285716,40,5,0,0,2,0,,84,365,73,33,24,4,36,0,6,2,1,72,"sa3010259"
"Jake Walkinshaw","OAK","AAA",28,4,4,4.893750466704413,36,3,0,0,0,1,,53.1,240,57,37,29,4,26,0,3,3,0,33,"sa3010317"
"Morgan McSweeney","MIA","AAA",27,3,3,2.2131147540983607,13,12,0,0,0,0,,61,246,45,16,15,3,23,1,1,1,2,42,"sa3010781"
"Evan McKendry","CHW","AAA",27,5,10,5.255725496931324,24,14,0,0,0,1,,87.1,383,95,61,51,17,19,2,9,2,0,61,"sa3010787"
