Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Il-Mok Cha 차일목","Eagles (KBO)",36,52,92,112,19,15,3,0,1,7,7,13,0,21,3,0,4,5,1,1,0.206521739,"Il-Mok Cha","sa3012009",
"Yongkyu Lee 이용규","Eagles (KBO)",31,57,179,200,47,38,8,1,0,31,12,17,0,20,2,1,1,4,10,3,0.262569832,"Yongkyu Lee","sa3012015",
"Jaeho Kim 김재호","Bears (KBO)",32,91,283,331,83,57,18,1,7,34,50,36,1,52,3,7,2,6,7,1,0.293286219,"Jaeho Kim","sa3012016",
"Sok Min Park 박석민","Dinos (KBO)",32,101,319,382,78,49,15,0,14,43,56,50,0,92,13,0,0,17,1,2,0.244514106,"Sok Min Park","sa3012020",
"Minho Kang 강민호","Giants (KBO)",31,130,456,515,130,85,22,1,22,62,68,41,6,104,15,3,0,15,0,2,0.285087719,"Minho Kang","sa3012023",
"Jeong Choi 최정","Wyverns (KBO)",30,130,430,527,136,71,18,1,46,89,113,70,10,107,19,8,0,8,1,5,0.316279069,"Jeong Choi","sa3012034",
"Euiji Yang 양의지","Bears (KBO)",30,111,347,406,96,67,15,0,14,47,67,43,1,53,12,3,1,17,1,1,0.27665706,"Euiji Yang","sa3012037",
"Byung-hun Min 민병헌","Bears (KBO)",30,123,447,520,136,101,21,0,14,73,71,47,2,74,19,6,1,14,3,4,0.304250559,"Byung-hun Min","sa3012038",
"Jaewon Oh 오재원","Bears (KBO)",32,127,334,390,79,55,16,1,7,43,40,47,1,85,2,3,4,5,7,7,0.236526946,"Jaewon Oh","sa3012047",
"Ah-seop Son 손아섭","Giants (KBO)",29,144,576,667,193,134,35,4,20,113,80,83,8,96,4,3,1,7,25,8,0.335069444,"Ah-seop Son","sa3012050",
"Taegun Kim 김태군","Dinos (KBO)",27,132,362,420,96,74,19,0,3,33,34,16,0,43,22,2,18,11,0,1,0.26519337,"Taegun Kim","sa3012057",
"Geonchang Seo 서건창","Heroes (KBO)",27,139,539,615,179,142,28,3,6,87,76,67,1,68,1,6,2,11,15,6,0.332096474,"Geonchang Seo","sa3012058",
"Junwoo Jeon 전준우","Giants (KBO)",31,110,455,496,146,100,27,1,18,76,69,30,2,70,7,2,2,11,2,4,0.32087912,"Junwoo Jeon","sa3012061",
"Jun Ho Ha 하준호","Wiz (KBO)",28,101,196,226,44,29,11,1,3,31,18,21,0,57,4,1,4,3,9,5,0.224489795,"Jun Ho Ha","sa3012062",
"Kyoung-min Hur 허경민","Bears (KBO)",26,130,369,422,95,69,22,1,3,50,40,29,0,48,10,2,12,15,8,4,0.257452574,"Kyoung-min Hur","sa3012064",
"Sang-soo Kim 김상수","Lions (KBO)",27,42,144,154,38,28,7,0,3,17,13,5,0,26,1,1,3,4,1,1,0.263888888,"Sang-soo Kim","sa3012065",
"Seung Yuop Lee 이승엽","Lions (KBO)",40,135,472,533,132,73,30,5,24,65,87,47,6,85,6,8,0,7,1,1,0.279661016,"Seung Yuop Lee","sa3012081",
"Jin Young Lee 이진영","Wiz (KBO)",37,103,263,285,76,47,26,1,2,28,31,17,1,34,1,0,4,3,0,0,0.288973384,"Jin Young Lee","sa3012113",
"Jin-woo Baek 백진우","Twins (KBO)",29,52,101,122,33,20,9,0,4,15,18,12,0,18,4,2,3,4,1,0,0.326732673,"Jin-woo Baek","sa3012162",
"Hae-chang Lee 이해창","Wiz (KBO)",30,114,254,283,69,47,11,0,11,33,44,19,1,50,1,2,6,5,1,4,0.271653543,"Hae-chang Lee","sa3012183",
"Sang-won Back 백상원","Lions (KBO)",29,28,46,51,6,6,0,0,0,4,2,3,0,11,0,1,1,0,0,0,0.130434782,"Sang-won Back","sa3012187",
"Hoon Jung 정훈","Giants (KBO)",29,68,109,136,27,16,8,2,1,16,6,18,0,28,5,1,3,4,3,1,0.247706422,"Hoon Jung","sa3012191",
"Tae-gon Oh 오태곤","Wiz (KBO)",25,135,374,410,106,67,29,1,9,53,42,16,0,93,6,6,8,7,15,9,0.283422459,"Tae-gon Oh","sa3012193",
"Sang-ho Lee 이상호","Dinos (KBO)",28,95,227,241,76,68,8,0,0,33,15,7,0,15,2,0,5,7,12,2,0.334801762,"Sang-ho Lee","sa3012195",
"Kang-nam Yoo 유강남","Twins (KBO)",24,118,324,364,90,60,13,0,17,43,66,14,0,72,15,2,9,4,2,0,0.277777777,"Kang-nam Yoo","sa3012221",
"Boung-gon Jeung 정병곤","Lions (KBO)",29,74,74,82,16,14,0,0,2,16,7,4,0,21,2,0,2,3,1,0,0.216216216,"Boung-gon Jeung","sa3012222",
"Jae-yul Kim 김재율","Twins (KBO)",28,75,181,198,55,40,9,0,6,21,28,10,0,35,2,1,4,8,0,1,0.303867403,"Jae-yul Kim","sa3012224",
"Chun-woong Lee 이천웅","Twins (KBO)",28,75,232,266,66,50,14,0,2,35,27,24,2,45,6,0,4,10,8,3,0.284482758,"Chun-woong Lee","sa3012228",
"Dong-han Kim 김동한","Giants (KBO)",29,81,178,205,42,20,19,0,3,26,14,14,0,25,0,0,13,2,4,3,0.235955056,"Dong-han Kim","sa3012231",
"Jin-ho Jung 정진호","Bears (KBO)",28,97,198,224,56,38,11,2,5,43,31,19,1,32,1,2,4,2,1,1,0.282828282,"Jin-ho Jung","sa3012232",
"Jong-wook Ko 고종욱","Heroes (KBO)",28,123,426,453,133,93,24,8,8,70,54,22,2,92,3,2,0,11,16,4,0.312206572,"Jong-wook Ko","sa3012243",
