Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Nick Tanielu","TEX","AA",30,186,0.294642857,0.745454545,0.179487179,0.35042735,0.47008547,0.254545454,0.127272727,0.39495798,0.22689076,0.37815126,0.10126582,266,445,711,"sa829082"
"Drew Lugbauer","ATL","AA",26,273,0.367521367,1,0.246376811,0.376811594,0.376811594,0.096153846,0.423076923,0.55395683,0.27338129,0.17266187,0.21409214,453,654,1107,"sa829268"
"Isiah Gilliam","SEA","AA",26,422,0.390862944,1.101265822,0.231481481,0.402777777,0.36574074,0.151898734,0.278481012,0.46818182,0.24545455,0.28636364,0.16504298,699,1046,1745,"sa829343"
"Tim Susnara","BAL","AA",27,113,0.266666666,0.928571428,0.15625,0.40625,0.4375,0.142857142,0.142857142,0.5,0.21875,0.28125,0.13815789,185,271,456,"sa829699"
"Riley Mahan","SFG","AA",27,177,0.228571428,0.909090909,0.236363636,0.363636363,0.4,0.068181818,0.181818181,0.51327434,0.2300885,0.25663717,0.19911504,218,460,678,"sa829844"
"Bryson Brigman","LAD","AA",28,65,0.22,1.352941176,0.2,0.46,0.34,0.176470588,0,0.38,0.18,0.44,0.09361702,73,162,235,"sa829857"
"Errol Robinson","STL","AA",28,143,0.318181818,1.576923076,0.255555555,0.455555555,0.288888888,0.115384615,0.076923076,0.3,0.26666667,0.43333333,0.10211946,186,333,519,"sa857819"
"Arden Pabst","ATL","AA",28,101,0.166666666,0.571428571,0.3125,0.25,0.4375,0.476190476,0.142857142,0.45098039,0.17647059,0.37254902,0.12585812,172,265,437,"sa858812"
"Kevin Vicuna","ARI","AA",25,115,0.28,1.142857142,0.210526315,0.421052631,0.368421052,0.214285714,0.142857142,0.41463415,0.30487805,0.2804878,0.13065327,147,251,398,"sa872466"
"Joseph Rosa","BAL","AA",26,185,0.333333333,0.6875,0.15625,0.34375,0.5,0.25,0.083333333,0.51020408,0.25510204,0.23469388,0.08904934,344,487,831,"sa872490"
"Dariel Gomez","NYM","AA",26,101,0.369565217,1.055555555,0.195652173,0.413043478,0.391304347,0.166666666,0.055555555,0.4893617,0.25531915,0.25531915,0.2075,155,245,400,"sa872729"
"Omar Meregildo","WSN","AA",25,71,0.277777777,1.076923076,0.27027027,0.378378378,0.351351351,0.384615384,0.23076923,0.51282051,0.15384615,0.33333333,0.19753086,124,200,324,"sa872765"
"Camden Duzenack","ARI","AA",28,291,0.369791666,1.08219178,0.24,0.395,0.365,0.315068493,0.136986301,0.49268293,0.21463415,0.29268293,0.10578662,392,714,1106,"sa873988"
"Garrett Whitley","PHI","AA",26,62,0.242424242,0.47368421,0.176470588,0.264705882,0.558823529,0.263157894,0.052631578,0.35294118,0.29411765,0.35294118,0.13191489,77,158,235,"sa874244"
"Brantley Bell","SDP","AA",28,108,0.349206349,0.954545454,0.306451612,0.338709677,0.354838709,0.181818181,0.045454545,0.421875,0.265625,0.3125,0.14553991,140,286,426,"sa875352"
"Max McDowell","PHI","AA",29,264,0.286713286,0.873015873,0.197278911,0.374149659,0.428571428,0.19047619,0.095238095,0.43333333,0.24,0.32666667,0.09788868,409,633,1042,"sa875626"
"Garrett Wolforth","HOU","AA",25,210,0.300813008,1.083333333,0.2,0.416,0.384,0.291666666,0.083333333,0.4488189,0.25984252,0.29133858,0.1863354,262,543,805,"sa876111"
"Gilbert Lara","BAL","AA",25,110,0.233766233,1.071428571,0.246753246,0.389610389,0.363636363,0.392857142,0.071428571,0.49367089,0.17721519,0.32911392,0.18085106,116,260,376,"sa877337"
