Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Reed Garrett","NYM",13.02907179019623,4.709303056697433,2.76666667,0.9418606113394866,0.33603239,0.12145749,0.2145749,0.23255813953488372,1.3953490538362765,0.3492063492063492,0.73369565,94.41633958158869,82.14373557056972,78.12109150136895,3.7674424453579465,3.3060146836734225,0.46142776168452393,3.1586725681162053,3.0991016140703302,"Reed Garrett",16866,657585
"Jack Flaherty","- - -",10.777778031567657,2.1111111608225306,5.10526316,1.3333333647300194,0.29892142,0.05855162,0.2403698,0.22240527182866557,1.0679012597143211,0.2853470437017995,0.80892608,78.11698023703929,83.9145062501972,73.01004338952764,3.166666741233796,3.4751217608661884,-0.3084550196323925,2.9958705333118116,3.095200344407547,"Jack Flaherty",17479,656427
"Kyle Bradish","BAL",12.127119036112608,3.432203500786587,3.53333333,0.45762713343821165,0.32515337,0.09202454,0.23312884,0.18620689655172415,1.0677966446891605,0.2777777777777778,0.78199052,69.27758896638538,60.77509644751845,70.81670836520281,2.74576280062927,2.505462807767934,0.24029999286133608,2.9207908391830824,3.092767882601048,"Kyle Bradish",24586,680694
"Trevor McDonald","SFG",3,3,1,0,0.1,0.1,0,0,0.3333333333333333,0,1,0,89.76135051264838,98.54459198944927,0,3.499813111623129,-3.499813111623129,4.003815913697085,3.0836090840148924,"Trevor McDonald",26448,686790
"Hoby Milner","MIL",8.907218946890787,1.9484541446323596,4.57142857,0.8350517762710112,0.23880597,0.05223881,0.18656717,0.25,1.1907219772753308,0.3131868131868132,0.58073654,115.68483485097208,77.39194497157054,77.79571485748622,4.731960065535731,3.135551934724202,1.5964081308115285,3.1452081815608537,3.0814180897268595,"Hoby Milner",13346,571948
"Yennier Cano","BAL",9.750003099442514,3.6000011444095437,2.70833333,0.9000002861023859,0.26104418,0.09638554,0.16465863,0.24107142857142858,1.3000004132590017,0.3137254901960784,0.77903683,79.47681225989143,86.88088350088002,74.81271447255213,3.1500010013583504,3.549813233481552,-0.3998122321232018,3.081417708004651,3.079301902633931,"Yennier Cano",25911,666974
"Ryan Helsley","STL",10.718593786697294,3.1206032543549087,3.43478261,0.4070352070897707,0.29699248,0.08646617,0.21052632,0.205761316872428,1.100502596946417,0.2919254658385093,0.78488372,50.397280862390424,61.37569139497228,82.79240204977751,2.0351760354488535,2.412710876271701,-0.3775348408228476,3.351975720405567,3.0790250983214267,"Ryan Helsley",18138,664854
"Ricky Vanasco","- - -",2.25,0,1,0,0.06666667,0,0.06666667,0.2,0.75,0.21428571428571427,0,164.60585655853555,64.82164611443254,84.07491130911848,6.75,2.666479778289795,4.083520221710205,3.4224839814007284,3.05735576297436,"Ricky Vanasco",23391,676568
"Steven Cruz","KCR",6.352941889251472,0,4,0,0.22222222,0,0.22222222,0.05555555555555555,0.1764706080347631,0.07142857142857142,1,0,41.93687437792781,81.63532481373272,0,1.7547149140116902,-1.7547149140116902,3.3556651708095657,3.037938963103238,"Steven Cruz",23165,674444
"Joe Jiménez","ATL",10.747573213579981,3.0145632184431657,3.56521739,0.26213593203853613,0.29602888,0.08303249,0.21299639,0.18,0.9902912988122476,0.25903614457831325,0.72254335,63.236411696987055,59.491369521432446,86.8801197327058,2.6213593203853613,2.336382660167764,0.2849766602175974,3.521129259993768,3.037028733626935,"Joe Jimenez",15761,641729
"Sonny Gray","STL",10.983968271747605,2.1102205054096386,5.20512821,1.1362725798359592,0.30253353,0.05812221,0.24441133,0.22575516693163752,1.0881763859804687,0.29876543209876544,0.67917206,95.13201716494322,78.94076353116951,69.92176801424364,3.8416834842072904,3.124395608666241,0.7172878755410492,2.819376976380927,3.0309612324089628,"Sonny Gray",12768,543243
"Gregory Santos","SEA",7.3636385980723205,1.22727309967872,6,0,0.19354839,0.03225806,0.16129032,0.2413793103448276,1.09090942193664,0.30434782608695654,0.55555556,130.5333704465035,59.01357813152149,82.22113376896674,4.90909239871488,2.348297711837315,2.560794686877565,3.379212847084088,3.0285646679562976,"Gregory Santos",21894,666619
"Aaron Ashby","MIL",10.48235411726493,3.176470944625736,3.3,0.6352941889251472,0.27731092,0.08403361,0.19327731,0.1834862385321101,1.0588236482085787,0.24324324324324326,0.625,69.89124176742239,69.62735670484355,70.81794367917396,2.8588238501631626,2.813538562220269,0.04528528794289377,2.856461554518226,3.010957052348232,"Aaron Ashby",23550,676879
"Troy Taylor","SEA",11.63793179991701,3.258620903976763,3.57142857,1.8620690879867217,0.30864198,0.08641975,0.22222222,0.20270270270270271,1.137931109325219,0.24444444444444444,0.85365854,99.02529197567492,111.11720071349706,82.4158812436603,3.7241381759734433,4.356135028947978,-0.631996852974535,3.3870410826349295,3.0088048368709526,"Troy Taylor",31883,700187
"Raisel Iglesias","ATL",8.826923724462342,1.6875001237942713,5.23076923,0.5192308073213142,0.26254826,0.05019305,0.21235521,0.15637860082304528,0.7355769770385285,0.19883040935672514,0.7231405,46.97127866378693,67.16379249976778,83.4739872413987,1.9471155274549283,2.647248970968481,-0.7001334435135527,3.380180346222837,3.00868320401202,"Raisel Iglesias",17130,628452
"Bryan Abreu","HOU",11.834043321587961,3.6765959834059685,3.21875,1.0340426203329287,0.31692308,0.09846154,0.21846154,0.20557491289198607,1.1617022030900803,0.2857142857142857,0.82938389,77.61187520509783,85.27782257639747,84.68577845267684,3.102127860998786,3.4856287351826745,-0.38350087418388856,3.478283806353638,3.0083191941580703,"Bryan Abreu",16609,650556
"Michel Otañez","OAK",14.558826796324515,5.2941188350270965,2.75,0.5294118835027096,0.36423841,0.13245033,0.23178808,0.2109375,1.3823532513681864,0.352112676056338,0.74152542,88.83386004319497,68.31730881642436,82.33187284354145,3.441177242767613,2.7253032087042035,0.7158740340634093,3.3836642093511315,2.9885798839624855,"Michel Otanez",22533,671305
"Yosver Zulueta","CIN",11.020409021214778,3.8571431574251727,2.85714286,1.1020409021214779,0.28985507,0.10144928,0.1884058,0.2459016393442623,1.3469388803706952,0.3333333333333333,0.64356436,114.41982220545574,88.51981518206307,77.00789265007089,4.959184059546651,3.7787247239128385,1.1804593356338122,3.112607369741817,2.9799237929816074,"Yosver Zulueta",27765,691172
"Kevin Ginkel","ARI",9.90000215802921,1.9285718489667292,5.13333333,0.7714287395866917,0.26460481,0.05154639,0.21305842,0.25274725274725274,1.2000002615792982,0.33157894736842103,0.71246819,77.12819619075162,73.20602179392979,79.80409111807762,3.2142864149445485,2.852193995495217,0.36209241944933135,3.2283166493307176,2.9734867784333203,"Kevin Ginkel",19876,656464
"Brooks Raley","NYM",11.571430147910819,3.8571433826369397,3,0,0.36,0.12,0.24,0.09090909090909091,0.7142858115994333,0.15384615384615385,1,0,47.506738472205065,88.99814632520663,0,1.8807653174108157,-1.8807653174108157,3.6087751599441784,2.970313084014893,"Brooks Raley",10061,548384
"Kaleb Ort","HOU",9.486488198084892,1.4594597227822912,6.5,2.5540545148690095,0.27956989,0.04301075,0.23655914,0.1797752808988764,0.8108109571012729,0.16071428571428573,1,63.8996744032363,128.9840203990561,88.43468212948592,2.5540545148690095,5.234047718898041,-2.6799932040290315,3.6289779351769167,2.9699604388711056,"Kaleb Ort",20061,672391
"Josh Maciejewski","NYY",9,2.5714285714285716,3.5,1.2857142857142858,0.25925926,0.07407407,0.18518519,0.16,0.8571428571428571,0.17647058823529413,0.86956522,64.62172037270891,92.99217104983806,69.99168356896396,2.5714285714285716,3.8807654925755095,-1.309336921146938,2.887627438988005,2.9462434895907856,"Josh Maciejewski",21310,656671
"Andrés Muñoz","SEA",11.679777033054464,3.9438208163560526,2.96153846,0.910112496082166,0.33189655,0.11206897,0.21982759,0.15270935960591134,0.9606743014200642,0.20833333333333334,0.85271318,56.466674057801846,85.05648059358676,72.2933681189154,2.1235958241917205,3.3518730645287547,-1.2282772403370341,2.9801479137674898,2.9417176575830655,"Andres Munoz",20373,662253
