Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Cole Sands","MIN",9,1,4,62,0,71.1,10.72430097710101,1.5140189614730837,0.7570094807365418,0.2896174863387978,0.6851312,0.367021276,0.074074074,95.65833216028528,3.2803744165250146,3.227201081305299,2.633769402956673,3.257218311809954,1.5136467218399048,"Cole Sands",21461,663485
"Tyler Anderson","LAA",10,15,0,31,31,179.1,7.126394254163841,3.6635688771405666,1.204461000703748,0.2581888246628131,0.75831703,0.374074074,0.104803493,89.70206429503916,3.8141265022285347,4.374085361116846,4.660903612496297,4.8518883299472595,1.5116491317749023,"Tyler Anderson",12880,542881
"Albert Suárez","BAL",9,7,0,32,24,133.2,7.271821002290189,2.8952620657266492,1.1446384911012333,0.2868020304568528,0.78843627,0.33910891,0.098837209,94.82818619908237,3.7032421770922257,4.035911975299109,4.236305296116438,4.52856551190087,1.5031606741249561,"Albert Suarez",6175,544150
"Tyler Holton","DET",7,2,8,66,9,94.1,7.346290891429581,1.62190837862731,0.6678446264935983,0.20080321285140562,0.7771261,0.472440944,0.076086956,92.07029335171569,2.194346629907537,2.773264078106342,3.166479778289795,3.676424451392295,1.4822449088096619,"Tyler Holton",26231,663947
"Orion Kerkering","PHI",5,3,0,64,2,63,10.57142985164459,2.4285717226751085,0.2857143203147186,0.3141025641025641,0.76502732,0.53548387,0.051282051,97.73459216270327,2.285714562517749,3.178673100909011,2.4204479419124745,2.943754796438939,1.4731293907389045,"Orion Kerkering",31776,689147
"Justin Slaten","BOS",6,2,2,44,0,55.1,9.433735806911956,1.4638555562449587,0.6506024694422039,0.2847682119205298,0.70610687,0.5,0.088888888,96.57988937762605,2.9277111124899173,3.1954856228376722,2.606238762936786,2.896125144040805,1.469061255455017,"Justin Slaten",25648,686580
"Dean Kremer","BAL",8,10,0,24,24,129.2,8.537275734028224,3.5398460360604833,1.2493574244919352,0.2569832402234637,0.66282421,0.416666666,0.115384615,93.55228365384616,4.095116002501343,4.4911113000951035,4.32329220837492,4.337739340901206,1.4456522464752197,"Dean Kremer",19350,665152
"Keegan Akin","BAL",3,1,1,66,0,78.2,11.09746013842505,2.1737293054647004,1.0296612499569635,0.24731182795698925,0.70977918,0.37037037,0.097826086,93.92152652877698,3.317797360972438,2.4502436883931473,2.9885136363219247,3.2695065817620836,1.4396846294403076,"Keegan Akin",19362,669211
"Kyle Gibson","STL",8,8,0,30,30,169.2,8.00982366294778,3.607072907817543,1.220039365879463,0.28991596638655465,0.70717131,0.447580645,0.13372093,91.61108265027322,4.243615185667697,4.864409969387193,4.421882604049823,4.192405846893454,1.425732135772705,"Kyle Gibson",10123,502043
"Kenley Jansen","BOS",4,2,27,54,0,54.2,10.207317548022273,3.2926830800071847,0.658536616001437,0.2595419847328244,0.73033708,0.305970149,0.055555555,,3.2926830800071847,3.275739478250815,3.001845624289436,4.042051866241064,1.4167407751083374,"Kenley Jansen",3096,445276
"Tylor Megill","NYM",4,5,0,16,15,78,10.5,3.6923076923076925,0.9230769230769231,0.3069306930693069,0.70675105,0.401913875,0.098765432,95.76696853997008,4.038461538461538,4.178920278279306,3.5510951629051797,3.7879244052637846,1.3994628973305225,"Tylor Megill",21318,656731
"Justin Martinez","ARI",5,6,8,64,0,72.2,11.27064377959978,4.458716220501012,0.24770645669450067,0.3220338983050847,0.7537155,0.588571428,0.064516129,100.63514655363475,2.4770645669450064,3.054163836113543,2.588498046002627,2.8757310301507397,1.390986680984497,"Justin Martinez",24453,679885
"Kyle Bradish","BAL",2,0,0,8,8,39.1,12.127119036112608,3.432203500786587,0.45762713343821165,0.2777777777777778,0.78199052,0.549450549,0.071428571,,2.74576280062927,2.707376161690474,2.505462807767934,2.9207908391830824,1.3773163557052612,"Kyle Bradish",24586,680694
"Joe Musgrove","SDP",6,5,0,19,19,99.2,9.12040157051218,2.0769231299186153,1.2642140790808962,0.3053435114503817,0.77281192,0.413043478,0.132075471,93.07288009129213,3.8829432428913244,4.318915938754821,3.959121938983373,3.741124184854151,1.3738981485366821,"Joe Musgrove",12970,605397
