Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Randy Rodríguez","SFG",3,1,1,41,0,41.2,11.880001353893434,1.728000196929954,0.21600002461624426,0.26373626373626374,0.85889571,0.380434782,0.026315789,97.4843217992071,0.864000098464977,2.2298768877783655,1.4602916901016019,2.549091944553001,1.707448503864508,"Randy Rodriguez",23974,678495
"Tyler Mahle","TEX",6,3,0,14,14,77,6.545454707590443,3.1558442340168207,0.46753247911360307,0.25339366515837103,0.82309582,0.40625,0.045977011,92.34962260429495,2.337662395568015,4.32997207928919,3.4130191610442147,4.4731355484050574,1.6983872849503756,"Tyler Mahle",16358,641816
"Cole Ragans","KCR",2,3,0,10,10,48.2,14.05479470416023,2.9589041482442586,0.9246575463263309,0.38181818181818183,0.62068966,0.368421052,0.108695652,95.57675977023143,5.178082259427453,2.726011004992177,2.4622096809219705,2.5783958305313686,1.6872775080755757,"Cole Ragans",21846,666142
"Dean Kremer","BAL",8,7,0,19,18,108.1,7.310769574010741,2.243077028389659,1.163076977683527,0.29846153846153844,0.72026801,0.376854599,0.097222222,93.46404820748505,4.236923275847134,4.312761087910719,3.971061151335227,4.332713180186172,1.686562127290978,"Dean Kremer",19350,665152
"Nick Martinez","CIN",7,9,0,21,19,111,6.1621624268782,2.027027114104671,1.135135183898616,0.28273809523809523,0.65878378,0.373913043,0.094594594,92.61580749511718,4.7837839892870235,4.173294108194063,4.194345980895709,4.6026597657662425,1.6710666167652788,"Nick Martinez",12730,607259
"Drew Rasmussen","TBR",7,5,0,19,19,91.1,7.587591346512277,2.167883241860651,0.985401473573023,0.256198347107438,0.82142857,0.509960159,0.126582278,95.76801004612699,2.8576642733617668,3.822420738271159,3.731532765705093,3.636728815804425,1.640536623642028,"Drew Rasmussen",25385,656876
"Janson Junk","MIA",4,1,1,10,5,50.1,6.794702158408819,0.7152318061482968,0.1788079515370742,0.29411764705882354,0.70564516,0.414473684,0.019230769,93.7499267578125,2.682119273056113,3.7945710775473693,2.18664947336355,3.5151961864990415,1.637434067589558,"Janson Junk",23301,676083
"Nick Lodolo","CIN",6,6,0,19,19,106.2,8.184375268304729,1.8562500608526191,1.265625041490422,0.27181208053691275,0.80555556,0.408496732,0.123966942,93.836830248673,3.3750001106411256,4.080515439936777,4.077791912294925,3.992027269006787,1.5923084862680192,"Nick Lodolo",26378,666157
"Pablo López","MIN",5,3,0,11,11,60.2,9.049450786544748,2.076923131338139,0.7417582611921923,0.2804878048780488,0.75409836,0.39520958,0.074626865,94.7495970826049,2.818681392530331,3.412264739538175,3.041390780068987,3.6662752805105514,1.589904605634253,"Pablo Lopez",17085,641154
"Adrian Houser","CHW",5,2,0,9,9,57.2,6.0867052694188954,2.809248585885644,0.31213873176507156,0.2694610778443114,0.85209003,0.476190476,0.037735849,95.1532525490588,1.560693658825358,3.767228517126896,3.17497396286851,4.135774226531622,1.577369064769512,"Adrian Houser",12718,605288
"Brady Singer","CIN",7,7,0,19,19,100,8.280000078964234,3.6000000343322758,0.9900000094413758,0.298932384341637,0.71428571,0.357388316,0.092436974,91.59762263298035,4.320000041198731,4.504881715844276,4.080291890525818,4.478090310039982,1.5581724316408063,"Brady Singer",25377,663903
"Hunter Greene","CIN",4,3,0,11,11,59.2,11.011173301687968,2.1117318660771445,1.3575419139067357,0.2517985611510791,0.88607595,0.267123287,0.116883116,99.37695921763591,2.7150838278134715,3.0055478989762285,3.458727639144341,3.480000978798404,1.5503452210338056,"Hunter Greene",22182,668881
"Adrian Morejon","SDP",7,4,2,47,0,43.2,8.656490678474745,1.8549622882445882,0.20610692091606536,0.22033898305084745,0.63583815,0.526315789,0.03030303,96.62092327249461,1.8549622882445882,1.8634926176736393,2.1326580459716267,2.995715819040618,1.5249870810359216,"Adrian Morejon",20039,670970
"Luis Castillo","SEA",6,5,0,19,19,108.1,7.726153868825337,2.8246153929038864,0.9969230798484305,0.2838709677419355,0.78202995,0.411214953,0.092307692,95.39249769549504,3.4061538561488045,4.565993394758675,3.8879841914476025,4.291142258903358,1.5169290530852617,"Luis Castillo",15689,622491
"Tylor Megill","NYM",5,5,0,14,14,68.1,11.721951928419601,4.3463417262679425,0.790243950230535,0.3176470588235294,0.68777293,0.40229885,0.09375,95.71447472205529,3.9512197511526748,3.848745697748015,3.4329748260911073,3.730073822613066,1.495463983146107,"Tylor Megill",21318,656731
"Luis Severino","ATH",2,11,0,20,20,113.1,6.432353175725912,3.01764716885907,0.9529412112186537,0.3005464480874317,0.62905318,0.403743315,0.09090909,96.02138061523438,5.161764894101041,4.775422590714318,4.384409573985633,4.796886535702679,1.4800280822462226,"Luis Severino",15890,622663
