Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Gio González","- - -",10,11,4.210526034002068,32,32,11,0,0,0,0,0,171,746,167,84,80,17,80,2,2,5,0,148,"Gio Gonzalez",7448,461829
"Kevin Gausman","- - -",10,11,3.92014491916214,31,31,16,0,0,0,0,0,183.2,776,189,85,80,26,50,1,7,6,0,148,"Kevin Gausman",14107,592332
"Tanner Roark","WSN",9,15,4.341959342937184,31,30,17,0,0,0,0,0,180.1,760,181,90,87,24,50,3,10,5,0,146,"Tanner Roark",8753,543699
"Miles Mikolas","STL",18,4,2.82558110887079,32,32,20,1,1,0,0,0,200.2,808,186,70,63,16,29,4,7,2,1,146,"Miles Mikolas",9803,571945
"Marco Gonzales","SEA",13,9,3.9960002438964994,29,29,13,1,0,0,0,0,166.2,686,172,76,74,17,32,0,6,2,0,145,"Marco Gonzales",15467,594835
"Mike Fiers","- - -",12,8,3.5581395003588026,31,30,15,0,0,0,0,0,172,714,166,71,68,32,37,1,8,4,0,139,"Mike Fiers",7754,571666
"Jake Arrieta","PHI",10,11,3.961390194772268,31,31,15,0,0,0,0,0,172.2,724,165,93,76,21,57,0,7,11,1,138,"Jake Arrieta",4153,453562
"Wade LeBlanc","SEA",9,5,3.722222616643123,32,27,10,0,0,0,0,0,162,662,151,74,67,24,40,1,3,1,0,130,"Wade LeBlanc",5221,453281
"José Ureña","MIA",9,12,3.9827586206896552,31,31,12,1,0,0,0,0,174,712,155,78,77,19,51,8,12,2,1,130,"Jose Urena",11589,570632
"Trevor Williams","PIT",14,10,3.111328032275199,31,31,17,1,1,0,0,0,170.2,701,146,64,59,15,55,3,4,4,0,126,"Trevor Williams",16977,592866
"Lucas Giolito","CHW",10,13,6.126923796072599,32,32,15,0,0,0,0,0,173.1,775,166,123,118,27,90,2,15,13,0,125,"Lucas Giolito",15474,608337
"Mike Leake","SEA",10,10,4.3626573305883944,31,31,18,0,0,0,0,0,185.2,784,207,98,90,23,34,3,6,2,0,119,"Mike Leake",10130,502190
"Iván Nova","PIT",9,9,4.192546186502001,29,29,14,0,0,0,0,0,161,683,171,82,75,26,35,4,4,9,1,114,"Ivan Nova",1994,467100
