Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Nick Margevicius","SEA",0.27390181,0.65753425,0.43888071,0.70754717,0.88541667,0.82214765,0.43004418,0.59411765,0.07805596,0.19587629,0.27393225,"Nick Margevicius",20395,676606
"Rich Hill","MIN",0.27456647,0.61172161,0.42326333,0.82105263,0.86227545,0.84732824,0.44103393,0.51923077,0.06462036,0.20840065,0.273021,"Rich Hill",4806,448179
"John Means","BAL",0.34411085,0.73397436,0.50738255,0.68456376,0.79912664,0.75396825,0.41879195,0.63636364,0.12483221,0.14765101,0.27248322,"John Means",16269,607644
"Jon Gray","COL",0.27807487,0.71478873,0.46656535,0.60576923,0.8817734,0.78827362,0.43161094,0.6091954,0.09878419,0.17325228,0.27203647,"Jon Gray",14916,592351
"Alec Mills","CHC",0.32118056,0.62601626,0.44021164,0.74594595,0.89177489,0.82692308,0.39047619,0.61111111,0.07619048,0.1957672,0.27195767,"Alec Mills",13834,621219
"Steven Brault","PIT",0.26483051,0.66058394,0.41018767,0.712,0.82872928,0.78104575,0.36729223,0.54494382,0.08981233,0.18096515,0.27077748,"Steven Brault",15291,643230
"Kolby Allard","TEX",0.26183844,0.68227425,0.45288754,0.78723404,0.79411765,0.79194631,0.45440729,0.63815789,0.09422492,0.17629179,0.27051672,"Kolby Allard",18694,663465
"Yusei Kikuchi","SEA",0.27586207,0.68611111,0.46163522,0.59166667,0.8097166,0.73841962,0.45283019,0.50515464,0.12075472,0.14968553,0.27044025,"Yusei Kikuchi",20633,579328
"Ryan Weber","BOS",0.25537634,0.63369963,0.41550388,0.77894737,0.89017341,0.85074627,0.42325581,0.63783784,0.0620155,0.20775194,0.26976744,"Ryan Weber",10160,543901
"Taijuan Walker","- - -",0.24242424,0.65721649,0.42468856,0.63333333,0.90196078,0.816,0.4394111,0.56888889,0.0780543,0.19117647,0.26923077,"Taijuan Walker",11836,592836
"Max Fried","ATL",0.32397004,0.69315068,0.47385984,0.58959538,0.88142292,0.7629108,0.40600667,0.61160714,0.11234705,0.15684093,0.26918799,"Max Fried",13743,608331
"Spencer Turnbull","DET",0.26132404,0.68637532,0.43302181,0.59333333,0.82771536,0.74340528,0.403946,0.5661157,0.11111111,0.15784008,0.26895119,"Spencer Turnbull",16207,605513
"Taylor Clarke","ARI",0.28935185,0.66420664,0.43385491,0.68,0.88888889,0.80327869,0.38549075,0.64480874,0.08534851,0.18349929,0.2688478,"Taylor Clarke",17611,664199
"Alex Young","ARI",0.32974138,0.71771772,0.49184442,0.66666667,0.82008368,0.76020408,0.41781681,0.64215686,0.11794228,0.15056462,0.2685069,"Alex Young",18333,622065
"Justin Dunn","SEA",0.23026316,0.64927536,0.41073658,0.71428571,0.83928571,0.7993921,0.43071161,0.57070707,0.082397,0.18601748,0.26841448,"Justin Dunn",19268,643290
"Sixto Sánchez","MIA",0.38658147,0.7195122,0.53309481,0.65289256,0.83050847,0.75838926,0.44007156,0.66455696,0.12880143,0.13953488,0.26833631,"Sixto Sanchez",19680,664350
"Pablo López","MIA",0.35140187,0.7201087,0.50166113,0.68617021,0.81132075,0.7593819,0.40753045,0.59583333,0.12070875,0.14728682,0.26799557,"Pablo Lopez",17085,641154
"Jorge López","- - -",0.22408964,0.67625899,0.42204724,0.575,0.88829787,0.79477612,0.43779528,0.58045977,0.08661417,0.18110236,0.26771654,"Jorge Lopez",14527,605347
"Vince Velasquez","PHI",0.31232877,0.70175439,0.48307692,0.62280702,0.845,0.76433121,0.43846154,0.56493506,0.11384615,0.15384615,0.26769231,"Vince Velasquez",11189,592826
"Chris Mazza","BOS",0.32911392,0.68778281,0.47672253,0.52884615,0.86842105,0.73046875,0.41154562,0.625,0.12825279,0.1394052,0.26765799,"Chris Mazza",14151,607391
"Cristian Javier","HOU",0.26295585,0.67663043,0.43419573,0.68613139,0.86345382,0.80051813,0.41394826,0.44392523,0.08661417,0.1799775,0.26659168,"Cristian Javier",17606,664299
"Lance Lynn","TEX",0.31360202,0.72964169,0.49502841,0.6746988,0.83035714,0.77474892,0.43607955,0.61046512,0.11150568,0.15482955,0.26633523,"Lance Lynn",2520,458681
